Week,Price
2015-02-06,0.69
2015-02-13,0.71
2015-02-20,0.71
2015-02-27,0.72
2015-03-06,0.72
2015-03-13,0.72
2015-03-20,0.73
2015-03-27,0.71
2015-04-03,0.75
2015-04-10,0.78
2015-04-17,0.77
2015-04-24,0.93
2015-05-01,1.01
2015-05-08,1.18
2015-05-15,1.1
2015-05-22,0.93
2015-05-29,1.02
2015-06-05,1.03
2015-06-12,1.3
2015-06-19,1.48
2015-06-26,1.79
2015-07-03,2.01
2015-07-10,1.91
2015-07-17,2.02
2015-07-24,2.07
2015-07-31,2.11
2015-08-07,2.06
2015-08-14,2.26
2015-08-21,1.91
2015-08-28,1.76
2015-09-04,1.75
2015-09-11,1.72
2015-09-18,1.72
2016-09-25,1.73
2015-10-02,1.95
2015-10-09,1.94
2015-10-16,1.98
2015-10-23,1.92
2015-10-30,1.93
2015-11-06,1.96
2015-11-13,1.84
2015-11-20,1.79
2015-11-27,1.77
2015-12-04,1.78
2015-12-11,1.81
2015-12-18,1.88
2015-12-25,1.86
2016-01-01,1.83
2016-01-08,1.78
2016-01-15,1.73
2016-01-22,1.96
2016-01-29,1.94
2016-02-05,2.04
2016-02-12,2.03
2016-02-19,2.22
2016-02-26,2.01
2016-03-04,2.01
2016-03-11,1.95
2016-03-18,2.01
2016-03-25,1.98
2016-04-01,1.97
2016-04-08,1.97
2016-04-15,1.93
2016-04-22,1.89
2016-04-29,1.87
2016-05-06,1.77
2016-05-13,1.84
2016-05-20,1.78
2016-05-27,1.82
2016-06-03,1.81
2016-06-10,1.84
2016-06-17,1.82
2016-06-24,1.8
2016-07-01,1.83
2016-07-08,1.91
2016-07-15,1.97
2016-07-22,1.96
2016-07-29,1.97
2016-08-05,1.91
2016-08-12,1.88
2016-08-19,1.9
2016-08-26,1.9
2016-09-02,2.06
2016-09-09,2.02
2016-09-16,2.05
2016-09-23,2.02
2016-09-30,1.98
2016-10-07,1.93
2016-10-14,1.9
2016-10-21,1.93
2016-10-28,1.91
2016-11-04,1.9
2016-11-11,1.9
2016-11-18,1.85
2016-11-25,1.86
2016-12-02,1.97
2016-12-09,1.9
2016-12-16,1.91
2016-12-23,1.9
2016-12-30,1.9
2017-01-06,2.02
2017-01-13,2
2017-01-20,1.99
2017-01-27,2.02
2017-02-03,1.98
2017-02-10,2.08
2017-02-17,1.99
2017-02-24,2.01
2017-03-03,1.98
2017-03-10,1.98
2017-03-17,1.97
2017-03-24,2
2017-03-31,1.98
2017-04-07,1.95
2017-04-14,1.86
2017-04-21,1.86
2017-04-28,1.88
2017-05-05,1.88
2017-05-12,1.88
2017-05-19,2.1
2017-05-26,2.06
2017-06-02,2.04
2017-06-09,2.03
2017-06-16,2.02
2017-06-23,2.16
2017-06-30,2.2
2017-07-07,2.4
2017-07-14,2.22
2017-07-21,2.17
2017-07-28,2.15
