Week,Price
2015-05-08,6.50
2015-05-15,6.57
2015-05-22,6.72
2015-05-29,6.50
2015-06-05,6.50
2015-06-12,6.40
2015-06-19,6.30
2015-06-26,6.25
2015-07-03,6.09
2015-07-10,6.19
2015-07-17,6.46
2015-07-24,7.89
2015-07-31,8.10
2015-08-07,9.08
2015-08-14,11.32
2015-08-21,9.53
2015-08-28,8.89
2015-09-04,8.60
2015-09-11,8.50
2015-09-18,8.17
2015-09-25,8.00
2015-10-02,7.60
2015-10-09,7.75
2015-10-16,8.06
2015-10-23,8.21
2015-10-30,8.20
2015-11-06,8.45
2015-11-13,7.20
2015-11-20,7.29
2015-11-27,7.34
2015-12-04,7.33
2015-12-11,7.15
2015-12-18,7.10
2015-12-25,7.04
2016-01-01,6.88
2016-01-08,6.55
2016-01-15,6.35
2016-01-22,6.46
2016-01-29,6.35
2016-02-05,6.30
2016-02-12,6.33
2016-02-19,6.50
2016-02-26,6.95
2016-03-04,6.73
2016-03-11,7.23
2016-03-18,7.36
2016-03-25,7.35
2016-04-01,7.42
2016-04-08,7.19
2016-04-15,7.30
2016-04-22,8.20
2016-04-29,7.40
2016-05-06,7.75
2016-05-13,7.56
2016-05-20,7.35
2016-05-27,7.31
2016-06-03,7.30
2016-06-10,7.23
2016-06-17,7.26
2016-06-24,7.23
2016-07-01,7.22
2016-07-08,7.35
2016-07-15,7.28
2016-07-22,7.48
2016-07-29,7.35
2016-08-05,7.35
2016-08-12,7.20
2016-08-19,7.16
2016-08-26,7.30
2016-09-02,7.38
2016-09-09,7.25
2016-09-16,7.25
2016-09-23,7.40
2016-09-30,7.37
2016-10-07,7.69
2016-10-14,7.56
2016-10-21,7.65
2016-10-28,7.80
2016-11-04,7.68
2016-11-11,7.76
2016-11-18,7.81
2016-11-25,7.65
2016-12-02,7.60
2016-12-09,7.62
2016-12-16,7.44
2016-12-23,7.60
2016-12-30,7.64
2017-01-06,7.50
2017-01-13,7.51
2017-01-20,7.50
2017-01-27,7.50
2017-02-03,7.41
2017-02-10,7.79
2017-02-17,8.13
2017-02-24,7.91
2017-03-03,7.90
2017-03-10,7.90
2017-03-17,8.40
2017-03-24,8.75
2017-03-31,9.50
2017-04-07,11.50
2017-04-14,12.44
2017-04-21,12.00
2017-04-28,12.90
2017-05-05,16.20
2017-05-12,16.52
2017-05-19,17.24
2017-05-26,19.70
2017-06-02,28.35
2017-06-09,25.70
2017-06-16,25.70
2017-06-23,24.60
2017-06-30,23.25
2017-07-07,23.30
2017-07-14,23.50
2017-07-21,23.40
2017-07-28,23.00
2017-08-04,23.70
2017-08-11,20.90
2017-08-18,20.80
2017-08-25,19.30
2017-09-01,19.10
2017-09-08,20.90
2017-09-15,20.35
2017-09-22,21.15
2017-09-29,19.86
2017-10-06,19.92
2017-10-13,19.80
2017-10-20,19.90
2017-10-27,19.44
2017-11-03,19.28
2017-11-10,18.40
2017-11-17,17.30
2017-11-24,16.90
2017-12-01,16.40
2017-12-08,18.36
2017-12-15,19.20
2017-12-22,20.05
2017-12-29,18.48
2018-01-05,20.30
2018-01-12,22.15
2018-01-19,21.20
2018-01-26,21.70
2018-02-02,19.60
2018-02-09,18.90
2018-02-16,17.70
2018-02-23,17.98
2018-03-02,18.40
2018-03-09,18.00
2018-03-16,18.00
2018-03-23,17.92
2018-03-30,18.00
2018-04-06,18.82
2018-04-13,17.56
2018-04-20,16.72
2018-04-27,16.40
2018-05-04,16.00
2018-05-11,15.90
2018-05-18,15.78
2018-05-25,15.50
2018-06-01,15.50
2018-06-08,15.86
2018-06-15,15.30
2018-06-22,15.02
2018-06-29,14.96
2018-07-06,15.16
2018-07-13,14.42
2018-07-20,13.40
2018-07-27,14.60
2018-08-03,14.50
2018-08-10,14.46
2018-08-17,14.00
2018-08-24,13.78
2018-08-31,13.60
2018-09-07,13.30
2018-09-14,12.48
2018-09-21,11.62
2018-09-28,11.30
2018-10-05,10.64
2018-10-12,9.60
2018-10-19,11.28
2018-10-26,10.70
2018-11-02,10.94
2018-11-09,10.00
2018-11-16,9.65
2018-11-23,9.89
2018-11-30,9.96
2018-12-07,11.00
2018-12-14,14.80
2018-12-21,13.70
2018-12-28,13.78
2019-01-04,14.34
2019-01-11,14.50
2019-01-18,14.00
2019-01-25,13.90
2019-02-01,13.20
2019-02-08,13.40
2019-02-15,13.70
2019-02-22,12.86
2019-03-01,12.24
2019-03-08,12.00
2019-03-15,12.28
2019-03-22,12.60
2019-03-29,12.20
2019-04-05,12.70
2019-04-12,12.70
2019-04-19,12.30
2019-04-26,12.64
2019-05-03,12.68
2019-05-10,12.00
2019-05-17,11.70
2019-05-24,11.44
2019-05-31,11.52
2019-06-07,11.36
2019-06-14,10.92
2019-06-21,11.22
2019-06-28,11.16
2019-07-05,11.30
2019-07-12,11.00
2019-07-19,11.20
2019-07-26,10.60
2019-08-02,10.90
2019-08-09,10.00
2019-08-16,10.30
2019-08-23,10.20
2019-08-30,10.20
2019-09-06,10.30
2019-09-13,10.40
2019-09-20,10.14
2019-09-27,10.10
2019-10-04,10.10
2019-10-11,10.30
2019-10-18,10.10
2019-10-25,10.30
2019-11-01,11.18
2019-11-08,10.98
2019-11-15,10.40
2019-11-22,10.08
2019-11-29,10.08
2019-12-06,9.80
2019-12-13,9.70
2019-12-20,9.42
2019-12-27,10.50
2020-01-03,10.10
2020-01-10,9.65
2020-01-17,9.83
2020-01-24,9.59
2020-01-31,9.40
2020-02-07,9.00
2020-02-14,8.50
2020-02-21,8.20
2020-02-28,7.40
2020-03-06,7.95
2020-03-13,6.05
2020-03-20,4.35
2020-03-27,6.00
2020-04-03,5.98
2020-04-10,5.87
2020-04-17,6.20
2020-04-24,10.92
2020-05-01,10.60
2020-05-08,9.82
2020-05-15,9.80
2020-05-22,9.64
2020-05-29,9.25
2020-06-05,9.64
