Week,Price
2015-03-06,2.30
2015-03-13,2.27
2015-03-20,2.23
2015-03-27,2.23
2015-04-03,2.22
2015-04-10,2.23
2015-04-17,2.17
2015-04-24,2.25
2015-05-01,2.20
2015-05-08,2.19
2015-05-15,2.27
2015-05-22,2.31
2015-05-29,2.25
2015-06-05,2.23
2015-06-12,2.23
2015-06-19,2.18
2015-06-26,2.18
2015-07-03,2.17
2015-07-10,2.10
2015-07-17,2.14
2015-07-24,2.10
2015-07-31,2.14
2015-08-07,2.12
2015-08-14,2.07
2015-08-21,1.89
2015-08-28,1.83
2015-09-04,1.82
2015-09-11,1.71
2015-09-18,1.81
2015-09-25,1.89
2015-10-02,1.91
2015-10-09,1.93
2015-10-16,2.15
2015-10-23,2.23
2015-10-30,2.20
2015-11-06,2.17
2015-11-13,2.05
2015-11-20,2.10
2015-11-27,2.12
2015-12-04,2.20
2015-12-11,2.18
2015-12-18,2.15
2015-12-25,2.18
2016-01-01,2.18
2016-01-08,2.06
2016-01-15,2.05
2016-01-22,2.08
2016-01-29,2.10
2016-02-05,2.10
2016-02-12,2.07
2016-02-19,2.11
2016-02-26,2.23
2016-03-04,2.25
2016-03-11,2.50
2016-03-18,2.75
2016-03-25,2.68
2016-04-01,2.70
2016-04-08,2.69
2016-04-15,2.84
2016-04-22,2.62
2016-04-29,2.55
2016-05-06,2.50
2016-05-13,2.63
2016-05-20,2.50
2016-05-27,2.52
2016-06-03,2.57
2016-06-10,2.60
2016-06-17,2.49
2016-06-24,2.39
2016-07-01,2.50
2016-07-08,2.49
2016-07-15,2.55
2016-07-22,2.55
2016-07-29,2.33
2016-08-05,2.36
2016-08-12,2.36
2016-08-19,2.36
2016-08-26,2.26
2016-09-02,2.20
2016-09-09,2.22
2016-09-16,2.22
2016-09-23,2.24
2016-09-30,2.27
2016-10-07,2.23
2016-10-14,2.15
2016-10-21,2.16
2016-10-28,2.17
2016-11-04,2.13
2016-11-11,2.14
2016-11-18,2.12
2016-11-25,2.10
2016-12-02,2.07
2016-12-09,2.07
2016-12-16,2.04
2016-12-23,2.09
2016-12-30,2.13
2017-01-06,2.35
2017-01-13,2.32
2017-01-20,2.28
2017-01-27,2.29
2017-02-03,2.40
2017-02-10,2.41
2017-02-17,2.39
2017-02-24,2.38
2017-03-03,2.30
2017-03-10,2.33
2017-03-17,2.26
2017-03-24,2.24
2017-03-31,2.21
2017-04-07,2.15
2017-04-14,2.17
2017-04-21,2.18
2017-04-28,2.15
2017-05-05,2.15
2017-05-12,2.14
2017-05-19,2.11
2017-05-26,2.10
2017-06-02,1.97
2017-06-09,2.00
2017-06-16,1.95
2017-06-23,1.95
2017-06-30,1.95
2017-07-07,1.98
2017-07-14,1.95
2017-07-21,1.95
2017-07-28,1.92
2017-08-04,1.89
2017-08-11,1.76
2017-08-18,1.80
2017-08-25,1.86
2017-09-01,1.81
2017-09-08,1.82
2017-09-15,1.80
2017-09-22,1.79
2017-09-29,1.76
2017-10-06,1.78
2017-10-13,1.77
2017-10-20,1.75
2017-10-27,1.71
2017-11-03,1.70
2017-11-10,1.67
2017-11-17,1.59
2017-11-24,1.58
2017-12-01,1.55
