Week,Price
2015-02-06,0.69
2015-02-13,0.71
2015-02-20,0.71
2015-02-27,0.72
2015-03-06,0.72
2015-03-13,0.72
2015-03-20,0.73
2015-03-27,0.71
2015-04-03,0.75
2015-04-10,0.78
2015-04-17,0.77
2015-04-24,0.93
2015-05-01,1.01
2015-05-08,1.18
2015-05-15,1.1
2015-05-22,0.93
2015-05-29,1.02
2015-06-05,1.03
2015-06-12,1.3
2015-06-19,1.48
2015-06-26,1.79
2015-07-03,2.01
2015-07-10,1.91
2015-07-17,2.02
2015-07-24,2.07
2015-07-31,2.11
2015-08-07,2.06
2015-08-14,2.26
2015-08-21,1.91
2015-08-28,1.76
2015-09-04,1.75
2015-09-11,1.72
2015-09-18,1.72
2015-09-25,1.73
2015-10-02,1.95
2015-10-09,1.94
2015-10-16,1.98
2015-10-23,1.92
2015-10-30,1.93
2015-11-06,1.96
2015-11-13,1.84
2015-11-20,1.79
2015-11-27,1.77
2015-12-04,1.78
2015-12-11,1.81
2015-12-18,1.88
2015-12-25,1.86
2016-01-01,1.83
2016-01-08,1.78
2016-01-15,1.73
2016-01-22,1.96
2016-01-29,1.94
2016-02-05,2.04
2016-02-12,2.03
2016-02-19,2.22
2016-02-26,2.01
2016-03-04,2.01
2016-03-11,1.95
2016-03-18,2.01
2016-03-25,1.98
2016-04-01,1.97
2016-04-08,1.97
2016-04-15,1.93
2016-04-22,1.89
2016-04-29,1.87
2016-05-06,1.77
2016-05-13,1.84
2016-05-20,1.78
2016-05-27,1.82
2016-06-03,1.81
2016-06-10,1.84
2016-06-17,1.82
2016-06-24,1.8
2016-07-01,1.83
2016-07-08,1.91
2016-07-15,1.97
2016-07-22,1.96
2016-07-29,1.97
2016-08-05,1.91
2016-08-12,1.88
2016-08-19,1.9
2016-08-26,1.9
2016-09-02,2.06
2016-09-09,2.02
2016-09-16,2.05
2016-09-23,2.02
2016-09-30,1.98
2016-10-07,1.93
2016-10-14,1.9
2016-10-21,1.93
2016-10-28,1.91
2016-11-04,1.9
2016-11-11,1.9
2016-11-18,1.85
2016-11-25,1.86
2016-12-02,1.97
2016-12-09,1.9
2016-12-16,1.91
2016-12-23,1.9
2016-12-30,1.9
2017-01-06,2.02
2017-01-13,2
2017-01-20,1.99
2017-01-27,2.02
2017-02-03,1.98
2017-02-10,2.08
2017-02-17,1.99
2017-02-24,2.01
2017-03-03,1.98
2017-03-10,1.98
2017-03-17,1.97
2017-03-24,2
2017-03-31,1.98
2017-04-07,1.95
2017-04-14,1.86
2017-04-21,1.86
2017-04-28,1.88
2017-05-05,1.88
2017-05-12,1.88
2017-05-19,2.1
2017-05-26,2.06
2017-06-02,2.04
2017-06-09,2.03
2017-06-16,2.02
2017-06-23,2.16
2017-06-30,2.2
2017-07-07,2.4
2017-07-14,2.22
2017-07-21,2.17
2017-07-28,2.15
2017-08-04,2.09
2017-08-11,2.09
2017-08-18,2.07
2017-08-25,2.07
2017-09-01,2.06
2017-09-08,2.06
2017-09-15,2.06
2017-09-22,2.05
2017-09-29,2.15
2017-10-06,2.10
2017-10-13,2.11
2017-10-20,2.07
2017-10-27,2.11
2017-11-03,2.10
2017-11-10,2.07
2017-11-17,2.07
2017-11-24,2.06
2017-12-01,2.05
2017-12-08,2.06
2017-12-15,2.07
2017-12-22,2.06
2017-12-29,2.05
2018-01-05,2.07
2018-01-12,2.06
2018-01-19,2.08
2018-01-26,2.68
2018-02-02,2.64
2018-02-09,2.85
2018-02-16,3.05
2018-02-23,3.34
2018-03-02,3.50
2018-03-09,3.43
2018-03-16,3.21
2018-03-23,3.30
2018-03-30,3.25
2018-04-06,3.21
2018-04-13,3.38
2018-04-20,3.42
2018-04-27,3.31
2018-05-04,3.21
2018-05-11,3.22
2018-05-18,3.22
2018-05-25,3.19
2018-06-01,2.87
2018-06-08,2.96
2018-06-15,2.89
2018-06-22,2.67
2018-06-29,2.68
2018-07-06,2.62
2018-07-13,2.85
2018-07-20,2.78
2018-07-27,2.79
2018-08-03,2.85
2018-08-10,2.88
2018-08-17,2.90
2018-08-24,2.87
2018-08-31,2.84
2018-09-07,2.68
2018-09-14,2.62
2018-09-21,2.51
2018-09-28,2.45
2018-10-05,2.36
2018-10-12,2.25
2018-10-19,2.41
2018-10-26,2.27
2018-11-02,2.28
2018-11-09,2.26
2018-11-16,2.44
2018-11-23,2.30
2018-11-30,2.28
2018-12-07,2.40
2018-12-14,2.38
2018-12-21,2.50
2018-12-28,2.37
2019-01-04,2.45
2019-01-11,2.56
2019-01-18,2.62
2019-01-25,2.43
2019-02-01,2.61
2019-02-08,2.79
2019-02-15,2.63
2019-02-22,3.00
2019-03-01,2.87
2019-03-08,3.02
2019-03-15,3.16
2019-03-22,3.12
2019-03-29,2.99
2019-04-05,2.91
2019-04-12,2.93
2019-04-19,2.92
2019-04-26,2.84
2019-05-03,3.00
2019-05-10,3.04
2019-05-17,3.31
2019-05-24,3.28
2019-05-31,3.59
2019-06-07,3.62
2019-06-14,3.55
2019-06-21,3.67
2019-06-28,3.81
2019-07-05,3.86
2019-07-12,3.89
2019-07-19,4.01
2019-07-26,4.26
2019-08-02,4.04
2019-08-09,3.74
2019-08-16,3.73
2019-08-23,3.54
2019-08-30,3.55
2019-09-06,3.43
2019-09-13,3.63
2019-09-20,3.50
2019-09-27,3.59
2019-10-04,3.43
2019-10-11,3.49
2019-10-18,3.77
2019-10-25,3.70
2019-11-01,3.60
2019-11-08,3.53
2019-11-15,3.62
2019-11-22,3.41
2019-11-29,3.39
2019-12-06,3.33
2019-12-13,3.08
2019-12-20,2.98
2019-12-27,2.99
2020-01-03,2.92
2020-01-10,2.92
2020-01-17,2.83
2020-01-24,2.72
2020-01-31,2.55
2020-02-07,2.78
2020-02-14,2.50
2020-02-21,2.49
2020-02-28,2.00
2020-03-06,2.14
2020-03-13,1.82
2020-03-20,1.50
2020-03-27,1.78
2020-04-03,1.50
2020-04-10,1.50
2020-04-17,1.65
