Week,Price
2015-07-17,2.61
2015-07-24,2.60
2015-07-31,2.50
2015-08-07,2.35
2015-08-14,2.38
2015-08-21,2.50
2015-08-28,2.25
2015-09-04,2.30
2015-09-11,2.30
2015-09-18,2.40
2015-09-25,2.31
2015-10-02,2.34
2015-10-09,2.15
2015-10-16,2.20
2015-10-23,2.33
2015-10-30,2.21
2015-11-06,2.15
2015-11-13,2.19
2015-11-20,2.20
2015-11-27,2.05
2015-12-04,2.00
2015-12-11,1.85
2015-12-18,1.83
2015-12-25,1.82
2016-01-01,1.80
2016-01-08,1.84
2016-01-15,1.65
2016-01-22,1.55
2016-01-29,1.65
2016-02-05,1.82
2016-02-12,2.27
2016-02-19,2.07
2016-02-26,2.09
2016-03-04,2.16
2016-03-11,2.28
2016-03-18,2.08
2016-03-25,2.05
2016-04-01,2.11
2016-04-08,2.02
2016-04-15,2.16
2016-04-22,2.15
2016-04-29,2.05
2016-05-06,2.03
2016-05-13,2.01
2016-05-20,2.44
2016-05-27,2.31
2016-06-03,2.22
2016-06-10,2.31
2016-06-17,2.46
2016-06-24,3.20
2016-07-01,3.50
2016-07-08,3.48
2016-07-15,3.27
2016-07-22,3.12
2016-07-29,3.19
2016-08-05,3.10
2016-08-12,3.26
2016-08-19,3.12
2016-08-26,3.09
2016-09-02,2.95
2016-09-09,3.00
2016-09-16,2.68
2016-09-23,3.10
2016-09-30,3.05
2016-10-07,3.08
2016-10-14,2.96
2016-10-21,2.90
2016-10-28,2.96
2016-11-04,3.10
2016-11-11,3.10
2016-11-18,2.86
2016-11-25,2.85
2016-12-02,2.93
2016-12-09,2.83
2016-12-16,2.78
2016-12-23,2.70
2016-12-30,2.62
2017-01-06,2.87
2017-01-13,2.96
2017-01-20,2.79
2017-01-27,2.71
2017-02-03,2.65
2017-02-10,2.32
2017-02-17,1.99
2017-02-24,2.22
2017-03-03,1.87
2017-03-10,1.89
2017-03-17,1.66
2017-03-24,1.65
2017-03-31,1.47
2017-04-07,1.50
2017-04-14,1.57
2017-04-21,1.45
2017-04-28,1.49
2017-05-05,1.88
2017-05-12,1.86
2017-05-19,1.98
2017-05-26,1.88
2017-06-02,1.69
2017-06-09,1.70
2017-06-16,1.64
2017-06-23,1.63
2017-06-30,1.72
2017-07-07,1.81
2017-07-14,1.72
2017-07-21,1.68
2017-07-28,1.60
2017-08-04,1.59
2017-08-11,1.66
2017-08-18,1.66
2017-08-25,1.62
2017-09-01,1.66
2017-09-08,1.75
2017-09-15,1.68
2017-09-22,1.71
2017-09-29,1.83
2017-10-06,1.85
2017-10-13,1.84
2017-10-20,1.72
2017-10-27,1.72
2017-11-03,1.74
2017-11-10,1.68
2017-11-17,1.67
2017-11-24,1.67
2017-12-01,1.67
2017-12-08,1.62
2017-12-15,1.54
2017-12-22,1.49
2017-12-29,1.55
2018-01-05,1.55
2018-01-12,1.58
2018-01-19,1.52
2018-01-26,1.58
2018-02-02,1.53
2018-02-09,1.51
2018-02-16,1.77
2018-02-23,1.77
2018-03-02,1.61
2018-03-09,1.73
2018-03-16,1.64
2018-03-23,1.69
2018-03-30,1.69
2018-04-06,1.78
2018-04-13,1.85
2018-04-20,1.73
2018-04-27,1.66
2018-05-04,1.70
2018-05-11,1.69
2018-05-18,1.66
2018-05-25,1.60
2018-06-01,1.59
2018-06-08,1.60
2018-06-15,1.56
2018-06-22,1.48
2018-06-29,1.46
2018-07-06,1.43
2018-07-13,1.45
2018-07-20,1.42
2018-07-27,1.43
2018-08-03,1.56
2018-08-10,1.63
2018-08-17,1.58
2018-08-24,1.60
2018-08-31,1.59
2018-09-07,1.51
2018-09-14,1.58
2018-09-21,1.50
2018-09-28,1.48
2018-10-05,1.45
2018-10-12,1.46
2018-10-19,1.59
2018-10-26,1.78
2018-11-02,1.82
2018-11-09,1.78
2018-11-16,1.80
2018-11-23,1.70
2018-11-30,1.57
2018-12-07,1.62
2018-12-14,1.59
2018-12-21,1.65
2018-12-28,1.67
2019-01-04,1.69
2019-01-11,1.64
2019-01-18,1.63
2019-01-25,1.59
2019-02-01,1.55
2019-02-08,1.52
2019-02-15,1.49
2019-02-22,1.50
2019-03-01,1.52
2019-03-08,1.50
2019-03-15,1.45
2019-03-22,1.45
2019-03-29,1.43
2019-04-05,1.37
2019-04-12,1.30
2019-04-19,1.29
2019-04-26,1.33
2019-05-03,1.30
2019-05-10,1.24
2019-05-17,1.20
2019-05-24,1.07
2019-05-31,1.19
2019-06-07,1.15
2019-06-14,1.21
2019-06-21,1.30
2019-06-28,1.24
2019-07-05,1.18
2019-07-12,1.14
2019-07-19,1.20
2019-07-26,1.20
2019-08-02,1.28
2019-08-09,1.30
2019-08-16,1.35
2019-08-23,1.25
2019-08-30,1.24
2019-09-06,1.23
2019-09-13,1.22
2019-09-20,1.20
2019-09-27,1.19
2019-10-04,1.14
2019-10-11,1.14
2019-10-18,1.14
2019-10-25,1.14
2019-11-01,1.13
2019-11-08,1.10
2019-11-15,1.10
2019-11-22,1.08
2019-11-29,1.07
2019-12-06,1.04
2019-12-13,0.95
2019-12-20,0.90
2019-12-27,0.99
2020-01-03,1.07
2020-01-10,1.09
2020-01-17,1.05
2020-01-24,1.09
2020-01-31,0.99
2020-02-07,1.00
2020-02-14,0.97
2020-02-21,1.09
2020-02-28,1.00
2020-03-06,0.99
2020-03-13,0.75
2020-03-20,0.58
2020-03-27,0.72
2020-04-03,0.73
