Week,Price
2015-03-06,9.94
2015-03-13,9.46
2015-03-20,9.06
2015-03-27,9.00
2015-04-03,8.71
2015-04-10,8.61
2015-04-17,8.03
2015-04-24,8.12
2015-05-01,8.00
2015-05-08,8.20
2015-05-15,8.07
2015-05-22,7.50
2015-05-29,6.60
2015-06-05,7.35
2015-06-12,6.99
2015-06-19,6.61
2015-06-26,6.58
2015-07-03,6.39
2015-07-10,5.69
2015-07-17,5.72
2015-07-24,5.60
2015-07-31,5.50
2015-08-07,5.35
2015-08-14,4.90
2015-08-21,4.70
2015-08-28,4.57
2015-09-04,4.25
2015-09-11,4.55
2015-09-18,5.02
2015-09-25,4.73
2015-10-02,4.56
2015-10-09,4.89
2015-10-16,5.88
2015-10-23,5.90
2015-10-30,5.65
2015-11-06,5.85
2015-11-13,4.93
2015-11-20,4.78
2015-11-27,4.14
2015-12-04,4.31
2015-12-11,4.18
2015-12-18,4.08
2015-12-25,4.03
2016-01-01,4.04
2016-01-08,4.00
2016-01-15,4.01
2016-01-22,4.00
2016-01-29,4.00
2016-02-05,4.32
2016-02-12,4.45
2016-02-19,4.45
2016-02-26,4.36
2016-03-04,4.28
2016-03-11,4.55
2016-03-18,4.61
2016-03-25,4.50
2016-04-01,4.19
2016-04-08,4.27
2016-04-15,4.22
2016-04-22,4.23
2016-04-29,4.18
2016-05-06,4.20
2016-05-13,4.20
2016-05-20,4.53
2016-05-27,4.42
2016-06-03,4.30
2016-06-10,4.52
2016-06-17,4.58
2016-06-24,4.25
2016-07-01,4.38
2016-07-08,4.40
2016-07-15,4.36
2016-07-22,4.27
2016-07-29,4.25
2016-08-05,4.14
2016-08-12,3.93
2016-08-19,4.00
2016-08-26,3.86
2016-09-02,3.89
2016-09-09,3.95
2016-09-16,3.95
2016-09-23,4.22
2016-09-30,4.27
2016-10-07,4.12
2016-10-14,4.10
2016-10-21,4.16
2016-10-28,3.97
2016-11-04,4.00
2016-11-11,5.09
2016-11-18,4.82
2016-11-25,5.30
2016-12-02,5.26
2016-12-09,4.90
2016-12-16,5.00
2016-12-23,4.96
2016-12-30,4.99
2017-01-06,5.10
2017-01-13,5.26
2017-01-20,5.22
2017-01-27,5.32
2017-02-03,5.66
2017-02-10,5.73
2017-02-17,5.90
2017-02-24,5.70
2017-03-03,5.70
2017-03-10,5.48
2017-03-17,5.49
2017-03-24,5.57
2017-03-31,5.30
2017-04-07,5.34
2017-04-14,5.20
2017-04-21,5.20
2017-04-28,5.26
2017-05-05,5.31
2017-05-12,5.10
2017-05-19,5.10
2017-05-26,5.12
2017-06-02,5.00
2017-06-09,5.00
2017-06-16,5.09
2017-06-23,5.00
2017-06-30,5.21
2017-07-07,5.12
2017-07-14,5.23
2017-07-21,5.13
2017-07-28,5.16
2017-08-04,5.29
2017-08-11,4.90
2017-08-18,4.90
2017-08-25,4.90
2017-09-01,5.14
2017-09-08,5.57
2017-09-15,5.03
2017-09-22,4.84
2017-09-29,4.70
2017-10-06,4.94
2017-10-13,5.08
2017-10-20,4.87
2017-10-27,4.93
2017-11-03,5.04
2017-11-10,5.01
2017-11-17,4.80
2017-11-24,4.80
2017-12-01,4.85
2017-12-08,4.65
2017-12-15,4.43
2017-12-22,4.55
2017-12-29,5.00
2018-01-05,5.00
2018-01-12,4.95
2018-01-19,4.95
2018-01-26,4.95
2018-02-02,5.00
2018-02-09,4.86
2018-02-16,4.96
2018-02-23,5.01
2018-03-02,5.00
2018-03-09,5.00
2018-03-16,4.86
2018-03-23,4.72
2018-03-30,4.64
2018-04-06,4.60
2018-04-13,4.52
2018-04-20,4.45
2018-04-27,4.36
2018-05-04,4.30
2018-05-11,4.20
2018-05-18,4.20
2018-05-25,4.14
2018-06-01,4.36
2018-06-08,4.48
2018-06-15,4.43
2018-06-22,4.13
2018-06-29,4.10
2018-07-06,3.81
2018-07-13,3.94
2018-07-20,3.92
2018-07-27,3.86
2018-08-03,3.80
2018-08-10,3.71
2018-08-17,3.61
2018-08-24,3.53
2018-08-31,3.46
2018-09-07,3.26
2018-09-14,3.17
2018-09-21,3.10
2018-09-28,3.01
2018-10-05,2.90
2018-10-12,2.69
2018-10-19,2.61
2018-10-26,2.67
2018-11-02,2.90
2018-11-09,2.55
2018-11-16,2.35
2018-11-23,2.36
2018-11-30,2.64
2018-12-07,2.51
2018-12-14,2.70
2018-12-21,2.51
2018-12-28,2.56
2019-01-04,2.68
2019-01-11,2.62
2019-01-18,2.80
2019-01-25,2.85
2019-02-01,2.86
2019-02-08,3.00
2019-02-15,3.00
2019-02-22,2.95
2019-03-01,2.92
2019-03-08,2.92
2019-03-15,2.90
2019-03-22,2.90
2019-03-29,3.17
2019-04-05,2.94
2019-04-12,2.87
2019-04-19,2.81
2019-04-26,2.87
2019-05-03,2.83
2019-05-10,2.79
2019-05-17,2.76
2019-05-24,2.71
2019-05-31,2.66
2019-06-07,2.70
2019-06-14,2.68
2019-06-21,2.80
2019-06-28,2.79
2019-07-05,2.78
2019-07-12,2.70
2019-07-19,2.69
2019-07-26,2.67
2019-08-02,2.67
2019-08-09,2.74
2019-08-16,2.57
2019-08-23,2.53
2019-08-30,2.53
2019-09-06,2.56
2019-09-13,2.58
2019-09-20,2.55
2019-09-27,2.50
2019-10-04,2.50
2019-10-11,2.51
2019-10-18,2.50
2019-10-25,2.52
2019-11-01,2.54
2019-11-08,2.57
2019-11-15,2.55
2019-11-22,2.54
2019-11-29,2.40
2019-12-06,2.38
2019-12-13,2.42
2019-12-20,2.41
2019-12-27,2.50
2020-01-03,2.50
2020-01-10,2.50
2020-01-17,2.53
2020-01-24,2.50
2020-01-31,2.40
2020-02-07,2.38
2020-02-14,2.21
2020-02-21,2.40
2020-02-28,2.39
2020-03-06,2.30
2020-03-13,1.80
2020-03-20,1.75
2020-03-27,1.82
2020-04-03,1.90
2020-04-10,1.70
2020-04-17,1.99
2020-04-24,1.90
2020-05-01,1.90
2020-05-08,1.88
2020-05-15,1.93
2020-05-22,1.80
2020-05-29,1.92
2020-06-05,1.93
2020-06-12,1.95
2020-06-19,1.90
2020-06-26,1.94
2020-07-03,2.29
2020-07-10,2.37
2020-07-17,2.50
2020-07-24,2.58
2020-07-31,2.68
2020-08-07,2.74
2020-08-14,2.61
2020-08-21,2.93
2020-08-28,3.14
2020-09-04,3.50
2020-09-11,3.78
2020-09-18,4.11
2020-09-25,3.87
2020-10-02,3.80
2020-10-09,4.00
2020-10-16,3.96
2020-10-23,4.20
2020-10-30,4.06
2020-11-06,4.41
2020-11-13,5.01
