Week,Price
2015-05-01,0.28
2015-05-08,0.31
2015-05-15,0.29
2015-05-22,0.29
2015-05-29,0.27
2015-06-05,0.26
2015-06-12,0.26
2015-06-19,0.25
2015-06-26,0.24
2015-07-03,0.25
2015-07-10,0.25
2015-07-17,0.24
2015-07-24,0.26
2015-07-31,0.26
2015-08-07,0.25
2015-08-14,0.26
2015-08-21,0.24
2015-08-28,0.23
2015-09-04,0.23
2015-09-11,0.23
2015-09-18,0.24
2015-09-25,0.24
2015-10-02,0.24
2015-10-09,0.25
2015-10-16,0.26
2015-10-23,0.26
2015-10-30,0.25
2015-11-06,0.26
2015-11-13,0.25
2015-11-20,0.25
2015-11-27,0.24
2015-12-04,0.25
2015-12-11,0.22
2015-12-18,0.22
2015-12-25,0.21
2016-01-01,0.21
2016-01-08,0.21
2016-01-15,0.20
2016-01-22,0.20
2016-01-29,0.20
2016-02-05,0.21
2016-02-12,0.23
2016-02-19,0.23
2016-02-26,0.23
2016-03-04,0.25
2016-03-11,0.28
2016-03-18,0.29
2016-03-25,0.27
2016-04-01,0.29
2016-04-08,0.29
2016-04-15,0.32
2016-04-22,0.32
2016-04-29,0.38
2016-05-06,0.44
2016-05-13,0.45
2016-05-20,0.34
2016-05-27,0.38
2016-06-03,0.39
2016-06-10,0.37
2016-06-17,0.36
2016-06-24,0.37
2016-07-01,0.37
2016-07-08,0.37
2016-07-15,0.39
2016-07-22,0.39
2016-07-29,0.39
2016-08-05,0.41
2016-08-12,0.40
2016-08-19,0.39
2016-08-26,0.38
2016-09-02,0.38
2016-09-09,0.39
2016-09-16,0.37
2016-09-23,0.37
2016-09-30,0.36
2016-10-07,0.36
2016-10-14,0.34
2016-10-21,0.34
2016-10-28,0.33
2016-11-04,0.33
2016-11-11,0.32
2016-11-18,0.32
2016-11-25,0.32
2016-12-02,0.31
2016-12-09,0.31
2016-12-16,0.32
2016-12-23,0.30
2016-12-30,0.31
2017-01-06,0.31
2017-01-13,0.31
2017-01-20,0.32
2017-01-27,0.31
2017-02-03,0.34
2017-02-10,0.34
2017-02-17,0.36
2017-02-24,0.38
2017-03-03,0.40
2017-03-10,0.37
2017-03-17,0.37
2017-03-24,0.32
2017-03-31,0.33
2017-04-07,0.48
2017-04-14,0.42
2017-04-21,0.42
2017-04-28,0.42
2017-05-05,0.43
2017-05-12,0.36
2017-05-19,0.34
2017-05-26,0.36
2017-06-02,0.35
2017-06-09,0.34
2017-06-16,0.35
2017-06-23,0.36
2017-06-30,0.35
2017-07-07,0.34
2017-07-14,0.34
2017-07-21,0.33
2017-07-28,0.33
2017-08-04,0.32
2017-08-11,0.31
2017-08-18,0.31
2017-08-25,0.32
2017-09-01,0.32
2017-09-08,0.32
2017-09-15,0.33
2017-09-22,0.34
2017-09-29,0.36
2017-10-06,0.35
2017-10-13,0.41
2017-10-20,0.42
2017-10-27,0.44
2017-11-03,0.45
2017-11-10,0.43
2017-11-17,0.40
2017-11-24,0.37
2017-12-01,0.38
2017-12-08,0.38
2017-12-15,0.39
2017-12-22,0.43
2017-12-29,0.41
2018-01-05,0.42
2018-01-12,0.44
2018-01-19,0.40
2018-01-26,0.43
2018-02-02,0.55
2018-02-09,0.60
2018-02-16,0.56
2018-02-23,0.63
2018-03-02,0.68
2018-03-09,0.67
2018-03-16,0.62
2018-03-23,0.57
2018-03-30,0.57
2018-04-06,0.63
2018-04-13,0.65
