Week,Price
2015-03-06,2.38
2015-03-13,2.34
2015-03-20,2.37
2015-03-27,2.32
2015-04-03,2.45
2015-04-10,2.30
2015-04-17,2.33
2015-04-24,2.33
2015-05-01,2.33
2015-05-08,2.23
2015-05-15,2.46
2015-05-22,2.47
2015-05-29,2.48
2015-06-05,2.47
2015-06-12,2.29
2015-06-19,2.33
2015-06-26,2.27
2015-07-03,2.29
2015-07-10,2.29
2015-07-17,2.30
2015-07-24,2.33
2015-07-31,2.23
2015-08-07,2.22
2015-08-14,2.15
2015-08-21,2.17
2015-08-28,2.07
2015-09-04,2.07
2015-09-11,2.07
2015-09-18,2.07
2015-09-25,2.32
2015-10-02,2.31
2015-10-09,1.93
2015-10-16,1.93
2015-10-23,1.93
2015-10-30,2.00
2015-11-06,1.90
2015-11-13,1.90
2015-11-20,1.90
2015-11-27,1.90
2015-12-04,1.90
2015-12-11,1.83
2015-12-18,1.50
2015-12-25,1.50
2016-01-01,1.83
2016-01-08,1.83
2016-01-15,1.67
2016-01-22,1.26
2016-01-29,1.33
2016-02-05,1.33
2016-02-12,1.80
2016-02-19,1.73
2016-02-26,1.73
2016-03-04,1.63
2016-03-11,1.63
2016-03-18,1.62
2016-03-25,1.62
2016-04-01,2.46
2016-04-08,2.48
2016-04-15,2.93
2016-04-22,2.76
2016-04-29,2.77
2016-05-06,2.67
2016-05-13,2.60
2016-05-20,2.67
2016-05-27,2.67
2016-06-03,2.59
2016-06-10,2.60
2016-06-17,2.42
2016-06-24,2.43
2016-07-01,2.46
2016-07-08,2.36
2016-07-15,2.20
2016-07-22,2.36
2016-07-29,2.28
2016-08-05,2.10
2016-08-12,2.08
2016-08-19,2.21
2016-08-26,2.31
2016-09-02,2.21
2016-09-09,2.20
2016-09-16,2.20
2016-09-23,2.12
2016-09-30,2.10
2016-10-07,2.10
2016-10-14,2.14
2016-10-21,2.15
2016-10-28,2.26
2016-11-04,2.14
2016-11-11,2.36
2016-11-18,2.30
2016-11-25,2.30
2016-12-02,2.18
2016-12-09,2.25
2016-12-16,2.14
2016-12-23,2.14
