Week,Price
2015-02-20,4.41
2015-02-27,4.29
2015-03-06,4.41
2015-03-13,4.40
2015-03-20,4.30
2015-03-27,4.27
2015-04-03,4.22
2015-04-10,4.28
2015-04-17,4.20
2015-04-24,4.03
2015-05-01,4.17
2015-05-08,4.12
2015-05-15,4.10
2015-05-22,4.03
2015-05-29,3.50
2015-06-05,3.70
2015-06-12,3.48
2015-06-19,3.37
2015-06-26,3.38
2015-07-03,3.33
2015-07-10,3.20
2015-07-17,3.38
2015-07-24,3.70
2015-07-31,3.70
2015-08-07,3.75
2015-08-14,3.35
2015-08-21,3.20
2015-08-28,3.09
2015-09-04,3.07
2015-09-11,3.04
2015-09-18,3.01
2015-09-25,3.03
2015-10-02,2.98
2015-10-09,3.06
2015-10-16,3.28
2015-10-23,3.49
2015-10-30,3.46
2015-11-06,3.44
2015-11-13,3.35
2015-11-20,3.20
2015-11-27,3.18
2015-12-04,3.16
2015-12-11,3.41
2015-12-18,2.94
2015-12-25,2.70
2016-01-01,2.91
2016-01-08,2.70
2016-01-15,2.30
2016-01-22,2.11
2016-01-29,2.37
2016-02-05,2.46
2016-02-12,2.50
2016-02-19,3.01
2016-02-26,3.15
2016-03-04,3.22
2016-03-11,3.15
2016-03-18,2.83
2016-03-25,2.95
2016-04-01,2.99
2016-04-08,3.00
2016-04-15,3.14
2016-04-22,3.03
2016-04-29,3.04
2016-05-06,2.95
2016-05-13,3.06
2016-05-20,3.14
2016-05-27,3.32
2016-06-03,3.19
2016-06-10,3.29
2016-06-17,3.36
2016-06-24,3.32
2016-07-01,3.28
2016-07-08,3.32
2016-07-15,3.43
2016-07-22,3.36
2016-07-29,3.22
2016-08-05,3.15
2016-08-12,3.22
2016-08-19,3.10
2016-08-26,3.12
2016-09-02,3.00
2016-09-09,2.94
2016-09-16,2.83
2016-09-23,2.91
2016-09-30,2.98
2016-10-07,2.90
2016-10-14,2.83
2016-10-21,2.92
2016-10-28,2.92
2016-11-04,3.10
2016-11-11,3.08
2016-11-18,3.25
2016-11-25,3.11
2016-12-02,2.93
2016-12-09,3.00
2016-12-16,3.08
2016-12-23,3.10
2016-12-30,3.20
2017-01-06,3.18
2017-01-13,3.17
2017-01-20,3.25
2017-01-27,3.25
2017-02-03,3.34
2017-02-10,3.33
2017-02-17,3.33
2017-02-24,3.50
2017-03-03,3.63
2017-03-10,3.75
2017-03-17,3.66
2017-03-24,3.81
2017-03-31,4.00
2017-04-07,3.91
2017-04-14,3.95
2017-04-21,3.87
2017-04-28,4.10
2017-05-05,4.30
2017-05-12,4.21
2017-05-19,4.14
2017-05-26,4.20
2017-06-02,4.05
2017-06-09,3.99
2017-06-16,4.00
2017-06-23,3.78
2017-06-30,3.83
2017-07-07,3.88
2017-07-14,3.78
2017-07-21,3.72
2017-07-28,3.79
2017-08-04,3.72
2017-08-11,3.59
2017-08-18,3.55
2017-08-25,3.58
2017-09-01,3.68
2017-09-08,3.82
2017-09-15,3.85
2017-09-22,3.82
2017-09-29,3.76
2017-10-06,3.79
2017-10-13,3.82
2017-10-20,3.77
2017-10-27,3.76
2017-11-03,3.85
2017-11-10,3.86
2017-11-17,3.80
2017-11-24,3.69
2017-12-01,3.66
2017-12-08,3.66
2017-12-15,3.98
2017-12-22,3.79
2017-12-29,3.88
2018-01-05,3.86
2018-01-12,3.89
2018-01-19,3.90
2018-01-26,3.85
2018-02-02,3.77
2018-02-09,3.63
2018-02-16,3.70
2018-02-23,3.75
2018-03-02,3.78
2018-03-09,3.93
2018-03-16,3.78
2018-03-23,3.66
2018-03-30,3.71
2018-04-06,3.63
2018-04-13,3.48
2018-04-20,3.44
2018-04-27,3.34
2018-05-04,3.36
2018-05-11,3.46
2018-05-18,3.45
2018-05-25,3.48
2018-06-01,3.38
2018-06-08,3.38
2018-06-15,3.38
2018-06-22,3.20
2018-06-29,3.14
2018-07-06,3.13
2018-07-13,3.19
2018-07-20,3.18
2018-07-27,3.22
2018-08-03,3.18
2018-08-10,3.13
2018-08-17,3.11
2018-08-24,3.08
