Week,Price
2015-08-07,0.2250
2015-08-14,0.2080
2015-08-21,0.2100
2015-08-28,0.2000
2015-09-04,0.1850
2015-09-11,0.1900 
2015-09-18,0.1980
2015-09-25,0.1880
2015-10-02,0.1850
2015-10-09,0.1890
2015-10-16,0.2100
2015-10-23,0.2050
2015-10-30,0.2250
2015-11-06,0.2120
2015-11-13,0.2110
2015-11-20,0.2100
2015-11-27,0.2100
2015-12-04,0.2100
2015-12-11,0.2100
2015-12-18,0.2100
2015-12-25,0.2030
2016-01-01,0.2100
2016-01-08,0.1950
2016-01-15,0.1930
2016-01-22,0.2090
2016-01-29,0.2030
2016-02-05,0.2070
2016-02-12,0.2200
2016-02-19,0.2220
2016-02-26,0.2390
2016-03-04,0.2480
2016-03-11,0.2470
2016-03-18,0.2380
2016-03-25,0.2500
2016-04-01,0.2500
2016-04-08,0.2330
2016-04-15,0.2600
2016-04-22,0.2550
2016-04-29,0.2500
2016-05-06,0.2360
2016-05-13,0.2440
2016-05-20,0.2400
2016-05-27,0.2330
2016-06-03,0.2300
2016-06-10,0.2350
2016-06-17,0.2280
2016-06-24,0.2350
2016-07-01,0.2340
2016-07-08,0.2300
2016-07-15,0.2270
2016-07-22,0.2320
2016-07-29,0.2300
2016-08-05,0.2210
2016-08-12,0.2180
2016-08-19,0.2150
2016-08-26,0.2190
2016-09-02,0.2200
2016-09-09,0.2200
2016-09-16,0.2180
2016-09-23,0.2200
2016-09-30,0.2110
2016-10-07,0.2200
2016-10-14,0.2030
2016-10-21,0.2030
2016-10-28,0.2030
2016-11-04,0.2130
2016-11-11,0.2060
2016-11-18,0.1960
2016-11-25,0.1900
2016-12-02,0.2040
2016-12-09,0.2000
2016-12-16,0.2000
2016-12-23,0.1850
2016-12-30,0.1950
2017-01-06,0.2000
2017-01-13,0.2080
2017-01-20,0.2100
2017-01-27,0.1990
2017-02-03,0.1900
2017-02-10,0.2850
2017-02-17,0.2800
2017-02-24,0.2800
2017-03-03,0.2850
2017-03-10,0.2700
2017-03-17,0.2700
2017-03-24,0.2550
2017-03-31,0.2430
2017-04-07,0.2550
2017-04-14,0.2550
2017-04-21,0.2490
2017-04-28,0.2750
2017-05-05,0.2700
2017-05-12,0.2900
2017-05-19,0.2800
2017-05-26,0.2700
2017-06-02,0.2700
2017-06-09,0.2850
2017-06-16,0.2700
2017-06-23,0.2750
2017-06-30,0.2600
2017-07-07,0.2700
2017-07-14,0.2700
2017-07-21,0.2650
2017-07-28,0.2650
2017-08-04,0.2600
2017-08-11,0.2290
2017-08-18,0.2440
2017-08-25,0.2400
2017-09-01,0.2400
2017-09-08,0.2450
2017-09-15,0.2380
2017-09-22,0.2380
2017-09-29,0.2250
2017-10-06,0.2300
2017-10-13,0.2210
2017-10-20,0.2140
2017-10-27,0.2280
2017-11-03,0.2210
2017-11-10,0.2170
2017-11-17,0.2260
2017-11-24,0.2200
2017-12-01,0.2160
2017-12-08,0.2230
2017-12-15,0.2180
2017-12-22,0.2150
2017-12-29,0.2240
2018-01-05,0.2170
2018-01-12,0.2190
2018-01-19,0.2150
2018-01-26,0.2190
2018-02-02,0.2300
2018-02-09,0.2140
2018-02-16,0.2150
2018-02-23,0.2160
2018-03-02,0.2160
2018-03-09,0.2260
2018-03-16,0.2240
2018-03-23,0.2170
2018-03-30,0.2450
2018-04-06,0.2360
2018-04-13,0.2350
2018-04-20,0.2240
2018-04-27,0.2300
2018-05-04,0.2270
2018-05-11,0.2280
2018-05-18,0.2230
2018-05-25,0.2280
2018-06-01,0.2270
2018-06-08,0.2230
2018-06-15,0.2320
2018-06-22,0.2280
2018-06-29,0.2280
2018-07-06,0.2370
2018-07-13,0.2470
2018-07-20,0.2650
2018-07-27,0.2370
2018-08-03,0.2350
2018-08-10,0.2370
2018-08-17,0.2400
2018-08-24,0.2400
2018-08-31,0.2340
2018-09-07,0.2240
2018-09-14,0.2230
2018-09-21,0.2270
2018-09-28,0.2240
2018-10-05,0.2200
2018-10-12,0.2140
2018-10-19,0.2180
2018-10-26,0.2100
2018-11-02,0.2190
2018-11-09,0.2150
2018-11-16,0.2260
2018-11-23,0.2490
2018-11-30,0.2500
2018-12-07,0.2500
2018-12-14,0.2500
2018-12-21,0.2350
2018-12-28,0.2400
2019-01-04,0.2550
2019-01-11,0.2500
2019-01-18,0.2480
2019-01-25,0.2460
2019-02-01,0.2550
2019-02-08,0.2550
2019-02-15,0.2500
2019-02-22,0.2470
2019-03-01,0.2460
2019-03-08,0.2430
2019-03-15,0.2430
2019-03-22,0.2400
2019-03-29,0.2440
2019-04-05,0.2400
2019-04-12,0.2440
2019-04-19,0.2480
2019-04-26,0.2450
2019-05-03,0.2460
2019-05-10,0.2500
2019-05-17,0.2600
2019-05-24,0.2800
2019-05-31,0.2900
2019-06-07,0.2800
2019-06-14,0.2750
2019-06-21,0.2750
2019-06-28,0.2650
2019-07-05,0.2600
2019-07-12,0.2650
2019-07-19,0.2700
2019-07-26,0.2700
2019-08-02,0.2700
2019-08-09,0.2450
2019-08-16,0.2450
2019-08-23,0.2390
2019-08-30,0.2490
2019-09-06,0.2470
2019-09-13,0.2460
2019-09-20,0.2500
2019-09-27,0.2460
2019-10-04,0.2460
2019-10-11,0.2500
2019-10-18,0.2650
2019-10-25,0.2470
2019-11-01,0.2490
2019-11-08,0.2470
2019-11-15,0.2430
2019-11-22,0.2430
2019-11-29,0.2380
2019-12-06,0.2370
2019-12-13,0.2310
2019-12-20,0.2390
2019-12-27,0.2450
2020-01-03,0.2320
2020-01-10,0.2450
2020-01-17,0.2350
2020-01-24,0.2320
2020-01-31,0.2200
2020-02-07,0.2200
2020-02-14,0.2250
2020-02-21,0.2240
2020-02-28,0.2140
2020-03-06,0.2090
2020-03-13,0.1690
2020-03-20,0.1600
2020-03-27,0.1690
2020-04-03,0.1640
2020-04-10,0.1720
2020-04-17,0.1850
2020-04-24,0.1800
2020-05-01,0.1790
2020-05-08,0.1690
2020-05-15,0.1670
2020-05-22,0.1630
2020-05-29,0.1660
2020-06-05,0.1600
2020-06-12,0.1650
2020-06-19,0.1590
2020-06-26,0.1600
2020-07-03,0.1560
2020-07-10,0.1580
2020-07-17,0.1590
2020-07-24,0.1580
2020-07-31,0.1630
2020-08-07,0.1700
2020-08-14,0.1600
2020-08-21,0.1600
2020-08-28,0.1780
2020-09-04,0.1820
2020-09-11,0.1800
2020-09-18,0.1640
2020-09-25,0.1600
2020-10-02,0.1580
2020-10-09,0.1630
2020-10-16,0.1730
2020-10-23,0.2100
2020-10-30,0.2290
2020-11-06,0.2200
2020-11-13,0.2200
2020-11-20,0.2160
2020-11-27,0.2900
2020-12-04,0.3150
2020-12-11,0.3050
2020-12-18,0.4700
