Week,Price
2017-08-11,9.58
2017-08-18,10.26
2017-08-25,10.72
2017-09-01,10.24
2017-09-08,10.56
2017-09-15,10.34
2017-09-22,10.22
2017-09-29,10.20
2017-10-06,9.94
2017-10-13,9.56
2017-10-20,10.00
2017-10-27,9.40
2017-11-03,9.77
2017-11-10,9.35
2017-11-17,9.27
2017-11-24,9.02
2017-12-01,8.74
2017-12-08,8.68
2017-12-15,8.99
2017-12-22,9.01
2017-12-29,8.78
2018-01-05,8.65
2018-01-12,8.36
2018-01-19,8.42
2018-01-26,9.23
2018-02-02,9.16
2018-02-09,9.10
2018-02-16,8.65
2018-02-23,7.60
2018-03-02,7.45
2018-03-09,7.95
2018-03-16,7.45
2018-03-23,7.84
2018-03-30,8.02
2018-04-06,7.71
2018-04-13,7.40
2018-04-20,6.90
2018-04-27,6.98
2018-05-04,6.87
2018-05-11,7.14
2018-05-18,7.36
2018-05-25,7.50
2018-06-01,7.45
2018-06-08,7.62
2018-06-15,8.10
2018-06-22,7.26
2018-06-29,7.55
2018-07-06,6.98
2018-07-13,6.99
2018-07-20,6.95
2018-07-27,7.13
2018-08-03,7.00
2018-08-10,6.80
2018-08-17,6.68
2018-08-24,6.47
2018-08-31,6.32
2018-09-07,6.15
2018-09-14,5.86
2018-09-21,5.90
2018-09-28,5.50
2018-10-05,4.80
2018-10-12,4.82
2018-10-19,5.67
2018-10-26,6.06
2018-11-02,6.26
2018-11-09,7.80
2018-11-16,7.64
2018-11-23,7.79
2018-11-30,7.17
2018-12-07,6.57
2018-12-14,6.58
2018-12-21,6.46
2018-12-28,6.46
2019-01-04,6.92
2019-01-11,6.78
2019-01-18,6.76
2019-01-25,6.52
2019-02-01,6.57
2019-02-08,6.66
2019-02-15,6.20
2019-02-22,6.19
2019-03-01,6.01
2019-03-08,5.63
2019-03-15,6.05
2019-03-22,5.84
2019-03-29,5.68
2019-04-05,5.36
2019-04-12,5.31
2019-04-19,5.16
2019-04-26,5.37
2019-05-03,5.79
2019-05-10,5.88
2019-05-17,6.39
2019-05-24,6.58
2019-05-31,6.60
2019-06-07,6.54
2019-06-14,7.00
2019-06-21,8.08
2019-06-28,8.39
2019-07-05,8.59
2019-07-12,7.87
2019-07-19,7.93
2019-07-26,7.55
2019-08-02,7.32
2019-08-09,7.09
2019-08-16,6.79
2019-08-23,7.15
2019-08-30,7.06
2019-09-06,7.24
2019-09-13,7.27
2019-09-20,7.34
2019-09-27,7.00
2019-10-04,6.77
2019-10-11,6.92
2019-10-18,6.90
2019-10-25,6.78
2019-11-01,6.68
2019-11-08,6.47
2019-11-15,6.50
2019-11-22,5.96
2019-11-29,5.85
2019-12-06,5.56
2019-12-13,5.03
2019-12-20,4.90
2019-12-27,5.50
2020-01-03,5.83
2020-01-10,5.32
2020-01-17,5.33
2020-01-24,5.40
2020-01-31,5.05
2020-02-07,4.67
2020-02-14,4.43
2020-02-21,4.17
2020-02-28,3.58
2020-03-06,3.52
2020-03-13,2.68
2020-03-20,2.08
2020-03-27,2.65
2020-04-03,2.56
2020-04-10,2.61
2020-04-17,2.92
2020-04-24,3.42
2020-05-01,3.34
2020-05-08,3.20
