Week,Price
2016-07-15,09.73
2016-07-22,10.81
2016-07-29,10.77
2016-08-05,11.14
2016-08-12,10.70
2016-08-19,11.46
2016-08-26,11.05
2016-09-02,10.88
2016-09-09,10.83
2016-09-16,10.58
2016-09-23,10.96
2016-09-30,10.87
2016-10-07,10.68
2016-10-14,10.07
2016-10-21,10.50
2016-10-28,10.34
2016-11-04,10.45
2016-11-11,10.29
2016-11-18,10.05
2016-11-25,10.03
2016-12-02,10.21
2016-12-09,10.74
2016-12-16,10.63
2016-12-23,10.32
2016-12-30,10.05
2017-01-06,10.58
2017-01-13,10.68
2017-01-20,10.39
2017-01-27,10.21
2017-02-03,10.36
2017-02-10,09.15
2017-02-17,08.35
2017-02-24,08.71
2017-03-03,07.50
2017-03-10,07.79
2017-03-17,06.79
2017-03-24,06.77
2017-03-31,06.37
2017-04-07,06.87
2017-04-14,07.17
2017-04-21,07.16
2017-04-28,06.65
2017-05-05,06.29
2017-05-12,06.37
2017-05-19,06.42
2017-05-26,06.70
2017-06-02,06.61
2017-06-09,06.65
2017-06-16,06.60
2017-06-23,06.52
2017-06-30,06.43
2017-07-07,06.47
2017-07-14,06.66
2017-07-21,06.59
2017-07-28,05.44
2017-08-04,05.30
2017-08-11,05.17
2017-08-18,05.14
2017-08-25,05.77
2017-09-01,05.43
2017-09-08,05.43
2017-09-15,05.25
2017-09-22,05.18
2017-09-29,04.55
2017-10-06,04.93
2017-10-13,04.54
2017-10-20,04.63
2017-10-27,04.22
2017-11-03,03.98
2017-11-10,03.71
2017-11-17,03.83
2017-11-24,03.72
2017-12-01,03.90
2017-12-08,04.13
2017-12-15,04.46
2017-12-22,04.46
2017-12-29,04.42
2018-01-05,04.75
2018-01-12,04.77
2018-01-19,04.35
2018-01-26,04.16
2018-02-02,04.05
2018-02-09,03.69
2018-02-16,03.63
2018-02-23,03.41
2018-03-02,03.39
2018-03-09,03.47
2018-03-16,03.36
2018-03-23,03.30
2018-03-30,03.30
2018-04-06,03.28
2018-04-13,03.18
2018-04-20,02.99
2018-04-27,03.13
2018-05-04,03.03
2018-05-11,02.88
2018-05-18,02.80
2018-05-25,02.74
2018-06-01,02.81
2018-06-08,03.02
2018-06-15,02.82
2018-06-22,02.63
2018-06-29,02.86
2018-07-06,02.80
2018-07-13,02.86
2018-07-20,02.87
2018-07-27,02.85
2018-08-03,02.90
2018-08-10,03.23
2018-08-17,02.98
2018-08-24,02.92
2018-08-31,02.91
2018-09-07,02.83
2018-09-14,02.75
2018-09-21,02.48
2018-09-28,02.16
2018-10-05,01.97
2018-10-12,01.90
2018-10-19,02.01
2018-10-26,01.90
2018-11-02,01.92
2018-11-09,01.85
2018-11-16,01.80
2018-11-23,01.49
2018-11-30,01.54
2018-12-07,01.50
2018-12-14,01.65
2018-12-21,01.57
2018-12-28,01.72
2019-01-04,01.78
2019-01-11,01.84
2019-01-18,02.25
2019-01-25,02.10
2019-02-01,02.46
2019-02-08,02.24
2019-02-15,02.03
2019-02-22,02.16
2019-03-01,02.17
2019-03-08,02.34
2019-03-15,02.49
2019-03-22,02.54
2019-03-29,02.37
2019-04-05,01.83
2019-04-12,01.76
2019-04-19,01.70
2019-04-26,01.81
2019-05-03,02.08
2019-05-10,02.40
2019-05-17,02.45
2019-05-24,02.24
2019-05-31,02.26
2019-06-07,02.14
2019-06-14,02.47
2019-06-21,02.64
2019-06-28,02.64
2019-07-05,02.78
2019-07-12,02.54
2019-07-19,02.48
2019-07-26,02.54
