Week,Price
2017-06-02,05.16
2017-06-09,05.42
2017-06-16,05.37
2017-06-23,05.65
2017-06-30,05.34
2017-07-07,05.36
2017-07-14,05.31
2017-07-21,05.25
2017-07-28,04.69
2017-08-04,04.76
2017-08-11,04.90
2017-08-18,05.02
2017-08-25,05.08
2017-09-01,05.04
2017-09-08,04.92
2017-09-15,05.12
2017-09-22,05.23
2017-09-29,05.07
2017-10-06,05.03
2017-10-13,04.90
2017-10-20,04.84
2017-10-27,04.85
2017-11-03,04.91
2017-11-10,04.84
2017-11-17,04.86
2017-11-24,04.72
2017-12-01,04.85
2017-12-08,04.75
2017-12-15,04.71
2017-12-22,04.69
2017-12-29,04.88
2018-01-05,04.72
2018-01-12,04.90
2018-01-19,05.00
2018-01-26,04.82
2018-02-02,04.74
2018-02-09,04.63
2018-02-16,04.49
2018-02-23,04.50
2018-03-02,04.71
2018-03-09,04.85
2018-03-16,04.91
2018-03-23,04.60
2018-03-30,04.70
2018-04-06,04.61
2018-04-13,04.67
2018-04-20,04.51
2018-04-27,04.51
2018-05-04,04.56
2018-05-11,04.93
2018-05-18,04.92
2018-05-25,04.88
2018-06-01,04.71
2018-06-08,04.79
2018-06-15,04.76
2018-06-22,04.67
2018-06-29,04.58
2018-07-06,04.53
2018-07-13,04.65
2018-07-20,04.59
2018-07-27,04.68
2018-08-03,04.66
2018-08-10,04.62
2018-08-17,04.59
2018-08-24,04.60
2018-08-31,04.59
2018-09-07,04.49
2018-09-14,04.50
2018-09-21,04.31
2018-09-28,04.42
2018-10-05,04.35
2018-10-12,04.36
2018-10-19,04.39
2018-10-26,04.39
2018-11-02,04.30
2018-11-09,04.38
2018-11-16,03.80
2018-11-23,04.05
2018-11-30,04.08
2018-12-07,04.05
2018-12-14,04.00
2018-12-21,03.99
2018-12-28,04.14
2019-01-04,04.25
2019-01-11,04.33
2019-01-18,04.19
2019-01-25,04.26
2019-02-01,04.16
2019-02-08,04.10
2019-02-15,04.02
2019-02-22,04.23
