Week,Price
2015-07-10,3.91
2015-07-17,4.28
2015-07-24,3.97
2015-07-31,3.68
2015-08-07,4.00
2015-08-14,3.60
2015-08-21,3.51
2015-08-28,3.29
2015-09-04,3.17
2015-09-11,3.23
2015-09-18,3.03
2015-09-25,2.86
2015-10-02,2.55
2015-10-09,2.64
2015-10-16,3.17
2015-10-23,2.92
2015-10-30,2.55
2015-11-06,2.35
2015-11-13,2.30
2015-11-20,2.24
2015-11-27,2.15
2015-12-04,2.18
2015-12-11,2.04
2015-12-18,1.96
2015-12-25,1.96
2016-01-01,1.96
2016-01-08,1.45
2016-01-15,1.35
2016-01-22,1.39
2016-01-29,1.70
2016-02-05,1.90
2016-02-12,1.79
2016-02-19,2.01
2016-02-26,1.96
2016-03-04,2.01
2016-03-11,2.15
2016-03-18,2.38
2016-03-25,2.32
2016-04-01,2.35
2016-04-08,2.32
2016-04-15,2.49
2016-04-22,2.72
2016-04-29,2.64
2016-05-06,2.38
2016-05-13,2.44
2016-05-20,2.52
2016-05-27,2.55
2016-06-03,2.55
2016-06-10,2.64
2016-06-17,2.66
2016-06-24,2.38
2016-07-01,2.47
2016-07-08,2.52
2016-07-15,2.55
2016-07-22,2.49
2016-07-29,2.47
2016-08-05,2.35
2016-08-12,2.38
2016-08-19,2.38
2016-08-26,2.41
2016-09-02,2.41
2016-09-09,2.44
2016-09-16,2.41
2016-09-23,2.44
2016-09-30,2.83
2016-10-07,2.95
2016-10-14,2.89
2016-10-21,3.43
2016-10-28,3.46
2016-11-04,3.40
2016-11-11,3.68
2016-11-18,3.52
2016-11-25,3.64
2016-12-02,3.26
2016-12-09,3.43
2016-12-16,3.26
2016-12-23,2.94
2016-12-30,2.70
2017-01-06,3.08
2017-01-13,2.83
2017-01-20,2.72
2017-01-27,2.65
2017-02-03,2.59
2017-02-10,2.48
2017-02-17,2.24
2017-02-24,2.27
2017-03-03,2.49
2017-03-10,2.47
2017-03-17,2.28
2017-03-24,2.50
2017-03-31,2.70
2017-04-07,2.55
2017-04-14,2.55
2017-04-21,2.43
2017-04-28,2.41
2017-05-05,2.45
2017-05-12,2.41
2017-05-19,2.37
2017-05-26,2.31
2017-06-02,2.31
2017-06-09,2.21
2017-06-16,2.27
2017-06-23,2.32
2017-06-30,2.37
2017-07-07,2.46
2017-07-14,2.56
2017-07-21,2.49
2017-07-28,2.45
2017-08-04,2.31
2017-08-11,2.32
2017-08-18,2.35
2017-08-25,2.42
2017-09-01,2.43
2017-09-08,2.50
2017-09-15,2.48
2017-09-22,2.48
2017-09-29,2.64
2017-10-06,2.64
2017-10-13,2.42
2017-10-20,2.44
2017-10-27,2.64
2017-11-03,2.81
2017-11-10,2.73
2017-11-17,2.77
2017-11-24,2.72
2017-12-01,2.64
2017-12-08,2.45
2017-12-15,2.49
2017-12-22,2.47
2017-12-29,2.48
2018-01-05,2.51
2018-01-12,2.47
2018-01-19,2.38
2018-01-26,2.50
2018-02-02,2.46
2018-02-09,2.35
2018-02-16,2.27
2018-02-23,2.22
2018-03-02,2.17
2018-03-09,2.30
2018-03-16,2.45
2018-03-23,2.31
2018-03-30,2.42
2018-04-06,2.45
2018-04-13,2.47
2018-04-20,2.32
2018-04-27,2.16
2018-05-04,2.36
2018-05-11,2.35
2018-05-18,2.30
2018-05-25,2.39
2018-06-01,2.44
2018-06-08,2.30
2018-06-15,2.30
2018-06-22,2.27
2018-06-29,2.20
2018-07-06,2.20
2018-07-13,2.12
2018-07-20,2.16
2018-07-27,2.09
2018-08-03,2.07
2018-08-10,2.01
2018-08-17,1.98
2018-08-24,1.98
2018-08-31,2.00
2018-09-07,1.96
2018-09-14,1.92
2018-09-21,1.89
2018-09-28,1.86
2018-10-05,1.83
2018-10-12,1.83
2018-10-19,1.81
2018-10-26,1.83
2018-11-02,1.82
2018-11-09,1.76
2018-11-16,1.74
2018-11-23,1.72
2018-11-30,1.70
2018-12-07,1.70
2018-12-14,1.69
2018-12-21,1.68
2018-12-28,1.66
2019-01-04,1.69
2019-01-11,1.68
2019-01-18,1.67
2019-01-25,1.49
2019-02-01,1.55
2019-02-08,1.53
2019-02-15,1.66
2019-02-22,1.50
2019-03-01,1.50
2019-03-08,1.49
2019-03-15,1.49
2019-03-22,1.55
2019-03-29,1.55
2019-04-05,1.61
2019-04-12,1.49
2019-04-19,1.53
2019-04-26,1.53
2019-05-03,1.53
2019-05-10,1.63
2019-05-17,1.56
2019-05-24,1.55
2019-05-31,1.51
2019-06-07,1.50
2019-06-14,1.44
2019-06-21,1.48
2019-06-28,1.50
2019-07-05,1.47
2019-07-12,1.44
2019-07-19,1.55
2019-07-26,1.45
2019-08-02,1.46
2019-08-09,1.46
2019-08-16,1.45
2019-08-23,1.43
2019-08-30,1.47
2019-09-06,1.63
2019-09-13,1.73
2019-09-20,1.71
2019-09-27,1.67
2019-10-04,1.66
2019-10-11,1.74
2019-10-18,1.68
2019-10-25,1.72
2019-11-01,1.88
2019-11-08,1.84
2019-11-15,1.82
2019-11-22,1.82
2019-11-29,1.65
2019-12-06,1.52
2019-12-13,1.59
2019-12-20,1.70
2019-12-27,1.79
2020-01-03,1.73
2020-01-10,1.63
2020-01-17,1.61
2020-01-24,1.55
2020-01-31,1.46
2020-02-07,1.43
2020-02-14,1.28
2020-02-21,1.30
2020-02-28,0.98
2020-03-06,0.84
2020-03-13,0.61
2020-03-20,0.47
2020-03-27,0.56
2020-04-03,0.58
2020-04-10,0.66
2020-04-17,0.74
2020-04-24,0.75
2020-05-01,0.90
2020-05-08,0.83
2020-05-15,0.77
2020-05-22,0.77
2020-05-29,0.73
2020-06-05,0.86
2020-06-12,0.91
2020-06-19,0.90
2020-06-26,0.87
2020-07-03,0.95
2020-07-10,0.99
2020-07-17,0.98
2020-07-24,1.06
2020-07-31,1.11
2020-08-07,1.12
2020-08-14,1.13
2020-08-21,1.11
2020-08-28,1.29
2020-09-04,1.29
2020-09-11,1.25
2020-09-18,1.28
2020-09-25,1.17
2020-10-02,1.13
2020-10-09,1.23
2020-10-16,1.30
2020-10-23,1.34
2020-10-30,1.32
2020-11-06,1.35
2020-11-13,1.66
2020-11-20,1.81
2020-11-27,2.10
2020-12-04,2.25
2020-12-11,2.63
2020-12-18,2.65
2020-12-25,2.52
2021-01-01,2.72
2021-01-08,3.13
2021-01-15,3.04
2021-01-22,2.88
2021-01-29,2.31
2021-02-05,2.58
2021-02-12,2.67
2021-02-19,3.00
2021-02-26,2.97
2021-03-05,2.51
2021-03-12,2.41
2021-03-19,2.37
2021-03-26,2.35
2021-04-02,2.40
2021-04-09,2.58
2021-04-16,2.72
2021-04-23,2.41
2021-04-30,2.69
2021-05-07,2.52
2021-05-14,2.44
2021-05-21,2.44
2021-05-28,2.50
2021-06-04,2.55
2021-06-11,2.64
2021-06-18,2.53
2021-06-25,2.46
2021-07-02,2.51
2021-07-09,2.47
2021-07-16,2.42
2021-07-23,2.47
2021-07-30,2.38
2021-08-06,2.40
2021-08-13,2.38
2021-08-20,2.45
2021-08-27,2.29
2021-09-03,2.14
2021-09-10,2.14
2021-09-17,2.38
2021-09-24,2.30
2021-10-01,2.25
2021-10-08,2.13
2021-10-15,2.09
2021-10-22,2.18
2021-10-29,2.16
2021-11-05,2.12
2021-11-12,2.11
2021-11-19,2.12
2021-11-26,2.06
2021-12-03,2.17
2021-12-10,2.06
2021-12-17,2.10
2021-12-24,2.07
2021-12-31,2.09
2022-01-07,2.15
2022-01-14,2.06
2022-01-21,2.17
2022-01-28,2.28
2022-02-04,2.11
2022-02-11,2.29
2022-02-18,2.42
2022-02-25,2.52
2022-03-04,2.51
2022-03-11,2.74
2022-03-18,3.00
2022-03-25,2.87
2022-04-01,2.93
2022-04-08,2.94
2022-04-15,2.91
2022-04-22,2.80
2022-04-29,2.84
2022-05-06,2.61
2022-05-13,2.65
2022-05-20,2.48
2022-05-27,2.55
2022-06-03,2.55
2022-06-10,2.70
2022-06-17,2.55
2022-06-24,2.31
2022-07-01,2.29
2022-07-08,2.36
2022-07-15,2.34
2022-07-22,2.16
2022-07-29,2.33
2022-08-05,2.28
2022-08-12,2.34
2022-08-19,2.45
2022-08-26,2.42
2022-09-02,2.33
2022-09-09,2.32
2022-09-16,2.30
2022-09-23,2.33
2022-09-30,2.35
2022-10-07,2.32
2022-10-14,2.21
2022-10-21,2.07
2022-10-28,2.25
2022-11-04,2.24
2022-11-11,2.20
2022-11-18,2.22
2022-11-25,2.28
2022-12-02,2.29
2022-12-09,2.41
2022-12-16,2.34
2022-12-23,2.44
2022-12-30,2.51
2023-01-06,2.50
2023-01-13,2.49
2023-01-20,2.66
2023-01-27,2.57
2023-02-03,2.60
2023-02-10,2.57
