Week,Price
2015-02-13,1.20
2015-02-20,1.10
2015-02-27,1.10
2015-03-06,1.08
2015-03-13,1.09
2015-03-20,1.07
2015-03-27,1.09
2015-04-03,1.09
2015-04-10,1.09
2015-04-17,1.08
2015-04-24,1.07
2015-05-01,1.08
2015-05-08,1.07
2015-05-15,1.07
2015-05-22,1.07
2015-05-29,1.04
2015-06-05,1.03
2015-06-12,1.04
2015-06-19,1.05
2015-06-26,1.04
2015-07-03,1.03
2015-07-10,1.01
2015-07-17,1.03
2015-07-24,1.02
2015-07-31,1.02
2015-08-07,0.97
2015-08-14,1.00
2015-08-21,0.97
2015-08-28,0.99
2015-09-04,0.98
2015-09-11,0.94
2015-09-18,0.97
2015-09-25,0.97
2015-10-02,0.90
2015-10-09,0.90
2015-10-16,0.93
2015-10-23,0.90
2015-10-30,0.90
2015-11-06,0.88
2015-11-13,0.88
2015-11-20,0.84
2015-11-27,0.84
2015-12-04,0.79
2015-12-11,0.76
2015-12-18,0.72
2015-12-25,0.70
2016-01-01,0.79
2016-01-08,0.70
2016-01-15,0.75
2016-01-22,0.69
2016-01-29,0.63
2016-02-05,0.67
2016-02-12,0.63
2016-02-19,0.69
2016-02-26,0.69
2016-03-04,0.69
2016-03-11,0.70
2016-03-18,0.75
2016-03-25,0.74
2016-04-01,0.75
2016-04-08,0.70
2016-04-15,0.88
2016-04-22,0.82
2016-04-29,0.80
2016-05-06,0.76
2016-05-13,0.91
2016-05-20,0.91
2016-05-27,0.90
2016-06-03,0.88
2016-06-10,0.85
2016-06-17,0.83
2016-06-24,0.85
2016-07-01,0.81
2016-07-08,0.85
2016-07-15,0.83
2016-07-22,0.83
2016-07-29,0.89
2016-08-05,0.87
2016-08-12,0.83
2016-08-19,0.83
2016-08-26,0.84
2016-09-02,0.89
2016-09-09,1.35
2016-09-16,1.03
2016-09-23,1.00
2016-09-30,0.92
2016-10-07,0.87
2016-10-14,0.88
2016-10-21,1.02
2016-10-28,0.93
2016-11-04,0.95
2016-11-11,0.91
2016-11-18,0.89
2016-11-25,0.94
2016-12-02,0.92
2016-12-09,0.93
2016-12-16,0.89
2016-12-23,0.84
2016-12-30,0.85
2017-01-06,0.87
2017-01-13,0.86
2017-01-20,0.92
2017-01-27,0.92
2017-02-03,0.87
2017-02-10,0.87
2017-02-17,0.86
2017-02-24,0.85
2017-03-03,0.85
2017-03-10,0.82
2017-03-17,0.81
2017-03-24,0.82
2017-03-31,0.82
2017-04-07,0.80
2017-04-14,0.83
2017-04-21,0.83
