Week,Price
2015-12-04,1.84
2015-12-11,1.86
2015-12-18,1.58
2015-12-25,1.52
2016-01-01,1.66
2016-01-08,1.42
2016-01-15,1.33
2016-01-22,1.03
2016-01-29,1.28
2016-02-05,1.27
2016-02-12,1.22
2016-02-19,1.25
2016-02-26,1.29
2016-03-04,1.30
2016-03-11,1.59
2016-03-18,1.73
2016-03-25,1.82
2016-04-01,1.66
2016-04-08,1.57
2016-04-15,1.66
2016-04-22,1.61
2016-04-29,1.53
2016-05-06,1.53
2016-05-13,1.57
2016-05-20,1.54
2016-05-27,1.51
2016-06-03,1.56
2016-06-10,1.55
2016-06-17,2.45
2016-06-24,2.30
2016-07-01,2.27
2016-07-08,2.29
2016-07-15,2.96
2016-07-22,3.01
2016-07-29,2.83
2016-08-05,2.68
2016-08-12,2.64
2016-08-19,2.62
2016-08-26,2.56
2016-09-02,2.54
2016-09-09,2.49
2016-09-16,2.35
2016-09-23,2.50
2016-09-30,2.37
2016-10-07,2.30
2016-10-14,1.94
2016-10-21,2.10
2016-10-28,2.06
2016-11-04,2.02
2016-11-11,1.96
2016-11-18,1.82
2016-11-25,1.74
2016-12-02,1.79
2016-12-09,1.73
2016-12-16,1.64
2016-12-23,1.89
2016-12-30,2.24
2017-01-06,2.25
2017-01-13,2.12
2017-01-20,2.11
2017-01-27,2.20
2017-02-03,1.96
2017-02-10,1.93
2017-02-17,1.86
2017-02-24,1.83
2017-03-03,1.81
2017-03-10,2.01
2017-03-17,2.01
2017-03-24,1.89
2017-03-31,1.86
2017-04-07,1.89
2017-04-14,2.02
2017-04-21,1.98
2017-04-28,1.96
2017-05-05,2.13
2017-05-12,2.23
2017-05-19,2.09
2017-05-26,2.17
2017-06-02,2.04
2017-06-09,2.06
2017-06-16,2.07
2017-06-23,2.07
2017-06-30,2.02
2017-07-07,1.99
2017-07-14,2.00
2017-07-21,1.97
2017-07-28,1.98
2017-08-04,1.93
2017-08-11,1.89
2017-08-18,1.95
2017-08-25,2.13
2017-09-01,2.09
2017-09-08,2.25
2017-09-15,2.30
2017-09-22,2.27
2017-09-29,2.27
2017-10-06,2.54
2017-10-13,2.60
2017-10-20,2.83
2017-10-27,3.28
2017-11-03,4.02
2017-11-10,8.59
2017-11-17,6.58
2017-11-24,5.90
2017-12-01,5.55
2017-12-08,5.17
2017-12-15,4.01
2017-12-22,3.97
2017-12-29,5.21
2018-01-05,5.72
2018-01-12,5.76
2018-01-19,6.03
2018-01-26,6.33
2018-02-02,5.98
2018-02-09,5.05
2018-02-16,4.32
2018-02-23,4.52
2018-03-02,4.51
2018-03-09,4.33
2018-03-16,4.36
2018-03-23,3.76
2018-03-30,3.81
2018-04-06,4.22
2018-04-13,4.12
2018-04-20,3.72
2018-04-27,4.00
2018-05-04,4.00
2018-05-11,3.95
2018-05-18,3.87
2018-05-25,3.67
2018-06-01,3.77
2018-06-08,3.79
2018-06-15,3.92
2018-06-22,3.70
2018-06-29,3.72
2018-07-06,3.70
2018-07-13,3.76
2018-07-20,3.96
2018-07-27,3.90
2018-08-03,3.90
2018-08-10,3.84
2018-08-17,3.74
2018-08-24,3.76
2018-08-31,3.95
2018-09-07,4.94
2018-09-14,5.29
2018-09-21,4.22
2018-09-28,3.88
2018-10-05,3.82
2018-10-12,3.43
2018-10-19,3.67
2018-10-26,3.34
2018-11-02,3.30
2018-11-09,2.65
2018-11-16,3.18
2018-11-23,3.14
2018-11-30,3.29
2018-12-07,3.42
2018-12-14,3.26
2018-12-21,3.33
2018-12-28,3.59
2019-01-04,3.78
2019-01-11,3.82
2019-01-18,3.71
2019-01-25,3.57
2019-02-01,3.26
2019-02-08,3.37
2019-02-15,3.49
2019-02-22,3.62
2019-03-01,3.51
2019-03-08,3.73
2019-03-15,3.74
2019-03-22,3.73
2019-03-29,3.60
2019-04-05,3.60
2019-04-12,3.50
2019-04-19,3.67
2019-04-26,3.82
2019-05-03,4.07
2019-05-10,3.63
2019-05-17,3.56
2019-05-24,3.52
2019-05-31,3.56
2019-06-07,3.68
2019-06-14,3.73
2019-06-21,3.67
2019-06-28,3.60
2019-07-05,3.71
2019-07-12,3.74
2019-07-19,4.10
2019-07-26,4.90
2019-08-02,4.94
2019-08-09,4.96
2019-08-16,5.04
2019-08-23,5.85
2019-08-30,5.66
2019-09-06,4.58
2019-09-13,4.59
2019-09-20,5.03
2019-09-27,5.11
2019-10-04,4.75
2019-10-11,4.77
2019-10-18,5.06
2019-10-25,4.76
2019-11-01,4.81
2019-11-08,5.10
2019-11-15,5.59
2019-11-22,4.76
2019-11-29,4.23
2019-12-06,3.87
2019-12-13,4.12
2019-12-20,3.59
2019-12-27,3.79
2020-01-03,3.68
2020-01-10,4.02
2020-01-17,3.89
2020-01-24,3.88
2020-01-31,3.50
2020-02-07,3.43
2020-02-14,3.26
2020-02-21,3.20
2020-02-28,2.59
2020-03-06,2.52
2020-03-13,1.90
2020-03-20,1.71
2020-03-27,2.04
2020-04-03,1.90
2020-04-10,1.61
2020-04-17,1.64
2020-04-24,2.18
2020-05-01,2.15
2020-05-08,1.93
2020-05-15,1.95
2020-05-22,1.79
