Week,Price
2015-02-20,6.47
2015-02-27,6.25
2015-03-06,6.41
2015-03-13,6.28
2015-03-20,6.25
2015-03-27,6.28
2015-04-03,6.19
2015-04-10,5.93
2015-04-17,5.84
2015-04-24,5.75
2015-05-01,5.96
2015-05-08,5.75
2015-05-15,5.56
2015-05-22,5.56
2015-05-29,5.50
2015-06-05,5.92
2015-06-12,5.73
2015-06-19,5.65
2015-06-26,5.58
2015-07-03,5.53
2015-07-10,5.41
2015-07-17,5.56
2015-07-24,5.78
2015-07-31,5.75
2015-08-07,5.57
2015-08-14,5.63
2015-08-21,5.40
2015-08-28,5.44
2015-09-04,5.32
2015-09-11,5.34
2015-09-18,5.50
2015-09-25,5.39
2015-10-02,5.37
2015-10-09,5.63
2015-10-16,5.55
2015-10-23,5.61
2015-10-30,5.60
2015-11-06,5.87
2015-11-13,5.69
2015-11-20,5.54
2015-11-27,5.50
2015-12-04,5.51
2015-12-11,5.42
2015-12-18,5.46
2015-12-25,5.46
2016-01-01,5.31
2016-01-08,5.18
2016-01-15,4.90
2016-01-22,4.57
2016-01-29,4.79
2016-02-05,4.90
2016-02-12,5.09
2016-02-19,5.21
2016-02-26,5.16
2016-03-04,5.19
2016-03-11,5.14
2016-03-18,5.28
2016-03-25,5.39
2016-04-01,5.60
2016-04-08,5.55
2016-04-15,5.46
2016-04-22,5.46
2016-04-29,5.37
2016-05-06,5.09
2016-05-13,5.36
2016-05-20,5.28
2016-05-27,5.42
2016-06-03,5.42
2016-06-10,5.42
2016-06-17,5.28
2016-06-24,5.18
2016-07-01,5.24
2016-07-08,5.22
2016-07-15,5.46
2016-07-22,5.40
2016-07-29,5.41
2016-08-05,5.33
2016-08-12,5.34
2016-08-19,6.36
2016-08-26,6.15
2016-09-02,6.22
2016-09-09,6.12
2016-09-16,5.84
2016-09-23,5.79
2016-09-30,5.75
2016-10-07,5.69
2016-10-14,5.46
2016-10-21,5.75
2016-10-28,5.71
2016-11-04,5.76
2016-11-11,5.71
2016-11-18,5.68
2016-11-25,5.65
2016-12-02,5.87
2016-12-09,5.71
2016-12-16,5.71
2016-12-23,5.68
2016-12-30,5.73
2017-01-06,5.76
2017-01-13,5.75
2017-01-20,5.84
2017-01-27,5.81
2017-02-03,5.76
2017-02-10,5.88
2017-02-17,6.22
2017-02-24,6.36
2017-03-03,6.18
2017-03-10,6.19
2017-03-17,6.35
2017-03-24,6.48
2017-03-31,6.88
2017-04-07,7.32
2017-04-14,7.38
2017-04-21,7.44
2017-04-28,7.25
2017-05-05,8.00
2017-05-12,8.51
2017-05-19,9.23
2017-05-26,9.23
2017-06-02,9.91
2017-06-09,12.25
2017-06-16,11.96
2017-06-23,12.72
2017-06-30,12.53
2017-07-07,14.03
2017-07-14,15.09
2017-07-21,14.62
2017-07-28,13.11
2017-08-04,12.94
2017-08-11,11.19
2017-08-18,12.43
2017-08-25,13.94
2017-09-01,14.34
2017-09-08,14.35
2017-09-15,15.58
2017-09-22,18.46
2017-09-29,17.52
2017-10-06,17.78
2017-10-13,19.17
2017-10-20,17.71
2017-10-27,16.41
2017-11-03,17.71
2017-11-10,21.00
2017-11-17,18.33
2017-11-24,18.08
2017-12-01,17.80
2017-12-08,16.99
2017-12-15,17.05
2017-12-22,17.33
2017-12-29,17.73
2018-01-05,17.14
2018-01-12,16.95
2018-01-19,16.94
2018-01-26,17.58
2018-02-02,19.97
2018-02-09,20.85
2018-02-16,19.98
2018-02-23,18.60
2018-03-02,19.20
2018-03-09,19.70
2018-03-16,17.52
2018-03-23,16.00
2018-03-30,15.60
2018-04-06,17.20
2018-04-13,16.60
2018-04-20,16.34
2018-04-27,15.28
2018-05-04,16.10
2018-05-11,17.76
2018-05-18,16.80
2018-05-25,16.10
2018-06-01,15.48
2018-06-08,15.42
2018-06-15,15.10
2018-06-22,14.90
2018-06-29,14.00
2018-07-06,14.46
2018-07-13,13.30
2018-07-20,12.90
2018-07-27,14.00
2018-08-03,14.80
