Week,Price
2015-08-21,0.1920
2015-08-28,0.1820
2015-09-04,0.1870
2015-09-11,0.1840
2015-09-18,0.1810
2015-09-25,0.1810
2015-10-02,0.1810
2015-10-09,0.1830
2015-10-16,0.1960
2015-10-23,0.1930
2015-10-30,0.1930
2015-11-06,0.1900
2015-11-13,0.1900
2015-11-20,0.1880
2015-11-27,0.1860
2015-12-04,0.1890
2015-12-11,0.1890
2015-12-18,0.1680
2015-12-25,0.1750
2016-01-01,0.1740
2016-01-08,0.1670
2016-01-15,0.1400
2016-01-22,0.1500
2016-01-29,0.1680
2016-02-05,0.1820
2016-02-12,0.3300
2016-02-19,0.3150
2016-02-26,0.3000
2016-03-04,0.3100
2016-03-11,0.2950
2016-03-18,0.2900
2016-03-25,0.2900
2016-04-01,0.2700
2016-04-08,0.2550
2016-04-15,0.2600
2016-04-22,0.2330
2016-04-29,0.2500
2016-05-06,0.2500
2016-05-13,0.2550
2016-05-20,0.2850
2016-05-27,0.2600
2016-06-03,0.2470
2016-06-10,0.2650
2016-06-17,0.2650
2016-06-24,0.2500
2016-07-01,0.2430
2016-07-08,0.2480
2016-07-15,0.2400
2016-07-22,0.2390
2016-07-29,0.2300
2016-08-05,0.2290
2016-08-12,0.1920
2016-08-19,0.1980
2016-08-26,0.2170
2016-09-02,0.2020
2016-09-09,0.2060
2016-09-16,0.2040
2016-09-23,0.2100
2016-09-30,0.1910
2016-10-07,0.1860
2016-10-14,0.1920
2016-10-21,0.1970
2016-10-28,0.1980
2016-11-04,0.1950
2016-11-11,0.1980
2016-11-18,0.1940
2016-11-25,0.2090
2016-12-02,0.1930
2016-12-09,0.1940
2016-12-16,0.1930
2016-12-23,0.1950
2016-12-30,0.1960
2017-01-06,0.2160
2017-01-13,0.2140
2017-01-20,0.2160
2017-01-27,0.2190
2017-02-03,0.1870
2017-02-10,0.1860
2017-02-17,0.1840
2017-02-24,0.1860
2017-03-03,0.1860
2017-03-10,0.1910
2017-03-17,0.1830
2017-03-24,0.1820
2017-03-31,0.1810
2017-04-07,0.1800
2017-04-14,0.1820
2017-04-21,0.1800
2017-04-28,0.1820
2017-05-05,0.2000
2017-05-12,0.1930
2017-05-19,0.1890
2017-05-26,0.1910
2017-06-02,0.1840
2017-06-09,0.1840
2017-06-16,0.1810
2017-06-23,0.1820
2017-06-30,0.1790
2017-07-07,0.1840
2017-07-14,0.2000
2017-07-21,0.1860
2017-07-28,0.1800
2017-08-04,0.1870
2017-08-11,0.1800
2017-08-18,0.1800
2017-08-25,0.1800
2017-09-01,0.1830
2017-09-08,0.1850
2017-09-15,0.1820
2017-09-22,0.1820
2017-09-29,0.1810
2017-10-06,0.1920
2017-10-13,0.1870
2017-10-20,0.1850
2017-10-27,0.1850
2017-11-03,0.1740
2017-11-10,0.1540
2017-11-17,0.1530
2017-11-24,0.1500
2017-12-01,0.1520
2017-12-08,0.1510
2017-12-15,0.1570
2017-12-22,0.1530
2017-12-29,0.1510
2018-01-05,0.1540
2018-01-12,0.1560
2018-01-19,0.1540
2018-01-26,0.1530
2018-02-02,0.1530
2018-02-09,0.1510
2018-02-16,0.1480
2018-02-23,0.1460
2018-03-02,0.1470
2018-03-09,0.1520
2018-03-16,0.1500
2018-03-23,0.1430
2018-03-30,0.1460
2018-04-06,0.1510
2018-04-13,0.1480
2018-04-20,0.1440
2018-04-27,0.1400
2018-05-04,0.1380
2018-05-11,0.1390
2018-05-18,0.1390
2018-05-25,0.1360
2018-06-01,0.1350
2018-06-08,0.1360
2018-06-15,0.1330
2018-06-22,0.1320
2018-06-29,0.1280
2018-07-06,0.1280
2018-07-13,0.1250
2018-07-20,0.1220
2018-07-27,0.1230
2018-08-03,0.1300
2018-08-10,0.1270
2018-08-17,0.1240
2018-08-24,0.1220
2018-08-31,0.1230
2018-09-07,0.1210
2018-09-14,0.1210
2018-09-21,0.1110
2018-09-28,0.1110
2018-10-05,0.1100
2018-10-12,0.1070
2018-10-19,0.1100
2018-10-26,1.30
2018-11-02,1.20
2018-11-09,1.12
2018-11-16,1.12
2018-11-23,1.10
2018-11-30,1.11
2018-12-07,1.08
2018-12-14,1.25
2018-12-21,1.31
2018-12-28,1.18
2019-01-04,1.30
2019-01-11,1.20
2019-01-18,1.24
2019-01-25,1.19
2019-02-01,1.08
2019-02-08,1.15
2019-02-15,1.13
2019-02-22,1.09
2019-03-01,1.09
2019-03-08,1.10
2019-03-15,1.08
2019-03-22,1.11
2019-03-29,1.06
2019-04-05,1.06
2019-04-12,1.09
2019-04-19,1.08
2019-04-26,1.09
2019-05-03,1.04
2019-05-10,1.05
2019-05-17,1.01
2019-05-24,1.03
2019-05-31,1.05
2019-06-07,1.03
2019-06-14,1.03
2019-06-21,1.04
2019-06-28,1.04
2019-07-05,1.18
2019-07-12,1.18
2019-07-19,1.22
2019-07-26,1.12
2019-08-02,1.07
2019-08-09,1.04
2019-08-16,1.06
2019-08-23,1.05
2019-08-30,1.10
2019-09-06,1.21
2019-09-13,1.19
2019-09-20,1.17
2019-09-27,1.11
2019-10-04,1.15
2019-10-11,1.14
2019-10-18,1.15
2019-10-25,1.17
2019-11-01,1.18
2019-11-08,1.10
2019-11-15,1.05
2019-11-22,1.04
2019-11-29,0.97
2019-12-06,0.94
2019-12-13,0.93
2019-12-20,0.85
2019-12-27,0.98
2020-01-03,0.99
2020-01-10,0.90
2020-01-17,0.88
2020-01-24,0.81
2020-01-31,0.76
2020-02-07,0.78
2020-02-14,0.78
2020-02-21,0.72
2020-02-28,0.67
2020-03-06,0.61
2020-03-13,0.56
2020-03-20,0.50
2020-03-27,0.54
2020-04-03,0.58
2020-04-10,0.53
2020-04-17,0.57
2020-04-24,0.58
2020-05-01,0.59
2020-05-08,0.56
2020-05-15,0.56
2020-05-22,0.52
2020-05-29,0.55
2020-06-05,0.58
2020-06-12,0.61
2020-06-19,0.58
2020-06-26,0.60
2020-07-03,0.59
2020-07-10,0.61
2020-07-17,0.65
2020-07-24,0.77
2020-07-31,0.82
2020-08-07,1.01
2020-08-14,0.95
