Week,Price
2015-05-08,8.72
2015-05-15,7.71
2015-05-22,7.61
2015-05-29,7.50
2015-06-05,7.61
2015-06-12,7.49
2015-06-19,7.27
2015-06-26,7.22
2015-07-03,7.30
2015-07-10,6.89
2015-07-17,7.30
2015-07-24,7.23
2015-07-31,7.21
2015-08-07,7.15
2015-08-14,6.95
2015-08-21,6.63
2015-08-28,6.76
2015-09-04,6.69
2015-09-11,6.40
2015-09-18,6.27
2015-09-25,5.95
2015-10-02,5.54
2015-10-09,5.95
2015-10-16,6.16
2015-10-23,6.89
2015-10-30,6.78
2015-11-06,7.65
2015-11-13,7.30
2015-11-20,7.74
2015-11-27,7.50
2015-12-04,7.50
2015-12-11,7.03
2015-12-18,6.61
2015-12-25,6.60
2016-01-01,6.60
2016-01-08,6.09
2016-01-15,5.58
2016-01-22,5.04
2016-01-29,5.25
2016-02-05,5.13
2016-02-12,5.25
2016-02-19,5.57
2016-02-26,5.26
2016-03-04,5.46
2016-03-11,6.10
2016-03-18,6.36
2016-03-25,6.65
2016-04-01,6.98
2016-04-08,7.00
2016-04-15,7.32
2016-04-22,7.65
2016-04-29,7.31
2016-05-06,6.90
2016-05-13,7.80
2016-05-20,7.65
2016-05-27,7.94
2016-06-03,7.85
2016-06-10,7.73
2016-06-17,7.55
2016-06-24,7.85
2016-07-01,7.78
2016-07-08,7.70
2016-07-15,7.90
2016-07-22,7.89
2016-07-29,7.64
2016-08-05,7.64
2016-08-12,7.54
2016-08-19,7.77
2016-08-26,7.87
2016-09-02,8.14
2016-09-09,8.10
2016-09-16,8.07
2016-09-23,8.25
2016-09-30,8.28
2016-10-07,8.24
2016-10-14,8.00
2016-10-21,8.20
2016-10-28,7.95
2016-11-04,7.73
2016-11-11,7.70
2016-11-18,7.60
2016-11-25,7.66
2016-12-02,7.80
2016-12-09,7.80
2016-12-16,7.80
2016-12-23,7.79
2016-12-30,7.80
2017-01-06,8.04
2017-01-13,8.04
2017-01-20,7.96
2017-01-27,7.99
2017-02-03,7.92
2017-02-10,7.81
2017-02-17,7.90
2017-02-24,7.90
2017-03-03,7.88
2017-03-10,7.84
2017-03-17,7.97
2017-03-24,7.95
2017-03-31,7.71
2017-04-07,7.97
2017-04-14,7.87
2017-04-21,7.59
2017-04-28,7.69
2017-05-05,7.32
2017-05-12,7.34
2017-05-19,7.18
2017-05-26,7.20
2017-06-02,7.40
