Week,Price
2015-02-20,1.76
2015-02-27,1.75
2015-03-06,1.75
2015-03-13,1.75
2015-03-20,1.76
2015-03-27,1.76
2015-04-03,1.69
2015-04-10,1.62
2015-04-17,1.73
2015-04-24,1.76
2015-05-01,1.65
2015-05-08,1.64
2015-05-15,1.65
2015-05-22,1.62
2015-05-29,1.55
2015-06-05,1.57
2015-06-12,1.50
2015-06-19,1.54
2015-06-26,1.55
2015-07-03,1.66
2015-07-10,1.55
2015-07-17,1.54
2015-07-24,1.81
2015-07-31,1.62
2015-08-07,1.60
2015-08-14,1.60
2015-08-21,1.58
2015-08-28,1.62
2015-09-04,1.62
2015-09-11,1.64
2015-09-18,1.69
2015-09-25,1.74
2015-10-02,1.61
2015-10-09,1.74
2015-10-16,1.77
2015-10-23,1.77
2015-10-30,1.77
2015-11-06,1.77
2015-11-13,1.77
2015-11-20,1.85
2015-11-27,1.85
2015-12-04,1.69
2015-12-11,1.77
2015-12-18,1.77
2015-12-25,1.81
2016-01-01,1.81
2016-01-08,1.79
2016-01-15,1.75
2016-01-22,1.69
2016-01-29,1.85
2016-02-05,1.85
2016-02-12,1.73
2016-02-19,1.92
2016-02-26,1.89
2016-03-04,1.98
2016-03-11,2.12
2016-03-18,2.12
2016-03-25,2.15
2016-04-01,2.19
2016-04-08,2.19
2016-04-15,2.18
2016-04-22,2.15
2016-04-29,2.15
2016-05-06,2.15
2016-05-13,2.15
2016-05-20,2.05
2016-05-27,2.10
2016-06-03,2.06
2016-06-10,2.02
2016-06-17,2.02
2016-06-24,2.02
2016-07-01,2.14
2016-07-08,2.00
2016-07-15,2.09
2016-07-22,2.02
2016-07-29,1.96
2016-08-05,1.92
2016-08-12,1.85
2016-08-19,1.81
2016-08-26,1.84
2016-09-02,1.73
2016-09-09,1.70
2016-09-16,1.70
2016-09-23,1.79
2016-09-30,1.79
2016-10-07,1.71
2016-10-14,1.65
2016-10-21,1.73
2016-10-28,1.63
2016-11-04,1.63
2016-11-11,1.65
2016-11-18,1.62
2016-11-25,1.64
2016-12-02,1.69
2016-12-09,1.75
2016-12-16,1.89
2016-12-23,1.85
2016-12-30,1.85
2017-01-06,1.95
2017-01-13,1.92
2017-01-20,1.91
2017-01-27,1.97
2017-02-03,1.92
2017-02-10,1.98
2017-02-17,2.38
2017-02-24,2.51
2017-03-03,2.55
2017-03-10,3.02
2017-03-17,2.96
2017-03-24,2.87
2017-03-31,2.95
2017-04-07,3.60
2017-04-14,3.53
2017-04-21,3.66
2017-04-28,3.73
2017-05-05,3.45
2017-05-12,3.09
2017-05-19,3.35
2017-05-26,3.39
2017-06-02,3.43
2017-06-09,3.62
2017-06-16,3.94
2017-06-23,4.89
2017-06-30,5.46
2017-07-07,6.54
2017-07-14,7.46
2017-07-21,7.31
2017-07-28,8.46
2017-08-04,9.06
2017-08-11,8.46
2017-08-18,8.42
2017-08-25,8.14
2017-09-01,8.15
2017-09-08,9.26
2017-09-15,9.77
2017-09-22,11.88
2017-09-29,11.68
2017-10-06,11.75
2017-10-13,13.22
2017-10-20,14.65
2017-10-27,14.52
2017-11-03,16.08
2017-11-10,17.15
2017-11-17,17.58
2017-11-24,17.15
2017-12-01,16.19
2017-12-08,16.42
2017-12-15,17.04
2017-12-22,16.92
2017-12-29,17.58
2018-01-05,17.46
2018-01-12,17.39
2018-01-19,16.81
2018-01-26,17.46
2018-02-02,18.19
2018-02-09,19.77
2018-02-16,20.00
2018-02-23,22.08
2018-03-02,21.54
2018-03-09,20.92
2018-03-16,20.81
2018-03-23,21.23
2018-03-30,20.19
2018-04-06,20.77
2018-04-13,22.08
2018-04-20,21.46
2018-04-27,20.04
2018-05-04,19.42
2018-05-11,20.15
2018-05-18,19.54
2018-05-25,20.62
2018-06-01,19.73
2018-06-08,19.50
2018-06-15,19.35
2018-06-22,18.77
2018-06-29,18.85
2018-07-06,18.46
2018-07-13,19.46
2018-07-20,18.58
2018-07-27,18.85
2018-08-03,19.85
2018-08-10,20.39
2018-08-17,19.64
2018-08-24,20.00
2018-08-31,19.64
2018-09-07,19.00
2018-09-14,17.04
2018-09-21,16.10
2018-09-28,16.00
2018-10-05,17.10
2018-10-12,17.04
2018-10-19,18.22
2018-10-26,17.22
2018-11-02,17.20
2018-11-09,16.40
2018-11-16,14.38
2018-11-23,13.66
2018-11-30,14.50
2018-12-07,14.58
2018-12-14,14.50
2018-12-21,16.46
2018-12-28,17.00
2019-01-04,18.26
2019-01-11,18.00
2019-01-18,17.60
2019-01-25,18.00
2019-02-01,19.90
2019-02-08,19.50
2019-02-15,19.62
2019-02-22,19.58
2019-03-01,19.12
2019-03-08,19.68
2019-03-15,20.70
2019-03-22,20.40
2019-03-29,22.40
2019-04-05,22.80
2019-04-12,22.00
2019-04-19,21.70
2019-04-26,21.60
2019-05-03,21.90
2019-05-10,19.90
2019-05-17,18.98
2019-05-24,19.90
2019-05-31,21.00
2019-06-07,20.30
2019-06-14,19.24
2019-06-21,19.44
2019-06-28,19.08
2019-07-05,19.44
2019-07-12,19.48
2019-07-19,19.50
2019-07-26,19.76
2019-08-02,19.38
2019-08-09,19.16
2019-08-16,18.94
2019-08-23,19.00
2019-08-30,19.00
2019-09-06,19.10
2019-09-13,19.64
2019-09-20,19.40
2019-09-27,19.00
2019-10-04,18.84
2019-10-11,18.82
2019-10-18,18.84
2019-10-25,18.60
2019-11-01,20.60
2019-11-08,19.50
2019-11-15,18.60
2019-11-22,18.28
2019-11-29,18.00
2019-12-06,17.20
2019-12-13,17.20
2019-12-20,16.52
2019-12-27,16.50
2020-01-03,16.50
2020-01-10,14.18
2020-01-17,13.40
2020-01-24,12.16
2020-01-31,9.12
2020-02-07,10.60
2020-02-14,11.10
2020-02-21,10.02
2020-02-28,8.40
2020-03-06,8.03
2020-03-13,5.99
2020-03-20,4.18
2020-03-27,4.90
2020-04-03,4.25
2020-04-10,4.20
2020-04-17,4.90
2020-04-24,5.09
2020-05-01,5.05
2020-05-08,4.37
2020-05-15,3.80
2020-05-22,3.92
2020-05-29,4.11
2020-06-05,5.95
2020-06-12,6.55
2020-06-19,6.35
2020-06-26,6.28
2020-07-03,6.28
2020-07-10,6.24
2020-07-17,5.05
2020-07-24,5.12
2020-07-31,5.31
