Week,Price
2018-06-01,0.70
2018-06-08,2.86
2018-06-15,3.80
2018-06-22,2.85
2018-06-29,2.55
2018-07-06,2.51
2018-07-13,2.00
2018-07-20,2.00
2018-07-27,2.35
2018-08-03,2.30
2018-08-10,2.20
2018-08-17,2.06
2018-08-24,2.09
2018-08-31,2.05
2018-09-07,2.00
2018-09-14,1.71
2018-09-21,1.48
2018-09-28,1.56
2018-10-05,1.51
2018-10-12,1.44
2018-10-19,1.39
2018-10-26,1.31
2018-11-02,1.23
2018-11-09,1.10
2018-11-16,1.21
2018-11-23,2.02
2018-11-30,1.94
2018-12-07,2.32
2018-12-14,2.09
2018-12-21,2.06
2018-12-28,2.09
2019-01-04,2.01
2019-01-11,2.26
2019-01-18,2.07
2019-01-25,2.19
2019-02-01,2.12
2019-02-08,2.11
2019-02-15,2.06
2019-02-22,2.09
2019-03-01,2.02
2019-03-08,2.02
2019-03-15,1.95
2019-03-22,1.83
2019-03-29,1.73
2019-04-05,1.77
2019-04-12,1.75
2019-04-19,1.78
2019-04-26,1.84
2019-05-03,1.72
2019-05-10,1.66
2019-05-17,1.75
2019-05-24,1.59
2019-05-31,1.54
2019-06-07,1.53
2019-06-14,1.42
2019-06-21,1.72
2019-06-28,1.58
2019-07-05,1.55
2019-07-12,1.53
2019-07-19,1.50
2019-07-26,1.50
2019-08-02,1.43
2019-08-09,1.39
2019-08-16,1.20
2019-08-23,1.42
2019-08-30,1.16
2019-09-06,1.13
2019-09-13,1.20
2019-09-20,1.16
2019-09-27,1.15
2019-10-04,1.13
2019-10-11,1.15
2019-10-18,1.10
2019-10-25,1.10
2019-11-01,1.05
2019-11-08,1.05
2019-11-15,1.05
2019-11-22,1.05
2019-11-29,1.05
2019-12-06,0.99
2019-12-13,0.99
2019-12-20,0.99
2019-12-27,0.99
2020-01-03,0.95
2020-01-10,0.95
2020-01-17,0.96
2020-01-24,0.94
2020-01-31,1.05
2020-02-07,1.00
2020-02-14,1.28
2020-02-21,1.83
2020-02-28,1.73
2020-03-06,2.67
2020-03-13,1.72
2020-03-20,1.17
2020-03-27,1.55
2020-04-03,1.39
2020-04-10,1.44
2020-04-17,1.77
2020-04-24,2.64
2020-05-01,2.76
2020-05-08,2.41
2020-05-15,2.70
2020-05-22,2.50
2020-05-29,2.45
2020-06-05,2.36
2020-06-12,2.47
2020-06-19,2.44
2020-06-26,2.40
2020-07-03,2.22
2020-07-10,1.93
2020-07-17,1.86
2020-07-24,1.59
2020-07-31,1.75
2020-08-07,1.68
2020-08-14,1.69
2020-08-21,1.62
2020-08-28,1.62
2020-09-04,1.57
2020-09-11,1.56
2020-09-18,1.85
2020-09-25,2.17
2020-10-02,1.98
2020-10-09,1.79
2020-10-16,1.92
2020-10-23,1.91
2020-10-30,1.94
2020-11-06,1.90
2020-11-13,2.06
2020-11-20,2.10
2020-11-27,2.14
2020-12-04,2.18
