Week,Price
2015-08-07,2.72
2015-08-14,2.64
2015-08-21,2.55
2015-08-28,2.32
2015-09-04,2.18
2015-09-11,2.04
2015-09-18,2.25
2015-09-25,2.10
2015-10-02,1.94
2015-10-09,1.99
2015-10-16,2.26
2015-10-23,2.28
2015-10-30,2.80
2015-11-06,2.83
2015-11-13,2.59
2015-11-20,2.36
2015-11-27,2.16
2015-12-04,2.18
2015-12-11,2.02
2015-12-18,2.10
2015-12-25,2.00
2016-01-01,2.00
2016-01-08,1.62
2016-01-15,1.50
2016-01-22,1.45
2016-01-29,1.72
2016-02-05,1.81
2016-02-12,1.74
2016-02-19,1.81
2016-02-26,1.87
2016-03-04,2.13
2016-03-11,2.31
2016-03-18,2.12
2016-03-25,2.07
2016-04-01,2.06
2016-04-08,2.04
2016-04-15,2.17
2016-04-22,2.20
2016-04-29,2.01
2016-05-06,2.00
2016-05-13,2.05
2016-05-20,1.95
2016-05-27,1.90
2016-06-03,1.88
2016-06-10,1.86
2016-06-17,1.87
2016-06-24,1.75
2016-07-01,1.74
2016-07-08,1.87
2016-07-15,1.86
2016-07-22,1.86
2016-07-29,1.79
2016-08-05,1.58
2016-08-12,1.70
2016-08-19,1.70
2016-08-26,1.64
2016-09-02,1.68
2016-09-09,1.66
2016-09-16,1.66
2016-09-23,1.61
2016-09-30,1.46
2016-10-07,1.45
2016-10-14,1.45
2016-10-21,1.60
2016-10-28,1.65
2016-11-04,1.68
2016-11-11,1.75
2016-11-18,1.80
2016-11-25,1.96
2016-12-02,1.90
2016-12-09,1.99
2016-12-16,2.61
2016-12-23,2.46
2016-12-30,2.43
2017-01-06,2.58
2017-01-13,2.35
2017-01-20,2.23
2017-01-27,2.23
2017-02-03,1.84
2017-02-10,1.86
2017-02-17,1.72
2017-02-24,1.85
2017-03-03,1.95
2017-03-10,1.95
2017-03-17,1.78
2017-03-24,1.70
2017-03-31,1.70
2017-04-07,1.82
2017-04-14,1.85
2017-04-21,1.84
2017-04-28,1.70
2017-05-05,1.88
2017-05-12,1.88
2017-05-19,1.85
2017-05-26,1.72
2017-06-02,1.79
2017-06-09,2.10
2017-06-16,1.91
2017-06-23,1.95
2017-06-30,1.96
2017-07-07,1.92
2017-07-14,1.85
2017-07-21,2.06
2017-07-28,1.89
2017-08-04,1.79
2017-08-11,1.84
2017-08-18,1.88
2017-08-25,1.96
2017-09-01,1.97
2017-09-08,2.08
2017-09-15,2.10
2017-09-22,2.02
2017-09-29,1.92
2017-10-06,1.94
2017-10-13,1.85
2017-10-20,1.87
2017-10-27,1.94
2017-11-03,1.99
2017-11-10,2.00
2017-11-17,1.89
2017-11-24,1.85
2017-12-01,1.72
2017-12-08,1.70
2017-12-15,1.79
2017-12-22,1.75
2017-12-29,1.78
2018-01-05,1.70
2018-01-12,1.69
2018-01-19,1.67
2018-01-26,1.69
2018-02-02,1.65
2018-02-09,1.50
2018-02-16,1.46
2018-02-23,1.45
2018-03-02,1.40
2018-03-09,1.52
2018-03-16,1.58
2018-03-23,1.44
2018-03-30,1.47
2018-04-06,1.50
2018-04-13,1.48
2018-04-20,1.48
2018-04-27,1.49
2018-05-04,1.51
2018-05-11,1.42
2018-05-18,1.45
2018-05-25,1.42
2018-06-01,1.51
2018-06-08,1.52
2018-06-15,1.53
2018-06-22,1.50
2018-06-29,1.65
2018-07-06,1.53
2018-07-13,1.48
2018-07-20,1.50
2018-07-27,1.56
2018-08-03,1.60
2018-08-10,1.56
2018-08-17,1.38
2018-08-24,1.40
2018-08-31,1.40
2018-09-07,1.38
2018-09-14,1.37
2018-09-21,1.24
2018-09-28,1.22
2018-10-05,1.27
2018-10-12,1.28
2018-10-19,1.31
2018-10-26,1.30
2018-11-02,1.20
2018-11-09,1.12
2018-11-16,1.12
2018-11-23,1.10
2018-11-30,1.11
2018-12-07,1.08
2018-12-14,1.25
2018-12-21,1.31
2018-12-28,1.18
2019-01-04,1.30
2019-01-11,1.20
2019-01-18,1.24
2019-01-25,1.19
2019-02-01,1.08
2019-02-08,1.15
2019-02-15,1.13
2019-02-22,1.09
2019-03-01,1.09
2019-03-08,1.10
2019-03-15,1.08
2019-03-22,1.11
2019-03-29,1.06
2019-04-05,1.06
2019-04-12,1.09
2019-04-19,1.08
2019-04-26,1.09
2019-05-03,1.04
2019-05-10,1.05
2019-05-17,1.01
2019-05-24,1.03
2019-05-31,1.05
2019-06-07,1.03
2019-06-14,1.03
2019-06-21,1.04
2019-06-28,1.04
2019-07-05,1.18
2019-07-12,1.18
2019-07-19,1.22
2019-07-26,1.12
2019-08-02,1.07
2019-08-09,1.04
2019-08-16,1.06
2019-08-23,1.05
2019-08-30,1.10
2019-09-06,1.21
2019-09-13,1.19
2019-09-20,1.17
2019-09-27,1.11
2019-10-04,1.15
2019-10-11,1.14
2019-10-18,1.15
2019-10-25,1.17
2019-11-01,1.18
2019-11-08,1.10
2019-11-15,1.05
2019-11-22,1.04
2019-11-29,0.97
2019-12-06,0.94
2019-12-13,0.93
2019-12-20,0.85
2019-12-27,0.98
2020-01-03,0.99
2020-01-10,0.90
2020-01-17,0.88
2020-01-24,0.81
2020-01-31,0.76
2020-02-07,0.78
2020-02-14,0.78
2020-02-21,0.72
2020-02-28,0.67
2020-03-06,0.61
2020-03-13,0.56
2020-03-20,0.50
2020-03-27,0.54
2020-04-03,0.58
2020-04-10,0.53
2020-04-17,0.57
2020-04-24,0.58
2020-05-01,0.59
2020-05-08,0.56
2020-05-15,0.56
2020-05-22,0.52
2020-05-29,0.55
2020-06-05,0.58
2020-06-12,0.61
2020-06-19,0.58
2020-06-26,0.60
2020-07-03,0.59
2020-07-10,0.61
2020-07-17,0.65
2020-07-24,0.77
2020-07-31,0.82
2020-08-07,1.01
2020-08-14,0.95
2020-08-21,0.92
2020-08-28,1.04
2020-09-04,0.99
2020-09-11,0.92
2020-09-18,0.93
2020-09-25,0.87
2020-10-02,0.84
2020-10-09,0.94
2020-10-16,0.97
2020-10-23,0.99
2020-10-30,0.92
2020-11-06,0.96
2020-11-13,1.15
2020-11-20,1.08
2020-11-27,1.27
