Week,Price
2015-06-26,4.92
2015-07-03,4.87
2015-07-10,4.75
2015-07-17,4.88
2015-07-24,4.84
2015-07-31,4.74
2015-08-07,4.65
2015-08-14,4.60
2015-08-21,4.29
2015-08-28,4.33
2015-09-04,4.18
2015-09-11,4.23
2015-09-18,4.50
2015-09-25,4.25
2015-10-02,4.40
2015-10-09,4.75
2015-10-16,4.41
2015-10-23,4.73
2015-10-30,4.69
2015-11-06,4.65
2015-11-13,4.37
2015-11-20,4.49
2015-11-27,4.44
2015-12-04,4.54
2015-12-11,4.20
2015-12-18,4.29
2015-12-25,4.31
2016-01-01,4.25
2016-01-08,3.88
2016-01-15,3.65
2016-01-22,3.27
2016-01-29,3.57
2016-02-05,3.60
2016-02-12,3.32
2016-02-19,3.46
2016-02-26,3.49
2016-03-04,3.82
2016-03-11,4.14
2016-03-18,4.05
2016-03-25,4.11
2016-04-01,4.11
2016-04-08,3.95
2016-04-15,4.02
2016-04-22,4.10
2016-04-29,3.77
2016-05-06,3.70
2016-05-13,4.25
2016-05-20,4.11
2016-05-27,4.40
2016-06-03,4.41
2016-06-10,4.40
2016-06-17,4.41
2016-06-24,4.50
2016-07-01,4.60
2016-07-08,4.65
2016-07-15,5.14
2016-07-22,5.13
2016-07-29,5.03
2016-08-05,5.19
2016-08-12,5.15
2016-08-19,4.88
2016-08-26,4.94
2016-09-02,4.92
2016-09-09,4.55
2016-09-16,4.55
2016-09-23,4.79
2016-09-30,4.72
2016-10-07,4.50
2016-10-14,4.14
2016-10-21,4.28
2016-10-28,4.02
2016-11-04,4.02
2016-11-11,3.78
2016-11-18,3.85
2016-11-25,3.88
2016-12-02,3.70
2016-12-09,3.68
2016-12-16,3.47
2016-12-23,3.53
2016-12-30,3.57
2017-01-06,3.75
2017-01-13,3.78
2017-01-20,3.73
2017-01-27,3.64
2017-02-03,3.64
2017-02-10,3.71
2017-02-17,3.73
2017-02-24,3.70
2017-03-03,3.71
2017-03-10,3.68
2017-03-17,3.59
2017-03-24,3.48
2017-03-31,3.38
2017-04-07,3.94
2017-04-14,4.05
2017-04-21,4.10
2017-04-28,4.06
2017-05-05,4.20
2017-05-12,4.12
2017-05-19,4.24
2017-05-26,4.62
2017-06-02,4.54
2017-06-09,4.68
2017-06-16,4.41
2017-06-23,4.54
2017-06-30,4.30
2017-07-07,4.59
2017-07-14,4.62
2017-07-21,4.70
2017-07-28,4.94
2017-08-04,4.81
2017-08-11,4.78
2017-08-18,4.92
2017-08-25,4.94
2017-09-01,4.94
2017-09-08,5.27
2017-09-15,5.37
2017-09-22,5.30
2017-09-29,5.23
2017-10-06,5.28
2017-10-13,5.45
2017-10-20,5.30
2017-10-27,5.32
2017-11-03,5.64
2017-11-10,5.62
2017-11-17,5.42
