Week,Price
2015-05-15,273.00
2015-05-22,273.20
2015-05-29,281.20
2015-06-05,284.80
2015-06-12,284.00
2015-06-19,285.00
2015-06-26,291.00
2015-07-03,296.00
2015-07-10,294.00
2015-07-17,295.00
2015-07-24,294.80
2015-07-31,299.00
2015-08-07,302.00
2015-08-14,297.40
2015-08-21,282.00
2015-08-28,284.00
2015-09-04,279.00
2015-09-11,285.40
2015-09-18,298.40
2015-09-25,293.00
2015-10-02,297.60
2015-10-09,301.20
2015-10-16,309.80
2015-10-23,320.00
2015-10-30,325.00
2015-11-06,326.00
2015-11-13,300.00
2015-11-20,297.80
2015-11-27,305.80
2015-12-04,312.20
2015-12-11,318.00
2015-12-18,317.00
2015-12-25,312.00
2016-01-01,320.00
2016-01-08,310.00
2016-01-15,315.00
2016-01-22,307.00
2016-01-29,310.00
2016-02-05,312.80
2016-02-12,317.20
2016-02-19,320.20
2016-02-26,330.20
2016-03-04,327.00
2016-03-11,326.40
2016-03-18,315.00
2016-03-25,320.00
2016-04-01,322.00
2016-04-08,327.00
2016-04-15,330.00
2016-04-22,337.00
2016-04-29,343.00
2016-05-06,336.60
2016-05-13,340.40
2016-05-20,321.60
2016-05-27,301.80
2016-06-03,316.00
2016-06-10,309.80
2016-06-17,325.00
2016-06-24,312.20
2016-07-01,315.80
2016-07-08,311.40
2016-07-15,311.00
2016-07-22,313.00
2016-07-29,324.00
2016-08-05,324.80
2016-08-12,325.00
2016-08-19,313.00
2016-08-26,313.00
2016-09-02,312.00
2016-09-09,307.00
2016-09-16,311.80
2016-09-23,314.00
2016-09-30,310.40
2016-10-07,308.60
2016-10-14,290.40
2016-10-21,291.20
2016-10-28,276.00
2016-11-04,281.00
2016-11-11,278.40
2016-11-18,283.80
2016-11-25,266.00
2016-12-02,258.00
2016-12-09,263.00
2016-12-16,257.40
2016-12-23,258.80
2016-12-30,265.00
2017-01-06,277.60
2017-01-13,278.00
2017-01-20,284.40
2017-01-27,285.00
2017-02-03,289.60
2017-02-10,290.00
2017-02-17,287.40
2017-02-24,290.00
2017-03-03,293.60
2017-03-10,294.40
2017-03-17,290.00
2017-03-24,277.80
2017-03-31,274.00
2017-04-07,278.00
2017-04-14,284.00
2017-04-21,281.00
2017-04-28,280.00
2017-05-05,275.00
2017-05-12,275.00
2017-05-19,278.80
2017-05-26,270.20
2017-06-02,271.00
2017-06-09,266.00
2017-06-16,262.60
2017-06-23,261.00
2017-06-30,260.80
2017-07-07,266.60
2017-07-14,269.80
2017-07-21,277.00
2017-07-28,280.00
2017-08-04,280.00
2017-08-11,277.00
2017-08-18,277.40
2017-08-25,270.60
2017-09-01,271.00
2017-09-08,269.60
2017-09-15,276.00
2017-09-22,279.80
2017-09-29,283.00
2017-10-06,285.20
2017-10-13,289.60
2017-10-20,290.60
2017-10-27,290.00
2017-11-03,290.20
2017-11-10,295.00
2017-11-17,322.00
2017-11-24,319.00
2017-12-01,305.40
2017-12-08,323.40
2017-12-15,325.00
2017-12-22,320.80
2017-12-29,328.60
2018-01-05,329.20
2018-01-12,331.00
2018-01-19,330.00
2018-01-26,335.00
2018-02-02,336.20
2018-02-09,318.00
2018-02-16,322.00
2018-02-23,319.20
2018-03-02,334.40
2018-03-09,327.20
2018-03-16,335.00
2018-03-23,325.00
2018-03-30,318.00
2018-04-06,322.60
2018-04-13,321.80
2018-04-20,321.60
2018-04-27,314.20
2018-05-04,327.00
2018-05-11,328.00
2018-05-18,322.00
2018-05-25,335.00
2018-06-01,334.80
2018-06-08,338.00
2018-06-15,345.00
2018-06-22,334.80
2018-06-29,355.60
2018-07-06,358.00
2018-07-13,356.00
2018-07-20,357.20
2018-07-27,378.00
2018-08-03,370.00
2018-08-10,368.20
2018-08-17,363.00
2018-08-24,366.00
2018-08-31,373.40
2018-09-07,380.00
2018-09-14,368.00
2018-09-21,365.00
2018-09-28,340.00
2018-10-05,356.00
2018-10-12,351.80
2018-10-19,346.80
2018-10-26,360.00
2018-11-02,367.80
2018-11-09,380.80
2018-11-16,376.60
2018-11-23,390.00
2018-11-30,384.20
2018-12-07,376.00
2018-12-14,389.80
2018-12-21,390.00
2018-12-28,380.00
2019-01-04,394.00
2019-01-11,387.00
2019-01-18,369.20
2019-01-25,372.00
2019-02-01,370.60
2019-02-08,367.20
2019-02-15,355.00
2019-02-22,375.00
2019-03-01,367.00
2019-03-08,376.00
2019-03-15,370.00
2019-03-22,387.00
2019-03-29,380.00
2019-04-05,378.80
2019-04-12,378.40
2019-04-19,379.00
2019-04-26,384.00
2019-05-03,385.60
2019-05-10,371.20
2019-05-17,360.00
2019-05-24,378.00
2019-05-31,385.00
2019-06-07,388.80
2019-06-14,382.20
2019-06-21,380.00
2019-06-28,387.00
2019-07-05,386.00
2019-07-12,381.40
2019-07-19,383.00
2019-07-26,375.00
2019-08-02,372.60
2019-08-09,360.00
2019-08-16,353.00
2019-08-23,362.00
2019-08-30,365.00
2019-09-06,358.00
2019-09-13,366.40
2019-09-20,371.00
2019-09-27,363.00
2019-10-04,367.00
2019-10-11,365.20
2019-10-18,360.60
2019-10-25,356.20
2019-11-01,338.40
2019-11-08,349.80
2019-11-15,338.00
2019-11-22,330.00
2019-11-29,319.00
2019-12-06,326.00
2019-12-13,318.00
2019-12-20,286.20
2019-12-27,317.00
2020-01-03,312.40
2020-01-10,308.00
2020-01-17,291.00
2020-01-24,302.40
2020-01-31,256.00
2020-02-07,288.80
2020-02-14,262.00
2020-02-21,270.00
