Week,Price
2015-05-08,4.61
2015-05-15,4.73
2015-05-22,4.77
2015-05-29,4.50
2015-06-05,4.45
2015-06-12,4.55
2015-06-19,4.70
2015-06-26,4.82
2015-07-03,4.62
2015-07-10,4.69
2015-07-17,4.78
2015-07-24,4.80
2015-07-31,4.85
2015-08-07,4.99
2015-08-14,5.01
2015-08-21,5.03
2015-08-28,5.00
2015-09-04,4.99
2015-09-11,5.04
2015-09-18,5.13
2015-09-25,4.98
2015-10-02,5.00
2015-10-09,5.21
2015-10-16,5.06
2015-10-23,5.23
2015-10-30,5.22
2015-11-06,5.30
2015-11-13,5.31
2015-11-20,5.30
2015-11-27,5.24
2015-12-04,5.26
2015-12-11,5.05
2015-12-18,5.33
2015-12-25,5.24
2016-01-01,5.20
2016-01-08,5.19
2016-01-15,5.10
2016-01-22,5.24
2016-01-29,5.50
2016-02-05,5.70
2016-02-12,5.62
2016-02-19,5.90
2016-02-26,5.86
2016-03-04,5.70
2016-03-11,6.03
2016-03-18,6.00
2016-03-25,5.90
2016-04-01,5.80
2016-04-08,5.82
2016-04-15,5.99
2016-04-22,5.79
2016-04-29,5.80
2016-05-06,5.65
2016-05-13,6.02
2016-05-20,5.90
2016-05-27,5.99
2016-06-03,6.08
2016-06-10,6.30
2016-06-17,6.50
2016-06-24,6.60
2016-07-01,6.77
2016-07-08,6.82
2016-07-15,7.19
2016-07-22,7.32
2016-07-29,7.50
2016-08-05,7.40
2016-08-12,7.10
2016-08-19,7.29
2016-08-26,7.24
2016-09-02,7.14
2016-09-09,7.00
2016-09-16,6.51
2016-09-23,7.19
2016-09-30,7.10
2016-10-07,7.40
2016-10-14,7.11
2016-10-21,7.18
2016-10-28,7.20
2016-11-04,6.96
2016-11-11,6.83
2016-11-18,6.81
2016-11-25,6.60
2016-12-02,6.50
2016-12-09,6.48
2016-12-16,6.30
2016-12-23,5.99
2016-12-30,6.66
2017-01-06,6.91
2017-01-13,6.89
2017-01-20,6.84
2017-01-27,6.80
2017-02-03,6.62
2017-02-10,6.81
2017-02-17,6.80
2017-02-24,6.88
2017-03-03,6.88
2017-03-10,6.60
2017-03-17,6.50
2017-03-24,6.03
2017-03-31,6.02
2017-04-07,6.56
2017-04-14,6.48
2017-04-21,6.51
2017-04-28,6.58
2017-05-05,6.65
2017-05-12,6.60
2017-05-19,6.60
2017-05-26,6.49
2017-06-02,6.37
2017-06-09,6.19
2017-06-16,6.20
2017-06-23,6.20
2017-06-30,6.39
2017-07-07,6.70
2017-07-14,6.70
2017-07-21,6.65
2017-07-28,6.81
2017-08-04,6.69
2017-08-11,6.59
2017-08-18,6.70
2017-08-25,6.60
2017-09-01,6.35
2017-09-08,6.76
2017-09-15,6.79
2017-09-22,6.94
2017-09-29,6.70
2017-10-06,6.88
2017-10-13,6.85
2017-10-20,6.89
2017-10-27,6.70
2017-11-03,6.74
2017-11-10,6.76
2017-11-17,6.69
2017-11-24,6.61
2017-12-01,6.50
2017-12-08,6.40
2017-12-15,6.53
2017-12-22,6.73
2017-12-29,6.85
2018-01-05,6.66
2018-01-12,6.55
2018-01-19,6.80
2018-01-26,6.69
2018-02-02,6.46
2018-02-09,6.19
2018-02-16,5.85
2018-02-23,5.75
2018-03-02,5.75
2018-03-09,5.75
2018-03-16,5.60
2018-03-23,5.20
2018-03-30,5.24
2018-04-06,5.20
2018-04-13,4.93
2018-04-20,4.64
2018-04-27,4.82
2018-05-04,5.10
2018-05-11,5.41
2018-05-18,4.90
2018-05-25,4.77
2018-06-01,4.79
2018-06-08,5.01
2018-06-15,4.99
2018-06-22,4.59
2018-06-29,4.60
2018-07-06,4.63
2018-07-13,4.57
2018-07-20,4.30
2018-07-27,4.54
2018-08-03,5.03
2018-08-10,4.98
2018-08-17,4.89
2018-08-24,5.02
2018-08-31,5.45
2018-09-07,5.27
2018-09-14,5.28
2018-09-21,4.92
2018-09-28,4.75
2018-10-05,4.76
