Week,Price
2015-03-06,0.132
2015-03-13,0.125
2015-03-20,0.127
2015-03-27,0.124 
2015-04-03,0.123
2015-04-10,0.134
2015-04-17,0.125
2015-04-24,0.122
2015-05-01,0.121
2015-05-08,0.127
2015-05-15,0.126
2015-05-22,0.125
2015-05-29,0.121
2015-06-05,0.113
2015-06-12,0.114
2015-06-19,0.116
2015-06-26,0.112
2015-07-03,0.110
2015-07-10,0.110
2015-07-17,0.106
2015-07-24,0.106
2015-07-31,0.103
2015-08-07,0.102
2015-08-14,0.096
2015-08-21,0.092
2015-08-28,0.083
2015-09-04,0.085
2015-09-11,0.082
2015-09-18,0.091
2015-09-25,0.092
2015-10-02,0.087
2015-10-09,0.085
2015-10-16,0.089
2015-10-23,0.090
2015-10-30,0.091
2015-11-06,0.084
2015-11-13,0.085
2015-11-20,0.082
2015-11-27,0.079
2015-12-04,0.083
2015-12-11,0.078
2015-12-18,0.077
2015-12-25,0.078
2016-01-01,0.082
2016-01-08,0.073
2016-01-15,0.070
2016-01-22,0.070
2016-01-29,0.076
2016-02-05,0.075
2016-02-12,0.083
2016-02-19,0.090
2016-02-26,0.085
2016-03-04,0.090
2016-03-11,0.101
2016-03-18,0.092
2016-03-25,0.093
2016-04-01,0.092
2016-04-08,0.091
2016-04-15,0.091
2016-04-22,0.085
2016-04-29,0.083
2016-05-06,0.082
2016-05-13,0.093
2016-05-20,0.092
2016-05-27,0.094
2016-06-03,0.090
2016-06-10,0.090
2016-06-17,0.087
2016-06-24,0.091
2016-07-01,0.099
2016-07-08,0.106
2016-07-15,0.107
2016-07-22,0.109
2016-07-29,0.119
2016-08-05,0.137
2016-08-12,0.124
2016-08-19,0.128
2016-08-26,0.117
2016-09-02,0.132
2016-09-09,0.188
2016-09-16,0.186
2016-09-23,0.230
2016-09-30,0.227
2016-10-07,0.195
2016-10-14,0.163
2016-10-21,0.170
2016-10-28,0.166
2016-11-04,0.159
2016-11-11,0.144
2016-11-18,0.142
2016-11-25,0.140
2016-12-02,0.144
2016-12-09,0.146
2016-12-16,0.139
2016-12-23,0.129
2016-12-30,0.129
2017-01-06,0.147
2017-01-13,0.150
2017-01-20,0.164
2017-01-27,0.175
2017-02-03,0.169
2017-02-10,0.160
2017-02-17,0.173
2017-02-24,0.164
2017-03-03,0.165
2017-03-10,0.168
2017-03-17,0.189
2017-03-24,0.227
2017-03-31,0.216
2017-04-07,0.275
2017-04-14,0.290
2017-04-21,0.380
2017-04-28,0.420
2017-05-05,0.440
2017-05-12,0.385
2017-05-19,0.370
2017-05-26,0.360
2017-06-02,0.340
2017-06-09,0.420
2017-06-16,0.410
2017-06-23,0.375
2017-06-30,0.400
2017-07-07,0.380
2017-07-14,0.350
2017-07-21,0.360
2017-07-28,0.340
2017-08-04,0.335
2017-08-11,0.300
2017-08-18,0.275
