Week,Price
2015-06-26,6.20
2015-07-03,5.98
2015-07-10,5.85
2015-07-17,5.80
2015-07-24,5.86
2015-07-31,6.18
2015-08-07,6.47
2015-08-14,6.14
2015-08-21,5.80
2015-08-28,5.90
2015-09-04,5.50
2015-09-11,5.55
2015-09-18,5.60
2015-09-25,5.51
2015-10-02,5.50
2015-10-09,5.53
2015-10-16,6.00
2015-10-23,6.00
2015-10-30,7.30
2015-11-06,6.25
2015-11-13,6.20
2015-11-20,6.30
2015-11-27,6.35
2015-12-04,5.70
2015-12-11,5.65
2015-12-18,5.99
2015-12-25,6.00
2016-01-01,6.20
2016-01-08,5.69
2016-01-15,5.80
2016-01-22,5.57
2016-01-29,5.50
2016-02-05,5.50
2016-02-12,5.83
2016-02-19,5.80
2016-02-26,5.90
2016-03-04,5.88
2016-03-11,6.25
2016-03-18,6.44
2016-03-25,6.24
2016-04-01,6.40
2016-04-08,6.36
2016-04-15,6.55
2016-04-22,6.68
2016-04-29,6.30
2016-05-06,6.40
2016-05-13,6.60
2016-05-20,6.73
2016-05-27,6.67
2016-06-03,6.55
2016-06-10,6.52
2016-06-17,6.60
2016-06-24,6.50
2016-07-01,6.60
2016-07-08,7.04
2016-07-15,8.00
2016-07-22,9.50
2016-07-29,11.18
2016-08-05,11.04
2016-08-12,13.76
2016-08-19,14.24
2016-08-26,14.08
2016-09-02,13.98
2016-09-09,15.80
2016-09-16,14.90
2016-09-23,14.98
2016-09-30,15.88
2016-10-07,15.70
2016-10-14,14.48
2016-10-21,15.94
2016-10-28,15.00
2016-11-04,14.50
2016-11-11,14.40
2016-11-18,15.08
2016-11-25,15.10
2016-12-02,15.00
2016-12-09,14.82
2016-12-16,14.92
2016-12-23,14.54
2016-12-30,14.80
2017-01-06,14.86
2017-01-13,14.44
2017-01-20,14.20
2017-01-27,15.20
2017-02-03,14.78
2017-02-10,14.78
2017-02-17,16.00
2017-02-24,15.90
2017-03-03,15.34
2017-03-10,15.20
2017-03-17,16.50
2017-03-24,15.76
2017-03-31,17.50
2017-04-07,18.22
2017-04-14,18.58
2017-04-21,19.00
2017-04-28,18.48
2017-05-05,19.32
2017-05-12,19.22
2017-05-19,19.36
2017-05-26,19.00
2017-06-02,19.40
2017-06-09,19.30
2017-06-16,19.26
2017-06-23,19.08
2017-06-30,18.68
2017-07-07,18.84
2017-07-14,18.30
2017-07-21,18.62
2017-07-28,18.18
2017-08-04,18.10
2017-08-11,18.02
2017-08-18,17.96
2017-08-25,17.78
2017-09-01,17.50
2017-09-08,16.80
2017-09-15,17.02
2017-09-22,17.00
2017-09-29,16.10
2017-10-06,17.76
2017-10-13,16.44
2017-10-20,16.36
2017-10-27,16.40
2017-11-03,17.36
2017-11-10,18.20
2017-11-17,18.20
2017-11-24,18.38
2017-12-01,17.18
2017-12-08,17.00
2017-12-15,17.70
2017-12-22,17.96
2017-12-29,18.00
2018-01-05,17.78
2018-01-12,17.94
2018-01-19,19.50
2018-01-26,21.60
2018-02-02,21.50
2018-02-09,20.20
2018-02-16,19.08
2018-02-23,20.70
2018-03-02,21.00
2018-03-09,20.90
2018-03-16,20.70
2018-03-23,19.52
2018-03-30,20.45
2018-04-06,21.50
2018-04-13,21.50
2018-04-20,23.85
2018-04-27,23.15
2018-05-04,22.65
2018-05-11,22.65
2018-05-18,20.85
2018-05-25,22.60
2018-06-01,22.30
2018-06-08,22.50
2018-06-15,22.00
2018-06-22,21.00
2018-06-29,20.05
2018-07-06,19.20
2018-07-13,19.38
2018-07-20,18.00
2018-07-27,19.30
2018-08-03,19.24
2018-08-10,18.84
2018-08-17,18.88
2018-08-24,18.80
2018-08-31,18.10
2018-09-07,17.50
2018-09-14,16.40
2018-09-21,16.00
2018-09-28,15.50
2018-10-05,14.02
2018-10-12,15.60
2018-10-19,16.98
2018-10-26,17.58
2018-11-02,17.94
2018-11-09,18.30
2018-11-16,17.60
2018-11-23,16.84
2018-11-30,18.20
2018-12-07,18.58
2018-12-14,18.16
2018-12-21,18.00
2018-12-28,18.50
2019-01-04,18.16
2019-01-11,18.00
2019-01-18,17.18
2019-01-25,18.10
2019-02-01,18.26
2019-02-08,18.44
2019-02-15,18.10
2019-02-22,18.90
2019-03-01,19.48
2019-03-08,19.90
2019-03-15,19.98
2019-03-22,21.35
2019-03-29,21.50
2019-04-05,22.10
2019-04-12,21.00
2019-04-19,21.30
2019-04-26,22.05
2019-05-03,22.60
2019-05-10,22.00
2019-05-17,21.70
2019-05-24,21.50
2019-05-31,20.20
2019-06-07,19.80
2019-06-14,19.10
2019-06-21,19.76
2019-06-28,19.02
2019-07-05,18.00
2019-07-12,18.90
2019-07-19,18.50
2019-07-26,18.70
2019-08-02,18.98
2019-08-09,18.70
2019-08-16,18.48
2019-08-23,18.66
2019-08-30,19.00
2019-09-06,19.16
2019-09-13,19.28
2019-09-20,18.92
2019-09-27,18.48
2019-10-04,18.36
2019-10-11,18.10
2019-10-18,17.90
2019-10-25,17.88
2019-11-01,17.70
2019-11-08,17.18
2019-11-15,17.00
2019-11-22,17.10
2019-11-29,17.08
2019-12-06,16.70
2019-12-13,16.88
2019-12-20,16.50
2019-12-27,16.38
2020-01-03,16.22
2020-01-10,14.82
2020-01-17,14.96
2020-01-24,15.00
2020-01-31,14.60
2020-02-07,14.60
2020-02-14,14.80
2020-02-21,14.60
2020-02-28,12.66
2020-03-06,11.80
2020-03-13,10.80
2020-03-20,6.82
2020-03-27,5.84
2020-04-03,6.10
2020-04-10,6.30
2020-04-17,8.00
2020-04-24,6.65
2020-05-01,6.55
2020-05-08,5.92
2020-05-15,5.65
2020-05-22,5.05
2020-05-29,4.75
2020-06-05,7.00
2020-06-12,7.61
2020-06-19,7.13
2020-06-26,7.17
2020-07-03,7.30
2020-07-10,7.35
2020-07-17,7.24
2020-07-24,7.00
2020-07-31,6.83
2020-08-07,6.38
2020-08-14,6.44
2020-08-21,6.41
2020-08-28,6.35
2020-09-04,7.16
2020-09-11,7.09
2020-09-18,7.20
2020-09-25,7.43
2020-10-02,7.05
2020-10-09,7.21
2020-10-16,6.95
2020-10-23,7.55
2020-10-30,7.50
2020-11-06,7.54
2020-11-13,8.75
