Week,Price
2015-05-08,7.42
2015-05-15,7.57
2015-05-22,7.04
2015-05-29,6.31
2015-06-05,6.85
2015-06-12,6.75
2015-06-19,6.72
2015-06-26,6.79
2015-07-03,6.31
2015-07-10,5.56
2015-07-17,6.39
2015-07-24,5.97
2015-07-31,5.86
2015-08-07,5.76
2015-08-14,5.06
2015-08-21,4.54
2015-08-28,4.47
2015-09-04,4.48
2015-09-11,4.16
2015-09-18,4.14
2015-09-25,3.99
2015-10-02,3.59
2015-10-09,3.82
2015-10-16,4.02
2015-10-23,4.87
2015-10-30,4.42
2015-11-06,4.32
2015-11-13,3.87
2015-11-20,3.74
2015-11-27,3.63
2015-12-04,3.65
2015-12-11,3.56
2015-12-18,3.47
2015-12-25,3.47
2016-01-01,3.47
2016-01-08,2.70
2016-01-15,2.31
2016-01-22,1.97
2016-01-29,2.28
2016-02-05,2.81
2016-02-12,2.39
2016-02-19,2.76
2016-02-26,2.79
2016-03-04,3.16
2016-03-11,3.17
2016-03-18,3.13
2016-03-25,3.07
2016-04-01,2.83
2016-04-08,2.77
2016-04-15,2.86
2016-04-22,3.07
2016-04-29,2.96
2016-05-06,2.79
2016-05-13,2.78
2016-05-20,2.72
2016-05-27,2.49
2016-06-03,2.33
2016-06-10,2.71
2016-06-17,2.77
2016-06-24,2.71
2016-07-01,2.79
2016-07-08,3.07
2016-07-15,3.38
2016-07-22,3.17
2016-07-29,3.18
2016-08-05,3.03
2016-08-12,2.93
2016-08-19,3.19
2016-08-26,3.56
2016-09-02,3.51
2016-09-09,3.81
2016-09-16,3.57
2016-09-23,3.86
2016-09-30,4.00
2016-10-07,3.93
2016-10-14,3.91
2016-10-21,3.82
2016-10-28,3.79
2016-11-04,3.86
2016-11-11,4.29
2016-11-18,4.55
2016-11-25,4.80
2016-12-02,4.39
2016-12-09,4.33
2016-12-16,4.52
2016-12-23,4.33
2016-12-30,4.43
2017-01-06,4.58
2017-01-13,4.07
2017-01-20,3.67
2017-01-27,3.75
2017-02-03,3.82
2017-02-10,3.92
2017-02-17,3.87
2017-02-24,3.72
2017-03-03,3.76
2017-03-10,3.56
2017-03-17,3.59
2017-03-24,3.48
2017-03-31,3.38
2017-04-07,3.43
2017-04-14,3.40
2017-04-21,3.40
2017-04-28,3.47
2017-05-05,3.61
2017-05-12,3.36
2017-05-19,3.42
2017-05-26,3.55
2017-06-02,3.44
2017-06-09,3.44
2017-06-16,3.41
2017-06-23,3.47
2017-06-30,3.56
2017-07-07,3.50
2017-07-14,3.52
2017-07-21,3.61
2017-07-28,3.32
2017-08-04,3.44
2017-08-11,3.19
2017-08-18,3.38
2017-08-25,4.06
2017-09-01,4.01
2017-09-08,4.43
2017-09-15,4.29
2017-09-22,3.99
2017-09-29,3.67
2017-10-06,3.89
2017-10-13,3.91
2017-10-20,3.70
2017-10-27,3.77
2017-11-03,4.11
2017-11-10,3.89
2017-11-17,3.79
2017-11-24,3.67
2017-12-01,3.41
2017-12-08,3.46
2017-12-15,3.42
2017-12-22,3.46
2017-12-29,3.52
2018-01-05,3.66
2018-01-12,3.66
2018-01-19,3.61
2018-01-26,3.62
2018-02-02,3.83
2018-02-09,3.57
2018-02-16,3.56
2018-02-23,3.44
2018-03-02,3.43
2018-03-09,3.42
2018-03-16,3.44
2018-03-23,3.28
2018-03-30,3.39
2018-04-06,3.33
2018-04-13,3.33
2018-04-20,3.43
2018-04-27,2.86
2018-05-04,2.89
2018-05-11,2.83
2018-05-18,2.74
2018-05-25,2.69
2018-06-01,2.68
2018-06-08,2.80
2018-06-15,2.78
2018-06-22,2.56
2018-06-29,2.58
2018-07-06,2.37
2018-07-13,2.46
2018-07-20,2.50
2018-07-27,2.44
2018-08-03,2.53
2018-08-10,2.68
2018-08-17,2.64
2018-08-24,2.61
2018-08-31,3.02
2018-09-07,2.69
2018-09-14,2.59
2018-09-21,2.40
2018-09-28,2.43
2018-10-05,2.35
2018-10-12,2.39
2018-10-19,2.74
2018-10-26,2.64
2018-11-02,2.54
2018-11-09,2.59
2018-11-16,2.30
2018-11-23,2.03
2018-11-30,2.22
2018-12-07,2.23
2018-12-14,2.16
2018-12-21,2.20
2018-12-28,2.20
2019-01-04,2.44
2019-01-11,2.38
2019-01-18,2.64
2019-01-25,2.52
2019-02-01,2.50
2019-02-08,2.88
2019-02-15,2.65
2019-02-22,2.84
2019-03-01,2.73
2019-03-08,2.73
2019-03-15,2.53
2019-03-22,2.57
2019-03-29,2.49
2019-04-05,2.56
2019-04-12,2.42
2019-04-19,2.44
2019-04-26,2.44
2019-05-03,2.41
2019-05-10,2.30
2019-05-17,2.17
2019-05-24,2.15
2019-05-31,2.26
2019-06-07,2.23
2019-06-14,2.16
2019-06-21,2.10
2019-06-28,2.25
2019-07-05,2.25
2019-07-12,2.25
2019-07-19,2.70
2019-07-26,2.55
2019-08-02,2.58
2019-08-09,2.57
2019-08-16,2.50
2019-08-23,2.50
2019-08-30,2.74
2019-09-06,4.32
2019-09-13,4.40
2019-09-20,4.32
2019-09-27,4.05
2019-10-04,4.07
2019-10-11,4.14
2019-10-18,3.85
2019-10-25,3.94
2019-11-01,4.01
2019-11-08,3.86
2019-11-15,3.32
2019-11-22,3.30
2019-11-29,3.09
2019-12-06,2.98
2019-12-13,2.96
2019-12-20,2.96
2019-12-27,3.39
2020-01-03,3.15
2020-01-10,3.11
2020-01-17,3.45
2020-01-24,3.17
2020-01-31,2.86
2020-02-07,2.74
2020-02-14,2.56
2020-02-21,2.59
2020-02-28,2.18
2020-03-06,2.07
2020-03-13,1.86
2020-03-20,1.57
2020-03-27,1.56
2020-04-03,1.53
2020-04-10,1.62
2020-04-17,1.69
2020-04-24,1.62
2020-05-01,1.70
2020-05-08,1.54
2020-05-15,1.52
2020-05-22,1.54
2020-05-29,1.52
2020-06-05,1.79
2020-06-12,1.95
2020-06-19,1.81
2020-06-26,1.81
2020-07-03,2.00
2020-07-10,2.07
