Week,Price
2015-07-17,0.48
2015-07-24,0.46
2015-07-31,0.47
2015-08-07,0.46
2015-08-14,0.43
2015-08-21,0.43
2015-08-28,0.42
2015-09-04,0.41
2015-09-11,0.44
2015-09-18,0.48
2015-09-25,0.50
2015-10-02,0.49
2015-10-09,0.57
2015-10-16,1.01
2015-10-23,0.97
2015-10-30,0.86
2015-11-06,0.83
2015-11-13,0.67
2015-11-20,0.68
2015-11-27,0.64
2015-12-04,0.80
2015-12-11,0.85
2015-12-18,0.84
2015-12-25,0.81
2016-01-01,0.75
2016-01-08,0.68
2016-01-15,0.64
2016-01-22,0.62
2016-01-29,0.64
2016-02-05,0.73
2016-02-12,0.70
2016-02-19,0.73
2016-02-26,0.73
2016-03-04,0.72
2016-03-11,0.85
2016-03-18,0.86
2016-03-25,0.88
2016-04-01,1.29
2016-04-08,2.20
2016-04-15,2.46
2016-04-22,3.40
2016-04-29,3.19
2016-05-06,2.53
2016-05-13,2.80
2016-05-20,2.96
2016-05-27,3.55
2016-06-03,2.90
2016-06-10,2.81
2016-06-17,2.82
2016-06-24,2.79
2016-07-01,3.24
2016-07-08,3.90
2016-07-15,3.71
2016-07-22,3.68
2016-07-29,3.40
2016-08-05,3.51
2016-08-12,3.91
2016-08-19,3.91
2016-08-26,3.69
2016-09-02,3.68
2016-09-09,3.62
2016-09-16,3.45
2016-09-23,3.62
2016-09-30,3.44
2016-10-07,3.45
2016-10-14,3.05
2016-10-21,3.08
2016-10-28,3.00
2016-11-04,2.71
2016-11-11,2.57
2016-11-18,2.22
2016-11-25,2.21
2016-12-02,2.66
2016-12-09,2.42
2016-12-16,2.48
2016-12-23,2.35
2016-12-30,2.49
2017-01-06,2.70
2017-01-13,2.82
2017-01-20,2.78
2017-01-27,2.77
2017-02-03,2.84
2017-02-10,2.75
2017-02-17,2.78
2017-02-24,2.78
2017-03-03,2.82
2017-03-10,3.10
2017-03-17,2.98
2017-03-24,3.00
2017-03-31,2.90
2017-04-07,2.99
2017-04-14,3.03
2017-04-21,3.00
2017-04-28,2.85
2017-05-05,2.66
2017-05-12,2.61
2017-05-19,2.64
2017-05-26,2.58
2017-06-02,2.71
2017-06-09,2.79
2017-06-16,2.62
2017-06-23,2.63
2017-06-30,2.61
2017-07-07,2.60
2017-07-14,2.60
2017-07-21,2.55
2017-07-28,2.36
2017-08-04,2.31
2017-08-11,2.24
2017-08-18,2.32
2017-08-25,2.30
2017-09-01,2.40
2017-09-08,2.50
2017-09-15,2.70
2017-09-22,2.50
2017-09-29,2.34
2017-10-06,2.45
2017-10-13,2.31
2017-10-20,2.22
2017-10-27,2.20
2017-11-03,2.37
2017-11-10,2.45
2017-11-17,3.09
2017-11-24,2.94
2017-12-01,2.87
2017-12-08,2.83
2017-12-15,2.70
2017-12-22,2.86
2017-12-29,2.82
2018-01-05,2.91
2018-01-12,2.95
2018-01-19,4.19
2018-01-26,5.78
2018-02-02,5.64
2018-02-09,7.20
2018-02-16,13.98
2018-02-23,15.70
2018-03-02,13.08
2018-03-09,13.30
2018-03-16,12.70
2018-03-23,8.12
2018-03-30,8.19
2018-04-06,8.27
2018-04-13,8.49
2018-04-20,7.65
2018-04-27,8.06
2018-05-04,7.93
2018-05-11,8.16
2018-05-18,8.66
2018-05-25,10.74
2018-06-01,9.74
2018-06-08,9.95
2018-06-15,10.08
2018-06-22,8.40
2018-06-29,9.03
2018-07-06,9.66
2018-07-13,9.15
2018-07-20,9.15
2018-07-27,9.16
2018-08-03,8.91
2018-08-10,8.80
2018-08-17,8.28
2018-08-24,8.20
2018-08-31,8.16
2018-09-07,8.03
2018-09-14,7.53
2018-09-21,7.44
2018-09-28,7.31
2018-10-05,7.30
2018-10-12,5.61
2018-10-19,5.29
2018-10-26,4.69
2018-11-02,4.35
2018-11-09,3.05
2018-11-16,3.10
2018-11-23,3.16
2018-11-30,3.45
2018-12-07,3.64
2018-12-14,3.38
2018-12-21,3.38
2018-12-28,3.44
2019-01-04,3.72
2019-01-11,3.88
2019-01-18,3.78
2019-01-25,3.63
2019-02-01,3.35
2019-02-08,3.30
2019-02-15,3.07
2019-02-22,3.11
2019-03-01,2.96
2019-03-08,2.98
2019-03-15,2.81
2019-03-22,2.71
2019-03-29,2.55
2019-04-05,2.54
2019-04-12,2.42
2019-04-19,2.44
2019-04-26,2.33
2019-05-03,2.24
2019-05-10,2.07
2019-05-17,2.11
2019-05-24,2.05
2019-05-31,2.40
2019-06-07,2.34
2019-06-14,2.38
2019-06-21,2.52
2019-06-28,2.53
2019-07-05,2.50
2019-07-12,2.59
2019-07-19,2.71
2019-07-26,2.53
2019-08-02,2.48
2019-08-09,2.35
2019-08-16,2.17
2019-08-23,2.13
2019-08-30,3.23
2019-09-06,3.10
2019-09-13,3.50
2019-09-20,3.30
2019-09-27,2.87
2019-10-04,2.79
2019-10-11,2.98
2019-10-18,3.09
2019-10-25,3.29
2019-11-01,3.53
2019-11-08,3.55
2019-11-15,3.10
2019-11-22,2.95
2019-11-29,2.84
2019-12-06,2.95
2019-12-13,2.62
2019-12-20,2.34
2019-12-27,2.49
2020-01-03,2.54
2020-01-10,2.48
2020-01-17,2.58
2020-01-24,2.55
2020-01-31,2.23
2020-02-07,2.20
2020-02-14,2.06
2020-02-21,2.19
2020-02-28,1.93
2020-03-06,1.92
2020-03-13,1.36
2020-03-20,1.13
2020-03-27,1.39
2020-04-03,1.56
2020-04-10,1.60
2020-04-17,1.70
2020-04-24,1.88
2020-05-01,1.92
2020-05-08,1.84
2020-05-15,1.74
2020-05-22,1.70
2020-05-29,1.70
2020-06-05,1.84
2020-06-12,2.10
2020-06-19,2.10
2020-06-26,2.06
2020-07-03,2.12
2020-07-10,2.24
2020-07-17,2.06
2020-07-24,1.93
2020-07-31,2.00
2020-08-07,2.00
2020-08-14,2.09
2020-08-21,2.21
2020-08-28,2.18
2020-09-04,2.22
2020-09-11,2.29
2020-09-18,2.39
2020-09-25,2.93
2020-10-02,3.72
2020-10-09,4.77
2020-10-16,5.25
2020-10-23,4.89
2020-10-30,4.69
2020-11-06,4.42
2020-11-13,4.27
