Week,Price
2015-09-04,1.26
2015-09-11,1.31
2015-09-18,1.34
2015-09-25,1.35
2015-10-02,1.35
2015-10-09,1.36
2015-10-16,1.37
2015-10-23,1.41
2015-10-30,1.51
2015-11-06,1.44
2015-11-13,1.40
2015-11-20,1.44
2015-11-27,1.43
2015-12-04,1.37
2015-12-11,1.28
2015-12-18,1.27
2015-12-25,1.27
2016-01-01,1.40
2016-01-08,1.15
2016-01-15,0.89
2016-01-22,0.96
2016-01-29,1.10
2016-02-05,1.13
2016-02-12,1.15
2016-02-19,1.25
2016-02-26,1.24
2016-03-04,1.24
2016-03-11,1.23
2016-03-18,1.28
2016-03-25,1.27
2016-04-01,1.26
2016-04-08,1.24
2016-04-15,1.27
2016-04-22,1.38
2016-04-29,1.29
2016-05-06,1.25
2016-05-13,1.35
2016-05-20,1.35
2016-05-27,1.30
2016-06-03,1.30
2016-06-10,1.28
2016-06-17,1.27
2016-06-24,1.16
2016-07-01,1.20
2016-07-08,1.22
2016-07-15,1.20
2016-07-22,1.18
2016-07-29,1.09
2016-08-05,1.08
2016-08-12,0.92
2016-08-19,1.03
2016-08-26,1.00
2016-09-02,1.00
2016-09-09,0.99
2016-09-16,1.00
2016-09-23,0.97
2016-09-30,0.90
2016-10-07,0.87
2016-10-14,0.84
2016-10-21,0.92
2016-10-28,0.94
2016-11-04,1.01
2016-11-11,1.07
2016-11-18,1.02
2016-11-25,1.28
2016-12-02,1.17
2016-12-09,1.19
2016-12-16,1.30
2016-12-23,1.02
2016-12-30,1.06
2017-01-06,1.14
2017-01-13,1.05
2017-01-20,1.06
2017-01-27,1.05
2017-02-03,0.95
2017-02-10,0.98
2017-02-17,0.94
2017-02-24,0.92
2017-03-03,0.90
2017-03-10,0.88
2017-03-17,0.88
2017-03-24,0.88
2017-03-31,0.86
2017-04-07,0.87
2017-04-14,0.88
2017-04-21,0.88
2017-04-28,0.87
2017-05-05,0.95
2017-05-12,0.90
2017-05-19,1.06
