Week,Price
2015-02-20,10.62
2015-02-27,10.22
2015-03-06,10.54
2015-03-13,10.58
2015-03-20,9.95
2015-03-27,9.84
2015-04-03,9.90
2015-04-10,9.79
2015-04-17,9.79
2015-04-24,9.50
2015-05-01,9.85
2015-05-08,9.71
2015-05-15,10.02
2015-05-22,9.75
2015-05-29,9.96
2015-06-05,9.64
2015-06-12,9.00
2015-06-19,8.62
2015-06-26,9.00
2015-07-03,9.00
2015-07-10,8.40
2015-07-17,7.17
2015-07-24,8.10
2015-07-31,10.00
2015-08-07,7.68
2015-08-14,8.40
2015-08-21,8.19
2015-08-28,7.91
2015-09-04,7.50
2015-09-11,7.15
2015-09-18,6.86
2015-09-25,6.90
2015-10-02,6.84
2015-10-09,7.10
2015-10-16,7.34
2015-10-23,7.25
2015-10-30,8.10
2015-11-06,8.35
2015-11-13,7.70
2015-11-20,7.77
2015-11-27,7.46
2015-12-04,7.36
2015-12-11,7.02
2015-12-18,7.00
2015-12-25,6.98
2016-01-01,6.99
2016-01-08,6.46
2016-01-15,5.73
2016-01-22,5.56
2016-01-29,6.50
2016-02-05,6.69
2016-02-12,7.64
2016-02-19,9.20
2016-02-26,8.70
2016-03-04,9.90
2016-03-11,10.30
2016-03-18,10.30
2016-03-25,10.96
2016-04-01,10.36
2016-04-08,10.66
2016-04-15,11.00
2016-04-22,10.80
2016-04-29,10.66
2016-05-06,10.50
2016-05-13,11.46
2016-05-20,11.10
2016-05-27,11.50
2016-06-03,11.80
2016-06-10,11.60
2016-06-17,11.66
2016-06-24,10.92
2016-07-01,11.00
2016-07-08,10.28
2016-07-15,11.22
2016-07-22,11.30
2016-07-29,10.68
2016-08-05,10.72
2016-08-12,11.32
2016-08-19,11.36
2016-08-26,10.98
2016-09-02,9.92
2016-09-09,9.60
2016-09-16,10.20
2016-09-23,10.24
2016-09-30,10.18
2016-10-07,10.60
2016-10-14,10.68
2016-10-21,10.74
2016-10-28,10.38
2016-11-04,10.24
2016-11-11,9.54
2016-11-18,9.70
2016-11-25,9.16
2016-12-02,10.12
2016-12-09,9.78
2016-12-16,10.28
2016-12-23,9.58
2016-12-30,9.95
2017-01-06,9.75
2017-01-13,9.70
2017-01-20,9.56
2017-01-27,9.42
2017-02-03,9.36
2017-02-10,9.50
2017-02-17,9.15
2017-02-24,9.00
2017-03-03,8.87
2017-03-10,8.57
2017-03-17,9.10
2017-03-24,9.00
2017-03-31,8.90
2017-04-07,8.77
2017-04-14,9.25
2017-04-21,8.95
2017-04-28,9.11
2017-05-05,9.00
2017-05-12,9.98
2017-05-19,10.68
2017-05-26,10.76
2017-06-02,10.68
2017-06-09,10.10
2017-06-16,9.70
2017-06-23,9.62
2017-06-30,9.68
2017-07-07,9.77
2017-07-14,9.58
2017-07-21,9.73
2017-07-28,9.41
2017-08-04,9.60
2017-08-11,9.59
2017-08-18,9.53
2017-08-25,9.41
2017-09-01,9.80
2017-09-08,10.34
2017-09-15,10.62
2017-09-22,10.30
2017-09-29,10.48
2017-10-06,10.24
2017-10-13,9.99
2017-10-20,9.84
2017-10-27,9.95
2017-11-03,9.65
2017-11-10,9.90
2017-11-17,9.69
2017-11-24,9.16
2017-12-01,9.60
2017-12-08,9.50
2017-12-15,9.30
2017-12-22,9.38
2017-12-29,9.17
2018-01-05,9.34
2018-01-12,9.25
2018-01-19,9.13
2018-01-26,9.21
2018-02-02,9.80
2018-02-09,9.46
2018-02-16,9.35
2018-02-23,9.10
2018-03-02,9.16
