Week,Price
2015-02-20,1.75
2015-02-27,1.63
2015-03-06,1.67
2015-03-13,1.59
2015-03-20,1.56
2015-03-27,1.52
2015-04-03,1.56
2015-04-10,1.67
2015-04-17,1.59
2015-04-24,1.57
2015-05-01,1.63
2015-05-08,1.61
2015-05-15,1.71
2015-05-22,1.62
2015-05-29,1.54
2015-06-05,1.40
2015-06-12,1.31
2015-06-19,1.30
2015-06-26,1.24
2015-07-03,1.27
2015-07-10,1.28
2015-07-17,1.50
2015-07-24,1.60
2015-07-31,1.57
2015-08-07,1.51
2015-08-14,1.33
2015-08-21,1.28
2015-08-28,1.25
2015-09-04,1.12
2015-09-11,1.11
2015-09-18,1.17
2015-09-25,1.07
2015-10-02,0.95
2015-10-09,1.08
2015-10-16,1.18
2015-10-23,1.20
2015-10-30,1.14
2015-11-06,1.08
2015-11-13,1.00
2015-11-20,1.00
2015-11-27,0.96
2015-12-04,0.94
2015-12-11,0.74
2015-12-18,0.68
2015-12-25,0.60
2016-01-01,0.64
2016-01-08,0.47
2016-01-15,0.47
2016-01-22,0.58
2016-01-29,0.75
2016-02-05,0.71
2016-02-12,0.81
2016-02-19,0.82
2016-02-26,0.89
2016-03-04,0.93
2016-03-11,0.97
2016-03-18,0.96
2016-03-25,0.95
2016-04-01,0.90
2016-04-08,0.88
2016-04-15,0.87
2016-04-22,0.86
2016-04-29,0.87
2016-05-06,0.85
2016-05-13,0.93
2016-05-20,0.88
2016-05-27,0.89
2016-06-03,0.97
2016-06-10,1.01
2016-06-17,1.15
2016-06-24,1.17
2016-07-01,1.17
2016-07-08,1.19
2016-07-15,1.20
2016-07-22,1.15
2016-07-29,1.12
2016-08-05,1.07
2016-08-12,1.02
2016-08-19,1.02
2016-08-26,0.87
2016-09-02,0.89
2016-09-09,1.00
2016-09-16,1.03
2016-09-23,1.04
2016-09-30,1.02
2016-10-07,1.03
2016-10-14,1.05
2016-10-21,1.14
2016-10-28,1.13
2016-11-04,1.18
2016-11-11,1.12
2016-11-18,1.15
2016-11-25,1.15
2016-12-02,1.18
2016-12-09,1.18
2016-12-16,1.16
2016-12-23,1.17
2016-12-30,1.17
2017-01-06,1.35
2017-01-13,1.42
2017-01-20,1.43
2017-01-27,1.44
2017-02-03,1.41
2017-02-10,1.39
2017-02-17,1.28
2017-02-24,1.42
2017-03-03,1.42
2017-03-10,1.52
2017-03-17,1.52
2017-03-24,1.53
2017-03-31,1.57
2017-04-07,1.61
2017-04-14,1.62
2017-04-21,1.54
2017-04-28,1.56
2017-05-05,1.55
2017-05-12,1.56
2017-05-19,1.53
2017-05-26,1.62
2017-06-02,1.61
2017-06-09,1.59
2017-06-16,1.59
2017-06-23,1.56
2017-06-30,1.55
2017-07-07,1.57
2017-07-14,1.60
2017-07-21,1.60
2017-07-28,1.62
2017-08-04,1.60
2017-08-11,1.59
2017-08-18,1.60
2017-08-25,1.61
2017-09-01,1.62
2017-09-08,1.66
2017-09-15,1.62
2017-09-22,1.61
2017-09-29,1.61
2017-10-06,1.50
2017-10-13,1.44
2017-10-20,1.34
2017-10-27,1.44
2017-11-03,1.41
2017-11-10,1.36
2017-11-17,1.33
2017-11-24,1.30
2017-12-01,1.30
2017-12-08,1.29
2017-12-15,1.28
2017-12-22,1.29
2017-12-29,1.35
2018-01-05,1.29
2018-01-12,1.28
2018-01-19,1.28
2018-01-26,1.25
2018-02-02,1.23
2018-02-09,1.20
2018-02-16,1.20
2018-02-23,1.19
2018-03-02,1.22
2018-03-09,1.18
2018-03-16,1.17
2018-03-23,1.09
2018-03-30,1.08
2018-04-06,1.06
2018-04-13,1.02
2018-04-20,1.00
2018-04-27,1.01
2018-05-04,1.00
2018-05-11,1.03
2018-05-18,1.01
2018-05-25,1.02
2018-06-01,1.01
2018-06-08,0.97
2018-06-15,0.92
