Week,Price
2015-08-14,7408.44
2015-08-21,7278.98
2015-08-28,7098.81
2015-09-04,7051.78
2015-09-11,6911.38
2015-09-18,7131.91
2015-09-25,6917.55
2015-10-02,6850.61
2015-10-09,7138.91
2015-10-16,7055.74
2015-10-23,7236.38
2015-10-30,7134.26
2015-11-06,7118.20
2015-11-13,6897.77
2015-11-20,6932.81
2015-11-27,6927.07
2015-12-04,6921.93
2015-12-11,6735.01
2015-12-18,6867.07
2015-12-25,7002.42
2016-01-01,6952.08
2016-01-08,6575.43
2016-01-15,6449.50
2016-01-22,6208.05
2016-01-29,6687.62
2016-02-05,6765.13
2016-02-12,6654.45
2016-02-19,6792.06
2016-02-26,6771.30
2016-03-04,6899.07
2016-03-11,7098.64
2016-03-18,7306.74
2016-03-25,7360.05
2016-04-01,7245.13
2016-04-08,7247.20
2016-04-15,7321.30
2016-04-22,7255.39
2016-04-29,7159.29
2016-05-06,6991.87
2016-05-13,7436.79
2016-05-20,7299.03
2016-05-27,7411.68
2016-06-03,7514.22
2016-06-10,7509.94
2016-06-17,7622.07
2016-06-24,7629.72
2016-07-01,7830.35
2016-07-08,7771.52
2016-07-15,8030.06
2016-07-22,8025.35
2016-07-29,7963.11
2016-08-05,7970.35
2016-08-12,7955.86
2016-08-19,7930.75
2016-08-26,7845.49
2016-09-02,7807.42
2016-09-09,7581.79
2016-09-16,7553.76
2016-09-23,7723.60
2016-09-30,7629.73
2016-10-07,7578.29
2016-10-14,7389.30
2016-10-21,7650.22
2016-10-28,7404.80
2016-11-04,7227.37
2016-11-11,6975.09
2016-11-18,7067.73
2016-11-25,6889.78
2016-12-02,6886.74
2016-12-09,7043.16
2016-12-16,6850.71
2016-12-23,6563.67
2016-12-30,6840.64
2017-01-06,7248.20
2017-01-13,7238.52
2017-01-20,7232.66
2017-01-27,7333.67
2017-02-03,7226.70
2017-02-10,7235.21
2017-02-17,7244.79
2017-02-24,7258.99
2017-03-03,7247.12
2017-03-10,7146.27
2017-03-17,7345.02
2017-03-24,7269.62
2017-03-31,7311.72
2017-04-07,7583.75
2017-04-14,7629.64
2017-04-21,7578.16
2017-04-28,7661.01
2017-05-05,7841.99
2017-05-12,7815.53
2017-05-19,7767.62
2017-05-26,7867.49
2017-06-02,7907.66
2017-06-09,7990.24
2017-06-16,7882.22
2017-06-23,7814.17
2017-06-30,7843.16
2017-07-07,7889.33
2017-07-14,7885.90
2017-07-21,7989.73
2017-07-28,8071.47
2017-08-04,7932.82
2017-08-11,7928.43
2017-08-18,8016.73
2017-08-25,8015.14
2017-09-01,7958.57
2017-09-08,8022.75
2017-09-15,8180.85
2017-09-22,8281.27
2017-09-29,8171.43
2017-10-06,8310.88
2017-10-13,8447.94
2017-10-20,8420.95
2017-10-27,8295.95
2017-11-03,8376.13
2017-11-10,8433.48
2017-11-17,8311.08
2017-11-24,8365.11
2017-12-01,8144.02
2017-12-08,8304.70
2017-12-15,8337.04
2017-12-22,8432.31
2017-12-29,8558.42
2018-01-05,8770.00
2018-01-12,8814.62
2018-01-19,8915.92
2018-01-26,9041.20
2018-02-02,8810.75
2018-02-09,8503.69
2018-02-16,8612.44
2018-02-23,8467.56
2018-03-02,8458.47
2018-03-09,8372.51
2018-03-16,8238.15
2018-03-23,7970.80
2018-03-30,7979.83
2018-04-06,7945.66
2018-04-13,7899.98
2018-04-20,7726.72
2018-04-27,7721.02
2018-05-04,7546.19
2018-05-11,7752.11
2018-05-18,7672.28
2018-05-25,7647.51
2018-06-01,7630.26
2018-06-08,7740.74
2018-06-15,7529.54
2018-06-22,7063.20
2018-06-29,7193.68
2018-07-06,7186.71
2018-07-13,7399.18
2018-07-20,7399.61
2018-07-27,7701.38
2018-08-03,7819.39
2018-08-10,7804.98
2018-08-17,7583.52
2018-08-24,7766.47
2018-08-31,7855.71
2018-09-07,7598.64
2018-09-14,7413.15
2018-09-21,7383.00
2018-09-28,7276.82
2018-10-05,7078.20
2018-10-12,7004.77
2018-10-19,7151.52
2018-10-26,7064.33
2018-11-02,7140.29
2018-11-09,6968.82
2018-11-16,7083.34
2018-11-23,7340.18
2018-11-30,7367.85
2018-12-07,7461.06
2018-12-14,7524.37
2018-12-21,7479.71
2018-12-28,7466.02
2019-01-04,7761.11
2019-01-11,7904.09
2019-01-18,8047.12
2019-01-25,8053.20
2019-02-01,8144.16
2019-02-08,8070.89
2019-02-15,7908.89
2019-02-22,7962.13
2019-03-01,7641.77
2019-03-08,7797.11
2019-03-15,7798.28
2019-03-22,8013.42
2019-03-29,7920.93
2019-04-05,7873.18
2019-04-12,7880.82
2019-04-19,7835.15
2019-04-26,7868.28
2019-05-03,7967.98
2019-05-10,7742.20
2019-05-17,7583.82
2019-05-24,7747.09
2019-05-31,7970.02
2019-06-07,7983.98
2019-06-14,7990.20
2019-06-21,8055.47
2019-06-28,7999.71
2019-07-05,8117.94
2019-07-12,8141.82
2019-07-19,8270.07
2019-07-26,8183.99
2019-08-02,8129.93
2019-08-09,7854.39
2019-08-16,7795.98
2019-08-23,7889.41
2019-08-30,7979.66
2019-09-06,7933.47
2019-09-13,7992.32
2019-09-20,7871.11
2019-09-27,7819.22
2019-10-04,7704.60
2019-10-11,7849.94
2019-10-18,7885.23
2019-10-25,7922.50
2019-11-01,7977.12
2019-11-08,8065.76
2019-11-15,7932.96
2019-11-22,7824.59
2019-11-29,7738.96
2019-12-06,7801.72
2019-12-13,7877.63
2019-12-20,7773.12
2019-12-27,7815.26
2020-01-03,7839.79
2020-01-10,7776.77
2020-01-17,7722.58
2020-01-24,7623.41
2020-01-31,7200.79
2020-02-07,7507.20
2020-02-14,7282.00
2020-02-21,7369.78
2020-02-28,6787.91
2020-03-06,6770.38
2020-03-13,5793.94
2020-03-20,4778.76
2020-03-27,5266.62
2020-04-03,5346.97
2020-04-10,5510.83
2020-04-17,5789.97
2020-04-24,5464.98
2020-05-01,5700.71
2020-05-08,5621.94
2020-05-15,5541.95
2020-05-22,5539.19
2020-05-29,5838.84
2020-06-05,6465.13
2020-06-12,6476.24
2020-06-19,6315.07
2020-06-26,6191.84
2020-07-03,6372.66
2020-07-10,6197.38
2020-07-17,6088.75
2020-07-24,6003.26
2020-07-31,5928.45
2020-08-07,5846.02
2020-08-14,6076.91
2020-08-21,6005.40
