Week,Price
2015-03-06,8.16
2015-03-13,7.86
2015-03-20,7.62
2015-03-27,7.57
2015-04-03,7.43
2015-04-10,6.92
2015-04-17,6.37
2015-04-24,7.30
2015-05-01,6.95
2015-05-08,7.09
2015-05-15,6.93
2015-05-22,6.49
2015-05-29,6.20
2015-06-05,6.69
2015-06-12,6.45
2015-06-19,6.29
2015-06-26,6.09
2015-07-03,6.08
2015-07-10,5.56
2015-07-17,5.90
2015-07-24,5.54
2015-07-31,5.39
2015-08-07,5.40
2015-08-14,5.30
2015-08-21,5.10
2015-08-28,5.10
2015-09-04,4.99
2015-09-11,5.09
2015-09-18,5.15
2015-09-25,5.00
2015-10-02,4.77
2015-10-09,4.96
2015-10-16,5.30
2015-10-23,5.37
2015-10-30,5.40
2015-11-06,5.15
2015-11-13,5.03
2015-11-20,5.00
2015-11-27,5.00
2015-12-04,5.00
2015-12-11,4.87
2015-12-18,4.44
2015-12-25,4.31
2016-01-01,4.40
2016-01-08,4.45
2016-01-15,4.00
2016-01-22,3.80
2016-01-29,4.07
2016-02-05,4.85
2016-02-12,6.11
2016-02-19,5.82
2016-02-26,5.80
2016-03-04,6.01
2016-03-11,6.15
2016-03-18,6.00
2016-03-25,5.82
2016-04-01,5.50
2016-04-08,5.42
2016-04-15,5.40
2016-04-22,5.85
2016-04-29,5.91
2016-05-06,6.14
2016-05-13,6.22
2016-05-20,7.48
2016-05-27,7.25
2016-06-03,7.35
2016-06-10,8.46
2016-06-17,9.21
2016-06-24,8.24
2016-07-01,8.56
2016-07-08,8.75
2016-07-15,8.79
2016-07-22,8.54
2016-07-29,8.70
2016-08-05,8.76
2016-08-12,8.50
2016-08-19,8.74
2016-08-26,8.60
2016-09-02,8.70
2016-09-09,8.61
2016-09-16,8.45
2016-09-23,8.60
2016-09-30,8.68
2016-10-07,8.33
2016-10-14,8.11
2016-10-21,8.14
2016-10-28,8.18
2016-11-04,8.39
2016-11-11,8.20
2016-11-18,8.30
2016-11-25,8.14
2016-12-02,8.66
2016-12-09,8.52
2016-12-16,8.71
2016-12-23,8.68
2016-12-30,8.60
2017-01-06,8.93
2017-01-13,9.16
2017-01-20,9.00
2017-01-27,9.10
2017-02-03,9.20
2017-02-10,9.80
2017-02-17,9.28
2017-02-24,9.10
2017-03-03,9.30
2017-03-10,9.26
2017-03-17,8.94
2017-03-24,8.57
2017-03-31,8.38
2017-04-07,8.50
2017-04-14,8.48
2017-04-21,8.59
2017-04-28,8.82
2017-05-05,9.06
2017-05-12,9.10
2017-05-19,9.10
2017-05-26,9.08
2017-06-02,9.00
2017-06-09,9.10
2017-06-16,9.00
2017-06-23,8.90
2017-06-30,9.00
2017-07-07,9.04
2017-07-14,8.99
2017-07-21,9.13
2017-07-28,8.76
2017-08-04,8.84
2017-08-11,8.49
2017-08-18,8.42
2017-08-25,8.60
2017-09-01,8.61
2017-09-08,8.90
2017-09-15,8.69
2017-09-22,8.78
2017-09-29,8.33
2017-10-06,8.05
2017-10-13,7.94
2017-10-20,7.56
2017-10-27,7.55
2017-11-03,7.90
2017-11-10,7.60
2017-11-17,7.39
2017-11-24,6.88
2017-12-01,5.85
2017-12-08,5.80
