Week,Price
2015-02-13,78.00
2015-02-20,77.50
2015-02-27,77.50
2015-03-06,74.20
2015-03-13,73.00
2015-03-20,67.95
2015-03-27,67.00
2015-04-03,67.00
2015-04-10,67.70
2015-04-17,69.40
2015-04-24,68.00
2015-05-01,68.50
2015-05-08,66.85
2015-05-15,66.50
2015-05-22,65.20
2015-05-29,65.00
2015-06-05,62.15
2015-06-12,59.95
2015-06-19,64.45
2015-06-26,60.55
2015-07-03,59.45
2015-07-10,59.95
2015-07-17,60.00
2015-07-24,58.85
2015-07-31,56.30
2015-08-07,55.80
2015-08-14,55.65
2015-08-21,56.00
2015-08-28,52.00
2015-09-04,48.70
2015-09-11,48.05
2015-09-18,45.80
2015-09-25,50.75
2015-10-02,47.00
2015-10-09,49.95
2015-10-16,48.00
2015-10-23,48.50
2015-10-30,48.00
2015-11-06,49.80
2015-11-13,49.50
2015-11-20,48.00
2015-11-27,46.80
2015-12-04,47.20
2015-12-11,46.55
2015-12-18,47.10
2015-12-25,49.00
2016-01-01,49.90
2016-01-08,52.00
2016-01-15,60.00
2016-01-22,60.00
2016-01-29,72.90
2016-02-05,73.00
2016-02-12,73.00
2016-02-19,71.35
2016-02-26,72.00
2016-03-04,74.80
2016-03-11,75.60
2016-03-18,77.50
2016-03-25,77.00
2016-04-01,76.50
2016-04-08,76.75
2016-04-15,75.35
2016-04-22,74.05
2016-04-29,67.00
2016-05-06,66.95
2016-05-13,70.50
2016-05-20,73.40
2016-05-27,75.90
2016-06-03,77.95
2016-06-10,79.00
2016-06-17,78.70
2016-06-24,77.00
2016-07-01,78.75
2016-07-08,78.25
2016-07-15,78.00
2016-07-22,83.00
2016-07-29,82.00
2016-08-05,82.10
2016-08-12,84.30
2016-08-19,84.00
2016-08-26,84.00
2016-09-02,84.00
2016-09-09,80.00
2016-09-16,81.95
2016-09-23,82.50
2016-09-30,81.60
2016-10-07,81.40
2016-10-14,81.00
2016-10-21,80.30
2016-10-28,80.50
2016-11-04,80.30
2016-11-11,80.30
2016-11-18,80.10
2016-11-25,83.00
2016-12-02,85.40
2016-12-09,94.90
2016-12-16,100.00
2016-12-23,91.00
2016-12-30,92.30
2017-01-06,97.70
2017-01-13,98.80
2017-01-20,98.00
2017-01-27,99.00
2017-02-03,99.50
2017-02-10,103.00
2017-02-17,107.00
2017-02-24,106.80
2017-03-03,107.00
2017-03-10,106.10
2017-03-17,103.00
2017-03-24,104.00
2017-03-31,104.00
2017-04-07,106.00
2017-04-14,107.80
2017-04-21,110.40
2017-04-28,110.00
2017-05-05,108.00
2017-05-12,108.90
2017-05-19,109.00
2017-05-26,108.50
2017-06-02,106.00
2017-06-09,103.00
2017-06-16,106.00
2017-06-23,102.60
2017-06-30,104.00
2017-07-07,103.50
2017-07-14,102.50
2017-07-21,103.10
2017-07-28,101.70
2017-08-04,101.30
2017-08-11,101.60
2017-08-18,99.35
2017-08-25,100.50
2017-09-01,100.00
2017-09-08,97.00
2017-09-15,97.50
2017-09-22,97.75
2017-09-29,98.30
2017-10-06,100.00
2017-10-13,101.00
2017-10-20,102.50
2017-10-27,103.00
2017-11-03,101.30
2017-11-10,115.00
2017-11-17,113.00
2017-11-24,112.90
2017-12-01,110.00
2017-12-08,109.90
2017-12-15,110.20
2017-12-22,111.90
2017-12-29,111.60
2018-01-05,120.00
2018-01-12,129.00
2018-01-19,133.00
2018-01-26,141.10
2018-02-02,152.00
2018-02-09,145.00
2018-02-16,145.10
2018-02-23,141.00
2018-03-02,140.00
2018-03-09,143.00
2018-03-16,140.50
2018-03-23,137.00
2018-03-30,134.00
2018-04-06,142.00
2018-04-13,142.90
2018-04-20,140.90
2018-04-27,139.30
2018-05-04,136.70
2018-05-11,137.90
2018-05-18,139.80
2018-05-25,144.30
2018-06-01,142.00
2018-06-08,140.00
2018-06-15,140.00
2018-06-22,139.00
2018-06-29,138.00
2018-07-06,137.00
2018-07-13,136.90
2018-07-20,136.80
2018-07-27,137.00
2018-08-03,139.00
2018-08-10,143.00
2018-08-17,147.50
2018-08-24,171.80
2018-08-31,169.00
2018-09-07,177.00
2018-09-14,169.80
2018-09-21,168.00
2018-09-28,169.50
2018-10-05,172.90
2018-10-12,167.00
2018-10-19,158.00
2018-10-26,164.50
2018-11-02,171.00
2018-11-09,171.50
2018-11-16,168.50
2018-11-23,172.00
2018-11-30,174.70
2018-12-07,162.20
2018-12-14,142.00
2018-12-21,145.00
2018-12-28,147.00
2019-01-04,145.30
2019-01-11,149.50
2019-01-18,155.50
2019-01-25,168.50
2019-02-01,166.50
2019-02-08,165.40
2019-02-15,163.00
2019-02-22,179.00
2019-03-01,170.70
2019-03-08,174.10
2019-03-15,174.20
2019-03-22,173.90
2019-03-29,174.00
2019-04-05,176.00
2019-04-12,181.40
2019-04-19,175.90
2019-04-26,174.00
2019-05-03,178.30
2019-05-10,190.00
2019-05-17,179.80
2019-05-24,179.00
2019-05-31,187.50
2019-06-07,183.00
2019-06-14,181.00
2019-06-21,176.00
2019-06-28,175.20
2019-07-05,174.90
2019-07-12,176.00
2019-07-19,175.00
2019-07-26,174.80
2019-08-02,178.50
2019-08-09,177.10
2019-08-16,183.70
2019-08-23,175.00
2019-08-30,180.00
2019-09-06,175.00
2019-09-13,174.80
2019-09-20,179.10
2019-09-27,175.00
2019-10-04,164.00
2019-10-11,164.00
2019-10-18,167.60
2019-10-25,166.00
2019-11-01,167.00
2019-11-08,170.00
2019-11-15,162.50
2019-11-22,156.90
2019-11-29,159.20
2019-12-06,159.00
2019-12-13,153.00
2019-12-20,158.00
2019-12-27,164.00
2020-01-03,164.00
2020-01-10,158.50
2020-01-17,152.50
2020-01-24,150.00
2020-01-31,139.80
2020-02-07,134.50
2020-02-14,132.70
2020-02-21,133.00
2020-02-28,126.20
2020-03-06,125.50
2020-03-13,109.50
2020-03-20,83.00
2020-03-27,90.00
2020-04-03,93.00
2020-04-10,94.50
2020-04-17,100.00
2020-04-24,97.00
2020-05-01,97.00
2020-05-08,96.50
2020-05-15,96.35
2020-05-22,95.95
2020-05-29,96.00
2020-06-05,101.40
2020-06-12,104.60
2020-06-19,101.30
2020-06-26,100.00
2020-07-03,103.00
2020-07-10,104.00
2020-07-17,98.50
2020-07-24,97.80
2020-07-31,99.00
2020-08-07,99.00
2020-08-14,103.50
2020-08-21,103.00
2020-08-28,101.50
2020-09-04,101.80
2020-09-11,100.50
2020-09-18,99.85
2020-09-25,98.50
