Week,Price
2015-02-06,10.36
2015-02-13,9.80
2015-02-20,9.74
2015-02-27,9.95
2015-03-06,10.86
2015-03-13,10.80
2015-03-20,10.40
2015-03-27,10.26
2015-04-03,10.20
2015-04-10,10.28
2015-04-17,9.80
2015-04-24,10.70
2015-05-01,10.40
2015-05-08,10.30
2015-05-15,10.70
2015-05-22,10.52
2015-05-29,9.98
2015-06-05,9.94
2015-06-12,9.76
2015-06-19,9.90
2015-06-26,9.56
2015-07-03,9.47
2015-07-10,8.50
2015-07-17,8.55
2015-07-24,9.03
2015-07-31,8.69
2015-08-07,8.43
2015-08-14,7.61
2015-08-21,6.80
2015-08-28,7.26
2015-09-04,6.50
2015-09-11,6.24
2015-09-18,7.02
2015-09-25,6.34
2015-10-02,5.50
2015-10-09,5.70
2015-10-16,5.45
2015-10-23,5.40
2015-10-30,5.31
2015-11-06,5.05
2015-11-13,3.91
2015-11-20,3.76
2015-11-27,4.05
2015-12-04,4.43
2015-12-11,3.72
2015-12-18,3.52
2015-12-25,3.40
2016-01-01,3.45
2016-01-08,2.90
2016-01-15,2.56
2016-01-22,2.50
2016-01-29,3.20
2016-02-05,3.25
2016-02-12,3.28
2016-02-19,3.50
2016-02-26,3.62
2016-03-04,3.30
2016-03-11,3.56
2016-03-18,3.44
2016-03-25,3.37
2016-04-01,3.41
2016-04-08,3.48
2016-04-15,3.69
2016-04-22,3.55
2016-04-29,3.29
2016-05-06,3.29
2016-05-13,3.16
2016-05-20,2.84
2016-05-27,2.76
2016-06-03,2.68
2016-06-10,2.74
2016-06-17,3.00
2016-06-24,2.93
2016-07-01,3.28
2016-07-08,3.65
2016-07-15,3.63
2016-07-22,3.28
2016-07-29,3.19
2016-08-05,3.34
2016-08-12,3.25
2016-08-19,3.24
2016-08-26,3.26
2016-09-02,3.20
2016-09-09,3.10
2016-09-16,3.00
2016-09-23,3.00
2016-09-30,2.85
2016-10-07,2.87
2016-10-14,2.78
2016-10-21,2.88
2016-10-28,2.76
2016-11-04,2.70
2016-11-11,2.69
2016-11-18,2.57
2016-11-25,2.58
2016-12-02,2.50
2016-12-09,2.79
2016-12-16,2.65
2016-12-23,2.50
2016-12-30,2.55
2017-01-06,2.73
2017-01-13,2.62
2017-01-20,2.57
2017-01-27,2.74
2017-02-03,2.63
2017-02-10,2.61
2017-02-17,2.47
2017-02-24,2.44
2017-03-03,2.44
2017-03-10,2.36
2017-03-17,2.21
2017-03-24,2.20
2017-03-31,2.14
2017-04-07,2.21
2017-04-14,2.39
2017-04-21,2.29
2017-04-28,2.29
2017-05-05,2.27
2017-05-12,2.40
2017-05-19,2.62
2017-05-26,2.66
2017-06-02,2.68
2017-06-09,3.16
2017-06-16,3.37
2017-06-23,3.60
2017-06-30,4.11
2017-07-07,4.69
2017-07-14,4.86
2017-07-21,4.65
2017-07-28,4.63
2017-08-04,4.63
2017-08-11,4.10
2017-08-18,4.22
2017-08-25,4.23
2017-09-01,4.78
2017-09-08,4.47
2017-09-15,4.30
2017-09-22,4.64
2017-09-29,4.26
2017-10-06,4.18
2017-10-13,4.10
2017-10-20,4.30
2017-10-27,3.91
2017-11-03,3.80
2017-11-10,3.54
2017-11-17,3.36
2017-11-24,3.20
2017-12-01,3.32
2017-12-08,3.02
2017-12-15,3.21
2017-12-22,3.17
2017-12-29,3.30
2018-01-05,3.13
2018-01-12,3.09
2018-01-19,3.10
2018-01-26,3.23
2018-02-02,3.12
2018-02-09,2.88
2018-02-16,2.87
2018-02-23,2.93
2018-03-02,2.88
2018-03-09,2.68
2018-03-16,2.65
2018-03-23,2.70
2018-03-30,2.75
2018-04-06,2.65
2018-04-13,2.59
2018-04-20,2.35
2018-04-27,2.36
2018-05-04,2.39
2018-05-11,2.28
2018-05-18,2.25
2018-05-25,2.17
2018-06-01,2.14
2018-06-08,2.11
2018-06-15,2.08
2018-06-22,1.96
2018-06-29,1.82
2018-07-06,1.86
2018-07-13,1.83
2018-07-20,1.90
2018-07-27,2.05
2018-08-03,2.20
2018-08-10,2.40
2018-08-17,2.27
2018-08-24,2.26
2018-08-31,2.19
2018-09-07,2.14
2018-09-14,2.27
2018-09-21,2.20
2018-09-28,2.22
2018-10-05,2.45
2018-10-12,2.62
2018-10-19,2.63
2018-10-26,2.52
2018-11-02,2.70
2018-11-09,2.84
2018-11-16,2.72
2018-11-23,2.57
2018-11-30,2.32
2018-12-07,2.38
2018-12-14,2.33
2018-12-21,2.39
2018-12-28,2.38
2019-01-04,2.52
2019-01-11,2.38
2019-01-18,2.47
2019-01-25,2.43
2019-02-01,2.43
2019-02-08,2.39
2019-02-15,2.13
2019-02-22,2.26
2019-03-01,2.27
2019-03-08,2.35
2019-03-15,2.37
2019-03-22,2.37
2019-03-29,2.37
2019-04-05,2.45
2019-04-12,2.51
2019-04-19,2.68
2019-04-26,2.80
2019-05-03,3.23
2019-05-10,3.20
2019-05-17,3.20
2019-05-24,3.15
2019-05-31,3.16
2019-06-07,3.51
2019-06-14,3.43
2019-06-21,3.47
2019-06-28,3.45
2019-07-05,3.36
2019-07-12,3.44
2019-07-19,3.41
2019-07-26,3.20
2019-08-02,3.24
2019-08-09,3.16
2019-08-16,2.87
2019-08-23,2.79
2019-08-30,2.79
2019-09-06,2.93
2019-09-13,2.90
2019-09-20,2.82
2019-09-27,2.77
2019-10-04,2.62
2019-10-11,2.51
2019-10-18,2.64
2019-10-25,2.59
2019-11-01,2.58
2019-11-08,2.65
2019-11-15,2.80
2019-11-22,2.67
2019-11-29,2.64
2019-12-06,2.47
2019-12-13,2.50
2019-12-20,2.68
2019-12-27,2.78
2020-01-03,2.64
2020-01-10,2.66
2020-01-17,2.82
2020-01-24,2.56
2020-01-31,2.22
2020-02-07,2.19
2020-02-14,2.24
2020-02-21,2.14
2020-02-28,1.99
2020-03-06,1.68
2020-03-13,1.20
2020-03-20,0.95
2020-03-27,1.20
2020-04-03,1.30
2020-04-10,1.21
2020-04-17,1.30
2020-04-24,1.20
2020-05-01,1.35
2020-05-08,1.19
2020-05-15,1.19
2020-05-22,1.12
2020-05-29,1.13
2020-06-05,1.26
2020-06-12,1.23
2020-06-19,1.18
2020-06-26,1.16
2020-07-03,1.15
2020-07-10,1.16
2020-07-17,1.12
2020-07-24,1.10
2020-07-31,1.06
2020-08-07,1.02
2020-08-14,1.06
2020-08-21,1.03
2020-08-28,1.02
2020-09-04,1.13
2020-09-11,1.23
2020-09-18,1.14
2020-09-25,1.17
2020-10-02,1.14
2020-10-09,1.10
2020-10-16,1.14
2020-10-23,1.15
2020-10-30,1.31
2020-11-06,1.59
2020-11-13,1.62
2020-11-20,1.56
2020-11-27,1.72
2020-12-04,1.71
2020-12-11,1.68
