Week,Price
2015-05-01,2.32
2015-05-08,2.30
2015-05-15,2.35
2015-05-22,2.34
2015-05-29,2.22
2015-06-05,2.19
2015-06-12,2.19
2015-06-19,1.97
2015-06-26,2.03
2015-07-03,1.97
2015-07-10,2.13
2015-07-17,2.35
2015-07-24,2.41
2015-07-31,2.26
2015-08-07,2.40
2015-08-14,2.23
2015-08-21,2.13
2015-08-28,2.14
2015-09-04,2.02
2015-09-11,2.03
2015-09-18,1.99
2015-09-25,2.00
2015-10-02,2.00
2015-10-09,2.12
2015-10-16,2.00
2015-10-23,2.00
2015-10-30,2.04
2015-11-06,2.05
2015-11-13,1.94
2015-11-20,1.83
2015-11-27,1.72
2015-12-04,1.74
2015-12-11,1.65
2015-12-18,1.56
2015-12-25,1.56
2016-01-01,1.61
2016-01-08,1.50
2016-01-15,1.37
2016-01-22,1.35
2016-01-29,1.35
2016-02-05,1.36
2016-02-12,1.61
2016-02-19,1.56
2016-02-26,1.75
2016-03-04,1.74
2016-03-11,1.66
2016-03-18,1.72
2016-03-25,1.75
2016-04-01,1.75
2016-04-08,1.65
2016-04-15,1.62
2016-04-22,1.58
2016-04-29,1.55
2016-05-06,1.53
2016-05-13,1.58
2016-05-20,1.79
2016-05-27,1.63
2016-06-03,1.80
2016-06-10,1.72
2016-06-17,1.74
2016-06-24,1.68
2016-07-01,1.63
2016-07-08,1.64
2016-07-15,1.65
2016-07-22,1.63
2016-07-29,1.73
2016-08-05,1.69
2016-08-12,1.67
2016-08-19,1.68
2016-08-26,1.61
2016-09-02,1.62
2016-09-09,1.59
2016-09-16,1.56
2016-09-23,1.58
2016-09-30,1.55
2016-10-07,1.52
2016-10-14,1.46
2016-10-21,1.54
2016-10-28,1.48
2016-11-04,1.49
2016-11-11,1.45
2016-11-18,1.43
2016-11-25,1.40
2016-12-02,1.36
2016-12-09,1.38
2016-12-16,1.35
2016-12-23,1.33
2016-12-30,1.37
2017-01-06,1.48
2017-01-13,1.58
2017-01-20,1.54
2017-01-27,1.52
2017-02-03,1.52
2017-02-10,1.51
2017-02-17,1.85
2017-02-24,1.93
2017-03-03,1.88
2017-03-10,1.92
