Week,Price
2012-03-16,4.76
2012-03-23,4.72
2012-03-30,4.69
2012-04-06,4.69
2012-04-13,4.72
2012-04-20,4.75
2012-04-27,4.75
2012-05-04,4.74
2012-05-11,4.72
2012-05-18,4.72
2012-05-25,4.73
2012-06-01,5.09
2012-06-08,6.25
2012-06-15,6.42
2012-06-22,6.06
2012-06-29,6.44
2012-07-06,6.24
2012-07-13,6.28
2012-07-20,6.51
2012-07-27,6.67
2012-08-03,6.76
2012-08-10,6.74
2012-08-17,6.72
2012-08-24,6.74
2012-08-31,6.72
2012-09-07,6.69
2012-09-14,6.74
2012-09-21,8.25
2012-09-28,8.19
2012-10-05,8.17
2012-10-12,8.26
2012-10-19,8.26
2012-10-26,8.26
2012-11-02,8.29
2012-11-09,8.31
2012-11-16,8.32
2012-11-23,8.31
2012-11-30,10.61
2012-12-07,12.01
2012-12-14,12.50
2012-12-21,18.00
2012-12-28,21.50
2013-01-04,22.50
2013-01-11,22.75
2013-01-18,22.83
2013-01-25,23.08
2013-02-01,23.29
2013-02-08,21.67
2013-02-15,21.25
2013-02-22,15.91
2013-03-01,19.70
2013-03-08,20.42
2013-03-15,18.26
2013-03-22,17.27
2013-03-29,16.82
2013-04-05,16.24
2013-04-12,16.18
2013-04-19,16.09
2013-04-26,14.95
2013-05-03,13.55
2013-05-10,15.00
2013-05-17,15.09
2013-05-24,15.36
2013-05-31,15.27
2013-06-07,14.64
2013-06-14,13.45
2013-06-21,15.09
2013-06-28,14.55
2013-07-05,13.82
2013-07-12,14.45
2013-07-19,14.09
2013-07-26,14.07
2013-08-02,13.64
2013-08-09,13.64
2013-08-16,13.62
2013-08-23,13.64
2013-08-30,13.36
2013-09-06,13.55
2013-09-13,12.23
2013-09-20,11.98
2013-09-27,12.38
2013-10-04,12.30
2013-10-11,12.30
2013-10-18,12.30
2013-10-25,12.30
2013-11-01,9.92
2013-11-08,12.31
2013-11-15,12.26
2013-11-22,12.07
2013-11-29,11.98
2013-12-06,11.98
2013-12-13,11.98
2013-12-20,11.92
2013-12-27,11.98
2014-01-03,11.97
2014-01-10,11.98
2014-01-17,11.79
2014-01-24,11.82
2014-01-31,11.74
2014-02-07,11.74
2014-02-14,11.70
2014-02-21,11.80
2014-02-28,11.74
2014-03-07,11.74
2014-03-14,11.72
2014-03-21,11.74
2014-03-28,11.70
2014-04-04,11.82
2014-04-11,11.74
2014-04-18,11.79
2014-04-25,11.79
2014-05-02,11.74
2014-05-09,11.74
2014-05-16,11.74
2014-05-23,11.74
2014-05-30,11.74
2014-06-06,11.74
2014-06-13,11.83
2014-06-20,11.90
2014-06-27,11.88
2014-07-04,11.88
2014-07-11,11.88
2014-07-18,12.31
2014-07-25,13.27
2014-08-01,14.09
2014-08-08,13.55
2014-08-15,13.45
2014-08-22,13.45
2014-08-29,12.29
2014-09-05,13.00
2014-09-12,12.91
2014-09-19,12.87
2014-09-26,12.78
2014-10-03,11.82
2014-10-10,11.64
2014-10-17,12.11
2014-10-24,12.09
2014-10-31,12.07
2014-11-07,12.04
2014-11-14,12.82
2014-11-21,12.95
2014-11-28,15.04
2014-12-05,15.45
2014-12-12,15.45
2014-12-19,16.47
2014-12-26,17.25
2015-01-02,17.25
2015-01-09,17.09
2015-01-16,16.40
2015-01-23,17.09
2015-01-30,17.87
2015-02-06,18.16
2015-02-13,18.36
2015-02-20,18.23
2015-02-27,19.27
2015-03-06,19.09
2015-03-13,20.00
2015-03-20,20.00
2015-03-27,26.55
2015-04-03,28.18
2015-04-10,31.18
2015-04-17,31.77
2015-04-24,27.91
2015-05-01,25.36
