Week,Price
2015-02-20,18.23
2015-02-27,19.27
2015-03-06,19.09
2015-03-13,20.00
2015-03-20,20.00
2015-03-27,26.55
2015-04-03,28.18
2015-04-10,31.18
2015-04-17,31.77
2015-04-24,27.91
2015-05-01,25.36
2015-05-08,24.91
2015-05-15,25.46
2015-05-22,27.70
2015-05-29,27.00
2015-06-05,27.20
2015-06-12,27.00
2015-06-19,26.85
2015-06-26,28.45
2015-07-03,26.95
2015-07-10,26.65
2015-07-17,26.75
2015-07-24,26.20
2015-07-31,26.00
2015-08-07,27.30
2015-08-14,27.00
2015-08-21,26.75
2015-08-28,27.00
2015-09-04,27.00
2015-09-11,25.90
2015-09-18,26.40
2015-09-25,25.75
2015-10-02,25.85
2015-10-09,25.10
2015-10-16,25.95
2015-10-23,24.90
2015-10-30,24.00
2015-11-06,21.50
2015-11-13,20.85
2015-11-20,20.75
2015-11-27,20.35
2015-12-04,21.90
2015-12-11,21.35
2015-12-18,20.30
2015-12-25,20.05
2016-01-01,20.75
2016-01-08,18.70
2016-01-15,17.62
2016-01-22,19.44
2016-01-29,19.72
2016-02-05,19.56
2016-02-12,19.36
2016-02-19,18.22
2016-02-26,18.90
2016-03-04,19.00
2016-03-11,18.74
2016-03-18,17.80
2016-03-25,17.20
2016-04-01,19.70
2016-04-08,19.60
2016-04-15,19.06
2016-04-22,18.22
2016-04-29,17.84
2016-05-06,18.02
2016-05-13,18.00
2016-05-20,18.00
2016-05-27,17.48
2016-06-03,17.78
2016-06-10,17.30
2016-06-17,16.80
2016-06-24,16.30
2016-07-01,16.24
2016-07-08,17.92
2016-07-15,20.90
2016-07-22,20.00
2016-07-29,22.20
2016-08-05,22.40
2016-08-12,22.85
2016-08-19,23.50
2016-08-26,25.00
2016-09-02,24.10
2016-09-09,24.20
2016-09-16,24.05
2016-09-23,23.90
2016-09-30,23.60
2016-10-07,23.65
2016-10-14,23.50
2016-10-21,23.50
2016-10-28,23.00
2016-11-04,23.60
2016-11-11,23.40
2016-11-18,23.50
2016-11-25,23.45
2016-12-02,23.40
2016-12-09,23.40
2016-12-16,23.20
2016-12-23,23.35
2016-12-30,22.90
2017-01-06,23.00
2017-01-13,23.00
2017-01-20,23.00
2017-01-27,22.80
2017-02-03,23.80
2017-02-10,23.60
2017-02-17,23.00
2017-02-24,23.40
2017-03-03,23.50
2017-03-10,23.50
2017-03-17,23.50
2017-03-24,23.45
2017-03-31,23.70
2017-04-07,23.50
2017-04-14,23.50
2017-04-21,23.50
2017-04-28,23.50
2017-05-05,23.30
2017-05-12,23.45
2017-05-19,23.25
2017-05-26,23.30
2017-06-02,23.30
2017-06-09,24.30
2017-06-16,24.15
2017-06-23,24.00
2017-06-30,26.50
2017-07-07,29.20
2017-07-14,29.60
2017-07-21,29.45
2017-07-28,32.00
2017-08-04,30.00
2017-08-11,31.35
2017-08-18,32.50
2017-08-25,32.60
2017-09-01,35.00
2017-09-08,36.00
2017-09-15,36.70
2017-09-22,38.10
2017-09-29,40.80
2017-10-06,42.00
2017-10-13,42.30
2017-10-20,44.85
2017-10-27,44.50
2017-11-03,44.30
2017-11-10,44.00
2017-11-17,45.00
2017-11-24,42.35
2017-12-01,42.10
2017-12-08,42.10
2017-12-15,45.00
2017-12-22,45.00
2017-12-29,45.95
2018-01-05,52.50
2018-01-12,54.00
2018-01-19,54.80
2018-01-26,54.00
2018-02-02,51.00
2018-02-09,52.00
2018-02-16,52.00
2018-02-23,51.50
2018-03-02,51.65
2018-03-09,50.95
2018-03-16,50.90
2018-03-23,50.50
2018-03-30,50.50
2018-04-06,51.50
2018-04-13,49.60
2018-04-20,49.00
2018-04-27,50.00
2018-05-04,51.60
2018-05-11,51.40
2018-05-18,51.00
2018-05-25,49.95
2018-06-01,50.00
2018-06-08,50.00
2018-06-15,49.95
2018-06-22,49.20
2018-06-29,49.00
2018-07-06,45.55
2018-07-13,42.50
2018-07-20,39.15
2018-07-27,38.60
2018-08-03,39.30
2018-08-10,40.05
2018-08-17,40.00
2018-08-24,34.90
2018-08-31,32.00
2018-09-07,33.80
2018-09-14,33.00
2018-09-21,38.00
2018-09-28,33.50
2018-10-05,34.00
2018-10-12,34.00
2018-10-19,36.95
2018-10-26,36.00
2018-11-02,39.00
2018-11-09,36.00
2018-11-16,36.90
2018-11-23,36.30
2018-11-30,32.50
2018-12-07,32.50
2018-12-14,30.80
2018-12-21,32.00
2018-12-28,30.95
2019-01-04,31.80
2019-01-11,31.35
2019-01-18,31.30
2019-01-25,30.90
2019-02-01,30.70
2019-02-08,30.30
2019-02-15,29.50
2019-02-22,29.90
2019-03-01,29.50
2019-03-08,29.45
2019-03-15,29.25
2019-03-22,29.75
2019-03-29,29.35
2019-04-05,28.80
2019-04-12,29.40
2019-04-19,28.80
2019-04-26,28.00
2019-05-03,27.90
2019-05-10,26.50
2019-05-17,28.00
2019-05-24,26.50
